"Site","WL1","DateTime","Site","WL2","MeanWL"
"STRT1",248.458,2020-06-17 08:30:00,"STRT2",248.545,248.5015
"STRT1",248.461,2020-06-17 08:45:00,"STRT2",248.545,248.503
"STRT1",248.453,2020-06-17 09:00:00,"STRT2",248.541,248.497
"STRT1",248.452,2020-06-17 09:15:00,"STRT2",248.543,248.4975
"STRT1",248.458,2020-06-17 09:30:00,"STRT2",248.543,248.5005
"STRT1",248.457,2020-06-17 09:45:00,"STRT2",248.542,248.4995
"STRT1",248.458,2020-06-17 10:00:00,"STRT2",248.543,248.5005
"STRT1",248.46,2020-06-17 10:15:00,"STRT2",248.539,248.4995
"STRT1",248.45,2020-06-17 10:30:00,"STRT2",248.536,248.493
"STRT1",248.449,2020-06-17 10:45:00,"STRT2",248.541,248.495
"STRT1",248.449,2020-06-17 11:00:00,"STRT2",248.54,248.4945
"STRT1",248.447,2020-06-17 11:15:00,"STRT2",248.541,248.494
"STRT1",248.45,2020-06-17 11:30:00,"STRT2",248.539,248.4945
"STRT1",248.448,2020-06-17 11:45:00,"STRT2",248.539,248.4935
"STRT1",248.447,2020-06-17 12:00:00,"STRT2",248.542,248.4945
"STRT1",248.446,2020-06-17 12:15:00,"STRT2",248.538,248.492
"STRT1",248.449,2020-06-17 12:30:00,"STRT2",248.538,248.4935
"STRT1",248.45,2020-06-17 12:45:00,"STRT2",248.535,248.4925
"STRT1",248.446,2020-06-17 13:00:00,"STRT2",248.538,248.492
"STRT1",248.449,2020-06-17 13:15:00,"STRT2",248.538,248.4935
"STRT1",248.45,2020-06-17 13:30:00,"STRT2",248.535,248.4925
"STRT1",248.454,2020-06-17 13:45:00,"STRT2",248.542,248.498
"STRT1",248.451,2020-06-17 14:00:00,"STRT2",248.539,248.495
"STRT1",248.449,2020-06-17 14:15:00,"STRT2",248.537,248.493
"STRT1",248.454,2020-06-17 14:30:00,"STRT2",248.541,248.4975
"STRT1",248.448,2020-06-17 14:45:00,"STRT2",248.539,248.4935
"STRT1",248.442,2020-06-17 15:00:00,"STRT2",248.539,248.4905
"STRT1",248.443,2020-06-17 15:15:00,"STRT2",248.537,248.49
"STRT1",248.446,2020-06-17 15:30:00,"STRT2",248.536,248.491
"STRT1",248.449,2020-06-17 15:45:00,"STRT2",248.536,248.4925
"STRT1",248.447,2020-06-17 16:00:00,"STRT2",248.534,248.4905
"STRT1",248.444,2020-06-17 16:15:00,"STRT2",248.531,248.4875
"STRT1",248.448,2020-06-17 16:30:00,"STRT2",248.535,248.4915
"STRT1",248.444,2020-06-17 16:45:00,"STRT2",248.534,248.489
"STRT1",248.445,2020-06-17 17:00:00,"STRT2",248.531,248.488
"STRT1",248.446,2020-06-17 17:15:00,"STRT2",248.535,248.4905
"STRT1",248.448,2020-06-17 17:30:00,"STRT2",248.537,248.4925
"STRT1",248.449,2020-06-17 17:45:00,"STRT2",248.535,248.492
"STRT1",248.445,2020-06-17 18:00:00,"STRT2",248.541,248.493
"STRT1",248.45,2020-06-17 18:15:00,"STRT2",248.536,248.493
"STRT1",248.443,2020-06-17 18:30:00,"STRT2",248.538,248.4905
"STRT1",248.439,2020-06-17 18:45:00,"STRT2",248.533,248.486
"STRT1",248.442,2020-06-17 19:00:00,"STRT2",248.534,248.488
"STRT1",248.442,2020-06-17 19:15:00,"STRT2",248.536,248.489
"STRT1",248.442,2020-06-17 19:30:00,"STRT2",248.536,248.489
"STRT1",248.445,2020-06-17 19:45:00,"STRT2",248.532,248.4885
"STRT1",248.444,2020-06-17 20:00:00,"STRT2",248.531,248.4875
"STRT1",248.439,2020-06-17 20:15:00,"STRT2",248.533,248.486
"STRT1",248.441,2020-06-17 20:30:00,"STRT2",248.532,248.4865
"STRT1",248.444,2020-06-17 20:45:00,"STRT2",248.531,248.4875
"STRT1",248.441,2020-06-17 21:00:00,"STRT2",248.534,248.4875
"STRT1",248.442,2020-06-17 21:15:00,"STRT2",248.535,248.4885
"STRT1",248.437,2020-06-17 21:30:00,"STRT2",248.533,248.485
"STRT1",248.44,2020-06-17 21:45:00,"STRT2",248.533,248.4865
"STRT1",248.444,2020-06-17 22:00:00,"STRT2",248.534,248.489
"STRT1",248.443,2020-06-17 22:15:00,"STRT2",248.532,248.4875
"STRT1",248.444,2020-06-17 22:30:00,"STRT2",248.536,248.49
"STRT1",248.447,2020-06-17 22:45:00,"STRT2",248.539,248.493
"STRT1",248.445,2020-06-17 23:00:00,"STRT2",248.534,248.4895
"STRT1",248.441,2020-06-17 23:15:00,"STRT2",248.536,248.4885
"STRT1",248.44,2020-06-17 23:30:00,"STRT2",248.531,248.4855
"STRT1",248.439,2020-06-17 23:45:00,"STRT2",248.527,248.483
"STRT1",248.437,2020-06-18 00:00:00,"STRT2",248.526,248.4815
"STRT1",248.437,2020-06-18 00:15:00,"STRT2",248.525,248.481
"STRT1",248.437,2020-06-18 00:30:00,"STRT2",248.526,248.4815
"STRT1",248.435,2020-06-18 00:45:00,"STRT2",248.523,248.479
"STRT1",248.435,2020-06-18 01:00:00,"STRT2",248.524,248.4795
"STRT1",248.436,2020-06-18 01:15:00,"STRT2",248.522,248.479
"STRT1",248.434,2020-06-18 01:30:00,"STRT2",248.52,248.477
"STRT1",248.434,2020-06-18 01:45:00,"STRT2",248.521,248.4775
"STRT1",248.434,2020-06-18 02:00:00,"STRT2",248.52,248.477
"STRT1",248.427,2020-06-18 02:15:00,"STRT2",248.52,248.4735
"STRT1",248.434,2020-06-18 02:30:00,"STRT2",248.521,248.4775
"STRT1",248.43,2020-06-18 02:45:00,"STRT2",248.52,248.475
"STRT1",248.425,2020-06-18 03:00:00,"STRT2",248.519,248.472
"STRT1",248.432,2020-06-18 03:15:00,"STRT2",248.516,248.474
"STRT1",248.43,2020-06-18 03:30:00,"STRT2",248.517,248.4735
"STRT1",248.427,2020-06-18 03:45:00,"STRT2",248.514,248.4705
"STRT1",248.425,2020-06-18 04:00:00,"STRT2",248.515,248.47
"STRT1",248.428,2020-06-18 04:15:00,"STRT2",248.519,248.4735
"STRT1",248.43,2020-06-18 04:30:00,"STRT2",248.515,248.4725
"STRT1",248.425,2020-06-18 04:45:00,"STRT2",248.511,248.468
"STRT1",248.425,2020-06-18 05:00:00,"STRT2",248.512,248.4685
"STRT1",248.429,2020-06-18 05:15:00,"STRT2",248.516,248.4725
"STRT1",248.422,2020-06-18 05:30:00,"STRT2",248.519,248.4705
"STRT1",248.429,2020-06-18 05:45:00,"STRT2",248.516,248.4725
"STRT1",248.427,2020-06-18 06:00:00,"STRT2",248.515,248.471
"STRT1",248.422,2020-06-18 06:15:00,"STRT2",248.513,248.4675
"STRT1",248.428,2020-06-18 06:30:00,"STRT2",248.517,248.4725
"STRT1",248.43,2020-06-18 06:45:00,"STRT2",248.516,248.473
"STRT1",248.425,2020-06-18 07:00:00,"STRT2",248.514,248.4695
"STRT1",248.422,2020-06-18 07:15:00,"STRT2",248.515,248.4685
"STRT1",248.425,2020-06-18 07:30:00,"STRT2",248.514,248.4695
"STRT1",248.425,2020-06-18 07:45:00,"STRT2",248.515,248.47
"STRT1",248.423,2020-06-18 08:00:00,"STRT2",248.513,248.468
"STRT1",248.422,2020-06-18 08:15:00,"STRT2",248.51,248.466
