"Site","DateTimeGMT","AbsolutePressure","WaterLevel","DateTime"
"POKE1","06/04/20 1:00:00 PM",104.02,216.119,2020-06-04 05:00:00
"POKE1","06/04/20 1:15:00 PM",104.044,216.12,2020-06-04 05:15:00
"POKE1","06/04/20 1:30:00 PM",104.005,216.118,2020-06-04 05:30:00
"POKE1","06/04/20 1:45:00 PM",103.956,216.114,2020-06-04 05:45:00
"POKE1","06/04/20 2:00:00 PM",103.948,216.115,2020-06-04 06:00:00
"POKE1","06/04/20 2:15:00 PM",103.92,216.112,2020-06-04 06:15:00
"POKE1","06/04/20 2:30:00 PM",103.995,216.121,2020-06-04 06:30:00
"POKE1","06/04/20 2:45:00 PM",103.956,216.118,2020-06-04 06:45:00
"POKE1","06/04/20 3:00:00 PM",103.958,216.119,2020-06-04 07:00:00
"POKE1","06/04/20 3:15:00 PM",103.991,216.12,2020-06-04 07:15:00
"POKE1","06/04/20 3:30:00 PM",103.991,216.123,2020-06-04 07:30:00
"POKE1","06/04/20 3:45:00 PM",103.932,216.118,2020-06-04 07:45:00
"POKE1","06/04/20 4:00:00 PM",103.969,216.122,2020-06-04 08:00:00
"POKE1","06/04/20 4:15:00 PM",103.959,216.12,2020-06-04 08:15:00
"POKE1","06/04/20 4:30:00 PM",103.924,216.117,2020-06-04 08:30:00
"POKE1","06/04/20 4:45:00 PM",103.926,216.118,2020-06-04 08:45:00
"POKE1","06/04/20 5:00:00 PM",103.909,216.117,2020-06-04 09:00:00
"POKE1","06/04/20 5:15:00 PM",103.895,216.116,2020-06-04 09:15:00
"POKE1","06/04/20 5:30:00 PM",103.905,216.117,2020-06-04 09:30:00
"POKE1","06/04/20 5:45:00 PM",103.926,216.12,2020-06-04 09:45:00
"POKE1","06/04/20 6:00:00 PM",103.88,216.114,2020-06-04 10:00:00
"POKE1","06/04/20 6:15:00 PM",103.884,216.117,2020-06-04 10:15:00
"POKE1","06/04/20 6:30:00 PM",103.936,216.121,2020-06-04 10:30:00
"POKE1","06/04/20 6:45:00 PM",103.926,216.123,2020-06-04 10:45:00
"POKE1","06/04/20 7:00:00 PM",103.93,216.12,2020-06-04 11:00:00
"POKE1","06/04/20 7:15:00 PM",103.913,216.12,2020-06-04 11:15:00
"POKE1","06/04/20 7:30:00 PM",103.934,216.121,2020-06-04 11:30:00
"POKE1","06/04/20 7:45:00 PM",103.969,216.123,2020-06-04 11:45:00
"POKE1","06/04/20 8:00:00 PM",103.973,216.122,2020-06-04 12:00:00
"POKE1","06/04/20 8:15:00 PM",103.977,216.124,2020-06-04 12:15:00
"POKE1","06/04/20 8:30:00 PM",103.981,216.125,2020-06-04 12:30:00
"POKE1","06/04/20 8:45:00 PM",103.964,216.122,2020-06-04 12:45:00
"POKE1","06/04/20 9:00:00 PM",103.958,216.121,2020-06-04 13:00:00
"POKE1","06/04/20 9:15:00 PM",103.993,216.125,2020-06-04 13:15:00
"POKE1","06/04/20 9:30:00 PM",104.011,216.126,2020-06-04 13:30:00
"POKE1","06/04/20 9:45:00 PM",104.036,216.129,2020-06-04 13:45:00
"POKE1","06/04/20 10:00:00 PM",104.009,216.125,2020-06-04 14:00:00
"POKE1","06/04/20 10:15:00 PM",104.048,216.128,2020-06-04 14:15:00
"POKE1","06/04/20 10:30:00 PM",104.114,216.131,2020-06-04 14:30:00
"POKE1","06/04/20 10:45:00 PM",104.101,216.129,2020-06-04 14:45:00
"POKE1","06/04/20 11:00:00 PM",104.125,216.131,2020-06-04 15:00:00
"POKE1","06/04/20 11:15:00 PM",104.139,216.132,2020-06-04 15:15:00
"POKE1","06/04/20 11:30:00 PM",104.133,216.13,2020-06-04 15:30:00
"POKE1","06/04/20 11:45:00 PM",104.168,216.133,2020-06-04 15:45:00
"POKE1","06/05/20 12:00:00 AM",104.165,216.132,2020-06-04 16:00:00
"POKE1","06/05/20 12:15:00 AM",104.22,216.135,2020-06-04 16:15:00
"POKE1","06/05/20 12:30:00 AM",104.224,216.134,2020-06-04 16:30:00
"POKE1","06/05/20 12:45:00 AM",104.259,216.136,2020-06-04 16:45:00
"POKE1","06/05/20 1:00:00 AM",104.255,216.134,2020-06-04 17:00:00
"POKE1","06/05/20 1:15:00 AM",104.29,216.137,2020-06-04 17:15:00
"POKE1","06/05/20 1:30:00 AM",104.314,216.138,2020-06-04 17:30:00
"POKE1","06/05/20 1:45:00 AM",104.339,216.14,2020-06-04 17:45:00
"POKE1","06/05/20 2:00:00 AM",104.332,216.137,2020-06-04 18:00:00
"POKE1","06/05/20 2:15:00 AM",104.325,216.137,2020-06-04 18:15:00
"POKE1","06/05/20 2:30:00 AM",104.37,216.139,2020-06-04 18:30:00
"POKE1","06/05/20 2:45:00 AM",104.373,216.138,2020-06-04 18:45:00
"POKE1","06/05/20 3:00:00 AM",104.398,216.142,2020-06-04 19:00:00
"POKE1","06/05/20 3:15:00 AM",104.411,216.142,2020-06-04 19:15:00
"POKE1","06/05/20 3:30:00 AM",104.435,216.145,2020-06-04 19:30:00
"POKE1","06/05/20 3:45:00 AM",104.428,216.143,2020-06-04 19:45:00
"POKE1","06/05/20 4:00:00 AM",104.432,216.142,2020-06-04 20:00:00
"POKE1","06/05/20 4:15:00 AM",104.456,216.143,2020-06-04 20:15:00
"POKE1","06/05/20 4:30:00 AM",104.49,216.147,2020-06-04 20:30:00
"POKE1","06/05/20 4:45:00 AM",104.452,216.144,2020-06-04 20:45:00
"POKE1","06/05/20 5:00:00 AM",104.432,216.143,2020-06-04 21:00:00
"POKE1","06/05/20 5:15:00 AM",104.476,216.147,2020-06-04 21:15:00
"POKE1","06/05/20 5:30:00 AM",104.469,216.146,2020-06-04 21:30:00
"POKE1","06/05/20 5:45:00 AM",104.511,216.149,2020-06-04 21:45:00
"POKE1","06/05/20 6:00:00 AM",104.503,216.149,2020-06-04 22:00:00
"POKE1","06/05/20 6:15:00 AM",104.462,216.143,2020-06-04 22:15:00
"POKE1","06/05/20 6:30:00 AM",104.472,216.146,2020-06-04 22:30:00
"POKE1","06/05/20 6:45:00 AM",104.462,216.144,2020-06-04 22:45:00
"POKE1","06/05/20 7:00:00 AM",104.445,216.143,2020-06-04 23:00:00
"POKE1","06/05/20 7:15:00 AM",104.434,216.143,2020-06-04 23:15:00
"POKE1","06/05/20 7:30:00 AM",104.431,216.143,2020-06-04 23:30:00
"POKE1","06/05/20 7:45:00 AM",104.41,216.143,2020-06-04 23:45:00
"POKE1","06/05/20 8:00:00 AM",104.369,216.138,2020-06-05 00:00:00
"POKE1","06/05/20 8:15:00 AM",104.366,216.14,2020-06-05 00:15:00
"POKE1","06/05/20 8:30:00 AM",104.325,216.135,2020-06-05 00:30:00
"POKE1","06/05/20 8:45:00 AM",104.301,216.134,2020-06-05 00:45:00
"POKE1","06/05/20 9:00:00 AM",104.246,216.13,2020-06-05 01:00:00
"POKE1","06/05/20 9:15:00 AM",104.242,216.13,2020-06-05 01:15:00
"POKE1","06/05/20 9:30:00 AM",104.177,216.123,2020-06-05 01:30:00
"POKE1","06/05/20 9:45:00 AM",104.132,216.121,2020-06-05 01:45:00
"POKE1","06/05/20 10:00:00 AM",104.108,216.12,2020-06-05 02:00:00
"POKE1","06/05/20 10:15:00 AM",104.053,216.116,2020-06-05 02:15:00
"POKE1","06/05/20 10:30:00 AM",104.029,216.115,2020-06-05 02:30:00
"POKE1","06/05/20 10:45:00 AM",104.001,216.114,2020-06-05 02:45:00
"POKE1","06/05/20 11:00:00 AM",103.967,216.112,2020-06-05 03:00:00
"POKE1","06/05/20 11:15:00 AM",103.908,216.108,2020-06-05 03:15:00
"POKE1","06/05/20 11:30:00 AM",103.87,216.106,2020-06-05 03:30:00
"POKE1","06/05/20 11:45:00 AM",103.804,216.101,2020-06-05 03:45:00
"POKE1","06/05/20 12:00:00 PM",103.776,216.1,2020-06-05 04:00:00
"POKE1","06/05/20 12:15:00 PM",103.728,216.097,2020-06-05 04:15:00
"POKE1","06/05/20 12:30:00 PM",103.724,216.097,2020-06-05 04:30:00
"POKE1","06/05/20 12:45:00 PM",103.734,216.098,2020-06-05 04:45:00
"POKE1","06/05/20 1:00:00 PM",103.71,216.097,2020-06-05 05:00:00
"POKE1","06/05/20 1:15:00 PM",103.696,216.096,2020-06-05 05:15:00
"POKE1","06/05/20 1:30:00 PM",103.647,216.091,2020-06-05 05:30:00
"POKE1","06/05/20 1:45:00 PM",103.656,216.092,2020-06-05 05:45:00
"POKE1","06/05/20 2:00:00 PM",103.663,216.092,2020-06-05 06:00:00
"POKE1","06/05/20 2:15:00 PM",103.652,216.091,2020-06-05 06:15:00
"POKE1","06/05/20 2:30:00 PM",103.683,216.093,2020-06-05 06:30:00
"POKE1","06/05/20 2:45:00 PM",103.708,216.093,2020-06-05 06:45:00
"POKE1","06/05/20 3:00:00 PM",103.825,216.103,2020-06-05 07:00:00
"POKE1","06/05/20 3:15:00 PM",103.933,216.114,2020-06-05 07:15:00
"POKE1","06/05/20 3:30:00 PM",103.974,216.118,2020-06-05 07:30:00
"POKE1","06/05/20 3:45:00 PM",103.885,216.112,2020-06-05 07:45:00
"POKE1","06/05/20 4:00:00 PM",103.819,216.107,2020-06-05 08:00:00
"POKE1","06/05/20 4:15:00 PM",103.829,216.109,2020-06-05 08:15:00
"POKE1","06/05/20 4:30:00 PM",103.774,216.105,2020-06-05 08:30:00
"POKE1","06/05/20 4:45:00 PM",103.766,216.108,2020-06-05 08:45:00
"POKE1","06/05/20 5:00:00 PM",103.679,216.101,2020-06-05 09:00:00
"POKE1","06/05/20 5:15:00 PM",103.655,216.102,2020-06-05 09:15:00
"POKE1","06/05/20 5:30:00 PM",103.62,216.1,2020-06-05 09:30:00
"POKE1","06/05/20 5:45:00 PM",103.647,216.102,2020-06-05 09:45:00
"POKE1","06/05/20 6:00:00 PM",103.62,216.1,2020-06-05 10:00:00
"POKE1","06/05/20 6:15:00 PM",103.641,216.103,2020-06-05 10:15:00
"POKE1","06/05/20 6:30:00 PM",103.655,216.106,2020-06-05 10:30:00
"POKE1","06/05/20 6:45:00 PM",103.624,216.102,2020-06-05 10:45:00
"POKE1","06/05/20 7:00:00 PM",103.603,216.099,2020-06-05 11:00:00
"POKE1","06/05/20 7:15:00 PM",103.634,216.102,2020-06-05 11:15:00
"POKE1","06/05/20 7:30:00 PM",103.603,216.099,2020-06-05 11:30:00
"POKE1","06/05/20 7:45:00 PM",103.603,216.102,2020-06-05 11:45:00
"POKE1","06/05/20 8:00:00 PM",103.61,216.101,2020-06-05 12:00:00
"POKE1","06/05/20 8:15:00 PM",103.645,216.103,2020-06-05 12:15:00
"POKE1","06/05/20 8:30:00 PM",103.676,216.106,2020-06-05 12:30:00
"POKE1","06/05/20 8:45:00 PM",103.679,216.105,2020-06-05 12:45:00
"POKE1","06/05/20 9:00:00 PM",103.694,216.107,2020-06-05 13:00:00
"POKE1","06/05/20 9:15:00 PM",103.704,216.108,2020-06-05 13:15:00
"POKE1","06/05/20 9:30:00 PM",103.729,216.111,2020-06-05 13:30:00
"POKE1","06/05/20 9:45:00 PM",103.722,216.109,2020-06-05 13:45:00
"POKE1","06/05/20 10:00:00 PM",103.726,216.107,2020-06-05 14:00:00
"POKE1","06/05/20 10:15:00 PM",103.75,216.109,2020-06-05 14:15:00
"POKE1","06/05/20 10:30:00 PM",103.754,216.108,2020-06-05 14:30:00
"POKE1","06/05/20 10:45:00 PM",103.826,216.115,2020-06-05 14:45:00
"POKE1","06/05/20 11:00:00 PM",103.789,216.11,2020-06-05 15:00:00
"POKE1","06/05/20 11:15:00 PM",103.834,216.114,2020-06-05 15:15:00
"POKE1","06/05/20 11:30:00 PM",103.827,216.115,2020-06-05 15:30:00
"POKE1","06/05/20 11:45:00 PM",103.821,216.115,2020-06-05 15:45:00
"POKE1","06/06/20 12:00:00 AM",103.872,216.118,2020-06-05 16:00:00
"POKE1","06/06/20 12:15:00 AM",103.855,216.117,2020-06-05 16:15:00
"POKE1","06/06/20 12:30:00 AM",103.859,216.117,2020-06-05 16:30:00
"POKE1","06/06/20 12:45:00 AM",103.873,216.118,2020-06-05 16:45:00
"POKE1","06/06/20 1:00:00 AM",103.904,216.12,2020-06-05 17:00:00
"POKE1","06/06/20 1:15:00 AM",103.897,216.12,2020-06-05 17:15:00
"POKE1","06/06/20 1:30:00 AM",103.911,216.122,2020-06-05 17:30:00
"POKE1","06/06/20 1:45:00 AM",103.915,216.121,2020-06-05 17:45:00
"POKE1","06/06/20 2:00:00 AM",103.949,216.123,2020-06-05 18:00:00
"POKE1","06/06/20 2:15:00 AM",103.963,216.124,2020-06-05 18:15:00
"POKE1","06/06/20 2:30:00 AM",103.963,216.124,2020-06-05 18:30:00
"POKE1","06/06/20 2:45:00 AM",104.019,216.13,2020-06-05 18:45:00
"POKE1","06/06/20 3:00:00 AM",103.991,216.126,2020-06-05 19:00:00
"POKE1","06/06/20 3:15:00 AM",104.015,216.127,2020-06-05 19:15:00
"POKE1","06/06/20 3:30:00 AM",104.026,216.129,2020-06-05 19:30:00
"POKE1","06/06/20 3:45:00 AM",104.029,216.13,2020-06-05 19:45:00
"POKE1","06/06/20 4:00:00 AM",104.043,216.13,2020-06-05 20:00:00
"POKE1","06/06/20 4:15:00 AM",104.053,216.131,2020-06-05 20:15:00
"POKE1","06/06/20 4:30:00 AM",104.077,216.132,2020-06-05 20:30:00
"POKE1","06/06/20 4:45:00 AM",104.091,216.134,2020-06-05 20:45:00
"POKE1","06/06/20 5:00:00 AM",104.091,216.134,2020-06-05 21:00:00
"POKE1","06/06/20 5:15:00 AM",104.043,216.13,2020-06-05 21:15:00
"POKE1","06/06/20 5:30:00 AM",104.087,216.136,2020-06-05 21:30:00
"POKE1","06/06/20 5:45:00 AM",104.077,216.135,2020-06-05 21:45:00
"POKE1","06/06/20 6:00:00 AM",104.077,216.136,2020-06-05 22:00:00
"POKE1","06/06/20 6:15:00 AM",104.07,216.136,2020-06-05 22:15:00
"POKE1","06/06/20 6:30:00 AM",104.039,216.134,2020-06-05 22:30:00
"POKE1","06/06/20 6:45:00 AM",104.049,216.134,2020-06-05 22:45:00
