"","DateTime","WaterLevelmeters","Site.x","Site.y","Date","Time","Method","VolSlugml","Batch","MeasuredQ_Ls","Notes","pred.french1.Q"
"1",2018-05-29 16:00:00,184.707994688081,"FRCH",NA,NA,NA,NA,1000,NA,722.38418525557,NA,763.679932949715
"2",2018-05-29 16:30:00,184.707989751358,"FRCH",NA,NA,NA,NA,1000,NA,722.342156001944,NA,763.675147155533
"3",2018-05-29 17:00:00,184.707984439129,"FRCH",NA,NA,NA,NA,1000,NA,722.300126748312,NA,763.669997334859
"4",2018-05-29 17:30:00,184.707978799026,"FRCH",NA,NA,NA,NA,1000,NA,722.258097494681,NA,763.664529665315
"5",2018-05-29 18:00:00,184.707972878685,"FRCH",NA,NA,NA,NA,1000,NA,722.21606824105,NA,763.658790324465
"6",2018-05-29 18:30:00,184.707966725738,"FRCH",NA,NA,NA,NA,1000,NA,722.174038987419,NA,763.65282548996
"7",2018-05-29 19:00:00,184.707960387821,"FRCH",NA,NA,NA,NA,1000,NA,722.132009733787,NA,763.646681339509
"8",2018-05-29 19:30:00,184.707953912566,"FRCH",NA,NA,NA,NA,1000,NA,722.089980480156,NA,763.640404050704
"9",2018-05-29 20:00:00,184.707947347609,"FRCH",NA,NA,NA,NA,1000,NA,722.047951226525,NA,763.634039801196
"10",2018-05-29 20:30:00,184.707940740582,"FRCH",NA,NA,NA,NA,1000,NA,722.005921972893,NA,763.627634768636
"11",2018-05-29 21:00:00,184.70793413912,"FRCH",NA,NA,NA,NA,1000,NA,721.963892719262,NA,763.621235130675
"12",2018-05-29 21:30:00,184.707927590856,"FRCH",NA,NA,NA,NA,1000,NA,721.921863465631,NA,763.614887064905
"13",2018-05-29 22:00:00,184.707921143425,"FRCH",NA,NA,NA,NA,1000,NA,721.879834212,NA,763.608636749035
"14",2018-05-29 22:30:00,184.707914844461,"FRCH",NA,NA,NA,NA,1000,NA,721.837804958368,NA,763.602530360688
"15",2018-05-29 23:00:00,184.707908741597,"FRCH",NA,NA,NA,NA,1000,NA,721.795775704737,NA,763.596614077513
"16",2018-05-29 23:30:00,184.707902882467,"FRCH",NA,NA,NA,NA,1000,NA,721.753746451106,NA,763.590934077103
"17",2018-05-30 00:00:00,184.707897314706,"FRCH",NA,NA,NA,NA,1000,NA,721.711717197475,NA,763.585536537168
"18",2018-05-30 00:30:00,184.707892085947,"FRCH",NA,NA,NA,NA,1000,NA,721.669687943843,NA,763.5804676353
"19",2018-05-30 01:00:00,184.707887243825,"FRCH",NA,NA,NA,NA,1000,NA,721.627658690212,NA,763.575773549208
"20",2018-05-30 01:30:00,184.707882835972,"FRCH",NA,NA,NA,NA,1000,NA,721.585629436581,NA,763.571500456455
"21",2018-05-30 02:00:00,184.707878910024,"FRCH",NA,NA,NA,NA,1000,NA,721.543600182949,NA,763.567694534751
"22",2018-05-30 02:30:00,184.707875513614,"FRCH",NA,NA,NA,NA,1000,NA,721.501570929318,NA,763.564401961718
"23",2018-05-30 03:00:00,184.707872694375,"FRCH",NA,NA,NA,NA,1000,NA,721.459541675687,NA,763.561668914976
"24",2018-05-30 03:30:00,184.707870499943,"FRCH",NA,NA,NA,NA,1000,NA,721.417512422056,NA,763.559541572205
"25",2018-05-30 04:00:00,184.70786897795,"FRCH",NA,NA,NA,NA,1000,NA,721.375483168424,NA,763.558066111
