"Site","DateTime","PT1Q","PT2Q","MeanDischarge"
"FRCH",2018-05-30 07:00:00,802.768698149361,685.596369140068,744.182533644715
"FRCH",2018-05-30 07:30:00,805.610992663191,685.108924437984,745.359958550587
"FRCH",2018-05-30 08:00:00,804.663561158581,682.671700927545,743.667631043063
"FRCH",2018-05-30 08:30:00,801.82126664478,682.184256225461,742.00276143512
"FRCH",2018-05-30 09:00:00,803.716129653971,681.696811523361,742.706470588666
"FRCH",2018-05-30 09:30:00,802.768698149361,680.721922119206,741.745310134283
"FRCH",2018-05-30 10:00:00,800.87383514017,678.772143310838,739.822989225504
"FRCH",2018-05-30 10:30:00,802.768698149361,678.772143310838,740.770420730099
"FRCH",2018-05-30 11:00:00,799.926403635589,678.772143310838,739.349273473214
"FRCH",2018-05-30 11:30:00,798.978972130979,677.797253906683,738.388113018831
"FRCH",2018-05-30 12:00:00,801.82126664478,678.284698608753,740.052982626767
"FRCH",2018-05-30 12:30:00,799.926403635589,677.309809204584,738.618106420086
"FRCH",2018-05-30 13:00:00,801.82126664478,677.797253906683,739.809260275732
"FRCH",2018-05-30 13:30:00,803.716129653971,678.284698608753,741.000414131362
"FRCH",2018-05-30 14:00:00,800.87383514017,678.772143310838,739.822989225504
"FRCH",2018-05-30 14:30:00,798.031540626369,679.259588012937,738.645564319653
"FRCH",2018-05-30 15:00:00,798.031540626369,681.696811523361,739.864176074865
"FRCH",2018-05-30 15:30:00,799.926403635589,681.696811523361,740.811607579475
"FRCH",2018-05-30 16:00:00,798.031540626369,683.646590331729,740.839065479049
"FRCH",2018-05-30 16:30:00,795.189246112568,684.1340350338,739.661640573184
"FRCH",2018-05-30 17:00:00,795.189246112568,684.1340350338,739.661640573184
"FRCH",2018-05-30 17:30:00,793.294383103377,684.621479735884,738.957931419631
"FRCH",2018-05-30 18:00:00,792.346951598796,683.15914562963,737.753048614213
"FRCH",2018-05-30 18:30:00,792.346951598796,682.671700927545,737.509326263171
"FRCH",2018-05-30 19:00:00,788.557225580385,681.696811523361,735.127018551873
"FRCH",2018-05-30 19:30:00,785.714931066585,682.671700927545,734.193315997065
"FRCH",2018-05-30 20:00:00,785.714931066585,682.184256225461,733.949593646023
"FRCH",2018-05-30 20:30:00,783.820068057365,682.184256225461,733.002162141413
"FRCH",2018-05-30 21:00:00,780.977773543593,680.721922119206,730.8498478314
"FRCH",2018-05-30 21:30:00,781.925205048203,681.209366821276,731.56728593474
"FRCH",2018-05-30 22:00:00,780.977773543593,681.209366821276,731.093570182435
"FRCH",2018-05-30 22:30:00,781.925205048203,679.747032715022,730.836118881612
"FRCH",2018-05-30 23:00:00,785.714931066585,678.772143310838,732.243537188711
"FRCH",2018-05-30 23:30:00,782.872636552813,679.259588012937,731.066112282875
"FRCH",2018-05-31 00:00:00,784.767499561975,678.284698608753,731.526099085364
"FRCH",2018-05-31 00:30:00,781.925205048203,676.334919800414,729.130062424309
"FRCH",2018-05-31 01:00:00,786.662362571195,676.822364502499,731.742363536847
"FRCH",2018-05-31 01:30:00,780.977773543593,675.36003039623,728.168901969912
"FRCH",2018-05-31 02:00:00,782.872636552813,674.385140992061,728.628888772437
"FRCH",2018-05-31 02:30:00,783.820068057365,674.385140992061,729.102604524713
"FRCH",2018-05-31 03:00:00,784.767499561975,671.947917481637,728.357708521806
"FRCH",2018-05-31 03:30:00,783.820068057365,671.460472779552,727.640270418458
"FRCH",2018-05-31 04:00:00,780.977773543593,669.023249269114,725.000511406353
"FRCH",2018-05-31 04:30:00,780.977773543593,668.04835986493,724.513066704261
"FRCH",2018-05-31 05:00:00,782.872636552813,666.098581056591,724.485608804702
"FRCH",2018-05-31 05:30:00,781.925205048203,666.098581056591,724.011893052397
"FRCH",2018-05-31 06:00:00,779.082910534373,665.123691652407,722.10330109339
"FRCH",2018-05-31 06:30:00,778.135479029792,665.611136354506,721.873307692149
"FRCH",2018-05-31 07:00:00,780.977773543593,667.560915162845,724.269344353219
"FRCH",2018-05-31 07:30:00,783.820068057365,668.04835986493,725.934213961147
"FRCH",2018-05-31 08:00:00,781.925205048203,668.04835986493,724.986782456566
