"","DateTimeAK","pred.frch.Q","pred.moos.Q"
"1",2015-05-18 09:00:00,139.43108704736,1739.66859786939
"2",2015-05-18 10:00:00,139.461405575119,1745.75120744844
"3",2015-05-18 11:00:00,139.502345470037,1755.78092365919
"4",2015-05-18 13:00:00,139.616929813317,1769.5216572862
"5",2015-05-18 14:00:00,139.691001343059,1786.73731912777
"6",2015-05-18 15:00:00,139.880705045278,1807.19181998224
"7",2015-05-18 16:00:00,139.676750746769,1830.64907064793
"8",2015-05-18 17:00:00,139.60622149183,1856.87298192314
"9",2015-05-18 18:00:00,139.763128880212,1885.62746460621
"10",2015-05-18 19:00:00,139.878370116104,1916.67642949545
"11",2015-05-18 20:00:00,139.714250886787,1949.78378738919
"12",2015-05-18 21:00:00,139.733040567349,1984.71344908573
"13",2015-05-18 22:00:00,139.872407895627,2021.2293253834
"14",2015-05-18 23:00:00,139.777844791619,2059.09532708053
"15",2015-05-19 00:00:00,139.964494773797,2098.07536497543
"16",2015-05-19 01:00:00,139.895925962485,2137.93334986642
"17",2015-05-19 02:00:00,139.923183662196,2178.43319255181
"18",2015-05-19 03:00:00,139.913537568363,2219.33880382994
"19",2015-05-19 04:00:00,139.765234851167,2260.41409449912
"20",2015-05-19 08:00:00,139.634390708557,2301.42297535766
"21",2015-05-19 09:00:00,139.557277735701,2342.1293572039
"22",2015-05-19 10:00:00,139.537918813151,2382.29715083614
"23",2015-05-19 11:00:00,139.555313393526,2421.69026705272
"24",2015-05-19 12:00:00,139.601698098712,2460.07261665194
"25",2015-05-19 13:00:00,139.532453306453,2497.20811043213
"26",2015-05-19 15:00:00,139.487136443031,2532.8606591916
"27",2015-05-19 16:00:00,139.518958815848,2566.79417372869
"28",2015-05-19 17:00:00,139.521997492247,2598.7725648417
"29",2015-05-19 18:00:00,139.568873687553,2628.55974332896
"30",2015-05-19 19:00:00,139.536653702672,2655.91961998878
"31",2015-05-19 20:00:00,139.554266219602,2680.61610561949
"32",2015-05-19 21:00:00,139.565428320488,2702.41311101941
"33",2015-05-19 23:00:00,139.726335760469,2721.07454698685
"34",2015-05-20 00:00:00,139.731910855513,2736.36432432014
"35",2015-05-20 01:00:00,139.821048930509,2748.04635381759
"36",2015-05-20 02:00:00,139.67369500138,2755.88454627753
"37",2015-05-20 03:00:00,139.620790116607,2759.64281249827
"38",2015-05-20 04:00:00,139.571871463686,2759.08506327814
"39",2015-05-20 05:00:00,139.529417954019,2753.97520941545
"40",2015-05-20 06:00:00,139.539340812143,2744.07716170852
"41",2015-05-20 07:00:00,139.47706306645,2729.15483095568
"42",2015-05-20 08:00:00,139.444916668427,2708.97212795524
"43",2015-05-20 09:00:00,139.416670501906,2683.29296350553
"44",2015-05-20 10:00:00,139.446601911199,2651.88124840485
"45",2015-05-20 11:00:00,139.424035552218,2614.50089345154
"46",2015-05-20 12:00:00,139.412710490633,2570.91580944391
"47",2015-05-20 13:00:00,139.418685211865,2520.88990718029
"48",2015-05-20 14:00:00,139.445079967836,2464.18709745898
"49",2015-05-20 15:00:00,139.437700788206,2400.57129107832
"50",2015-05-20 16:00:00,139.467145761568,2329.80639883661
"51",2015-05-20 17:00:00,139.474266695548,2251.65633153219
"52",2015-05-20 18:00:00,139.470610156514,2165.88499996337
