"Site","DateTime","MeanWL"
"MOOS1",2020-06-15 09:30:00,166.2705
"MOOS1",2020-06-15 09:45:00,166.2695
"MOOS1",2020-06-15 10:00:00,166.271
"MOOS1",2020-06-15 10:15:00,166.275
"MOOS1",2020-06-15 10:30:00,166.278
"MOOS1",2020-06-15 10:45:00,166.278
"MOOS1",2020-06-15 11:00:00,166.2745
"MOOS1",2020-06-15 11:15:00,166.2725
"MOOS1",2020-06-15 11:30:00,166.269
"MOOS1",2020-06-15 11:45:00,166.266
"MOOS1",2020-06-15 12:00:00,166.263
"MOOS1",2020-06-15 12:15:00,166.259
"MOOS1",2020-06-15 12:30:00,166.259
"MOOS1",2020-06-15 12:45:00,166.258
"MOOS1",2020-06-15 13:00:00,166.256
"MOOS1",2020-06-15 13:15:00,166.254
"MOOS1",2020-06-15 13:30:00,166.2545
"MOOS1",2020-06-15 13:45:00,166.2525
"MOOS1",2020-06-15 14:00:00,166.252
"MOOS1",2020-06-15 14:15:00,166.251
"MOOS1",2020-06-15 14:30:00,166.25
"MOOS1",2020-06-15 14:45:00,166.2505
"MOOS1",2020-06-15 15:00:00,166.25
"MOOS1",2020-06-15 15:15:00,166.2495
"MOOS1",2020-06-15 15:30:00,166.2495
"MOOS1",2020-06-15 15:45:00,166.248
"MOOS1",2020-06-15 16:00:00,166.246
"MOOS1",2020-06-15 16:15:00,166.2455
"MOOS1",2020-06-15 16:30:00,166.246
"MOOS1",2020-06-15 16:45:00,166.2445
"MOOS1",2020-06-15 17:00:00,166.244
"MOOS1",2020-06-15 17:15:00,166.244
"MOOS1",2020-06-15 17:30:00,166.24
"MOOS1",2020-06-15 17:45:00,166.2415
"MOOS1",2020-06-15 18:00:00,166.2385
"MOOS1",2020-06-15 18:15:00,166.2375
"MOOS1",2020-06-15 18:30:00,166.235
"MOOS1",2020-06-15 18:45:00,166.235
"MOOS1",2020-06-15 19:00:00,166.235
"MOOS1",2020-06-15 19:15:00,166.234
"MOOS1",2020-06-15 19:30:00,166.234
"MOOS1",2020-06-15 19:45:00,166.235
"MOOS1",2020-06-15 20:00:00,166.2345
"MOOS1",2020-06-15 20:15:00,166.2355
"MOOS1",2020-06-15 20:30:00,166.236
"MOOS1",2020-06-15 20:45:00,166.235
"MOOS1",2020-06-15 21:00:00,166.233
"MOOS1",2020-06-15 21:15:00,166.2325
"MOOS1",2020-06-15 21:30:00,166.2345
"MOOS1",2020-06-15 21:45:00,166.233
"MOOS1",2020-06-15 22:00:00,166.2315
"MOOS1",2020-06-15 22:15:00,166.2305
"MOOS1",2020-06-15 22:30:00,166.231
"MOOS1",2020-06-15 22:45:00,166.231
"MOOS1",2020-06-15 23:00:00,166.231
"MOOS1",2020-06-15 23:15:00,166.2325
"MOOS1",2020-06-15 23:30:00,166.2295
"MOOS1",2020-06-15 23:45:00,166.23
"MOOS1",2020-06-16 00:00:00,166.2285
"MOOS1",2020-06-16 00:15:00,166.2305
"MOOS1",2020-06-16 00:30:00,166.2315
"MOOS1",2020-06-16 00:45:00,166.23
"MOOS1",2020-06-16 01:00:00,166.2295
"MOOS1",2020-06-16 01:15:00,166.232
"MOOS1",2020-06-16 01:30:00,166.2325
"MOOS1",2020-06-16 01:45:00,166.233
"MOOS1",2020-06-16 02:00:00,166.233
"MOOS1",2020-06-16 02:15:00,166.2315
"MOOS1",2020-06-16 02:30:00,166.2325
"MOOS1",2020-06-16 02:45:00,166.2335
"MOOS1",2020-06-16 03:00:00,166.2345
"MOOS1",2020-06-16 03:15:00,166.2335
"MOOS1",2020-06-16 03:30:00,166.236
"MOOS1",2020-06-16 03:45:00,166.2355
"MOOS1",2020-06-16 04:00:00,166.2345
"MOOS1",2020-06-16 04:15:00,166.234
"MOOS1",2020-06-16 04:30:00,166.234
"MOOS1",2020-06-16 04:45:00,166.2325
"MOOS1",2020-06-16 05:00:00,166.231
"MOOS1",2020-06-16 05:15:00,166.2305
"MOOS1",2020-06-16 05:30:00,166.2295
"MOOS1",2020-06-16 05:45:00,166.23
"MOOS1",2020-06-16 06:00:00,166.2305
"MOOS1",2020-06-16 06:15:00,166.232
"MOOS1",2020-06-16 06:30:00,166.2305
"MOOS1",2020-06-16 06:45:00,166.2285
"MOOS1",2020-06-16 07:00:00,166.2265
"MOOS1",2020-06-16 07:15:00,166.226
"MOOS1",2020-06-16 07:30:00,166.225
"MOOS1",2020-06-16 07:45:00,166.223
"MOOS1",2020-06-16 08:00:00,166.221
"MOOS1",2020-06-16 08:15:00,166.221
"MOOS1",2020-06-16 08:30:00,166.219
"MOOS1",2020-06-16 08:45:00,166.2185
"MOOS1",2020-06-16 09:00:00,166.2155
"MOOS1",2020-06-16 09:15:00,166.2125
"MOOS1",2020-06-16 09:30:00,166.212
"MOOS1",2020-06-16 09:45:00,166.2105
"MOOS1",2020-06-16 10:00:00,166.2095
"MOOS1",2020-06-16 10:15:00,166.209
"MOOS1",2020-06-16 10:30:00,166.208
"MOOS1",2020-06-16 10:45:00,166.2065
"MOOS1",2020-06-16 11:00:00,166.2055
"MOOS1",2020-06-16 11:15:00,166.205
"MOOS1",2020-06-16 11:30:00,166.205
"MOOS1",2020-06-16 11:45:00,166.207
"MOOS1",2020-06-16 12:00:00,166.205
"MOOS1",2020-06-16 12:15:00,166.2045
"MOOS1",2020-06-16 12:30:00,166.2045
"MOOS1",2020-06-16 12:45:00,166.203
"MOOS1",2020-06-16 13:00:00,166.203
"MOOS1",2020-06-16 13:15:00,166.202
"MOOS1",2020-06-16 13:30:00,166.2025
"MOOS1",2020-06-16 13:45:00,166.203
"MOOS1",2020-06-16 14:00:00,166.202
"MOOS1",2020-06-16 14:15:00,166.2025
"MOOS1",2020-06-16 14:30:00,166.201
"MOOS1",2020-06-16 14:45:00,166.201
"MOOS1",2020-06-16 15:00:00,166.201
"MOOS1",2020-06-16 15:15:00,166.1995
"MOOS1",2020-06-16 15:30:00,166.199
"MOOS1",2020-06-16 15:45:00,166.1985
"MOOS1",2020-06-16 16:00:00,166.2
"MOOS1",2020-06-16 16:15:00,166.199
"MOOS1",2020-06-16 16:30:00,166.1995
"MOOS1",2020-06-16 16:45:00,166.199
"MOOS1",2020-06-16 17:00:00,166.199
"MOOS1",2020-06-16 17:15:00,166.196
"MOOS1",2020-06-16 17:30:00,166.1985
"MOOS1",2020-06-16 17:45:00,166.196
"MOOS1",2020-06-16 18:00:00,166.195
"MOOS1",2020-06-16 18:15:00,166.195
"MOOS1",2020-06-16 18:30:00,166.1955
