"","DateTime","name","Q_Ls"
"1",2018-05-30 06:30:00,"French1",802.768698149361
"2",2018-05-30 07:00:00,"French1",805.610992663191
"3",2018-05-30 07:30:00,"French1",804.663561158581
"4",2018-05-30 08:00:00,"French1",801.82126664478
"5",2018-05-30 08:30:00,"French1",803.716129653971
"6",2018-05-30 09:00:00,"French1",802.768698149361
"7",2018-05-30 09:30:00,"French1",800.87383514017
"8",2018-05-30 10:00:00,"French1",802.768698149361
"9",2018-05-30 10:30:00,"French1",799.926403635589
"10",2018-05-30 11:00:00,"French1",798.978972130979
"11",2018-05-30 11:30:00,"French1",801.82126664478
"12",2018-05-30 12:00:00,"French1",799.926403635589
"13",2018-05-30 12:30:00,"French1",801.82126664478
"14",2018-05-30 13:00:00,"French1",803.716129653971
"15",2018-05-30 13:30:00,"French1",800.87383514017
"16",2018-05-30 14:00:00,"French1",798.031540626369
"17",2018-05-30 14:30:00,"French1",798.031540626369
"18",2018-05-30 15:00:00,"French1",799.926403635589
"19",2018-05-30 15:30:00,"French1",798.031540626369
"20",2018-05-30 16:00:00,"French1",795.189246112568
"21",2018-05-30 16:30:00,"French1",795.189246112568
"22",2018-05-30 17:00:00,"French1",793.294383103377
"23",2018-05-30 17:30:00,"French1",792.346951598796
"24",2018-05-30 18:00:00,"French1",792.346951598796
"25",2018-05-30 18:30:00,"French1",788.557225580385
"26",2018-05-30 19:00:00,"French1",785.714931066585
"27",2018-05-30 19:30:00,"French1",785.714931066585
"28",2018-05-30 20:00:00,"French1",783.820068057365
"29",2018-05-30 20:30:00,"French1",780.977773543593
"30",2018-05-30 21:00:00,"French1",781.925205048203
"31",2018-05-30 21:30:00,"French1",780.977773543593
"32",2018-05-30 22:00:00,"French1",781.925205048203
"33",2018-05-30 22:30:00,"French1",785.714931066585
"34",2018-05-30 23:00:00,"French1",782.872636552813
"35",2018-05-30 23:30:00,"French1",784.767499561975
"36",2018-05-31 00:00:00,"French1",781.925205048203
"37",2018-05-31 00:30:00,"French1",786.662362571195
"38",2018-05-31 01:00:00,"French1",780.977773543593
"39",2018-05-31 01:30:00,"French1",782.872636552813
"40",2018-05-31 02:00:00,"French1",783.820068057365
"41",2018-05-31 02:30:00,"French1",784.767499561975
"42",2018-05-31 03:00:00,"French1",783.820068057365
"43",2018-05-31 03:30:00,"French1",780.977773543593
