"Site","DateTime","MeanDischarge","min.x","inst_rainfall_mm.x","min.y","inst_rainfall_mm.y","Precip"
"STRT",2020-06-17 08:30:00,1317.35525758285,NA,NA,NA,NA,NA
"STRT",2020-06-17 08:45:00,1321.68946174381,NA,NA,NA,NA,NA
"STRT",2020-06-17 09:00:00,1310.13158398127,NA,NA,NA,NA,NA
"STRT",2020-06-17 09:15:00,1308.68684926094,NA,NA,NA,NA,NA
"STRT",2020-06-17 09:30:00,1317.35525758285,NA,NA,NA,NA,NA
"STRT",2020-06-17 09:45:00,1315.91052286251,NA,NA,NA,NA,NA
"STRT",2020-06-17 10:00:00,1317.35525758285,NA,NA,NA,NA,NA
"STRT",2020-06-17 10:15:00,1320.24472702347,NA,NA,NA,NA,NA
"STRT",2020-06-17 10:30:00,1305.79737982032,NA,NA,NA,NA,NA
"STRT",2020-06-17 10:45:00,1304.35264510004,NA,NA,NA,NA,NA
"STRT",2020-06-17 11:00:00,1304.35264510004,NA,NA,NA,NA,NA
"STRT",2020-06-17 11:15:00,1301.46317565936,NA,NA,NA,NA,NA
"STRT",2020-06-17 11:30:00,1305.79737982032,NA,NA,NA,NA,NA
"STRT",2020-06-17 11:45:00,1302.9079103797,NA,NA,NA,NA,NA
"STRT",2020-06-17 12:00:00,1301.46317565936,NA,NA,NA,NA,NA
"STRT",2020-06-17 12:15:00,1300.01844093908,NA,NA,NA,NA,NA
"STRT",2020-06-17 12:30:00,1304.35264510004,NA,NA,NA,NA,NA
"STRT",2020-06-17 12:45:00,1305.79737982032,NA,NA,NA,NA,NA
"STRT",2020-06-17 13:00:00,1300.01844093908,NA,NA,NA,NA,NA
"STRT",2020-06-17 13:15:00,1304.35264510004,NA,NA,NA,NA,NA
"STRT",2020-06-17 13:30:00,1305.79737982032,NA,NA,NA,NA,NA
"STRT",2020-06-17 13:45:00,1311.57631870155,NA,NA,NA,NA,NA
"STRT",2020-06-17 14:00:00,1307.2421145406,NA,NA,NA,NA,NA
"STRT",2020-06-17 14:15:00,1304.35264510004,NA,NA,NA,NA,NA
"STRT",2020-06-17 14:30:00,1311.57631870155,NA,NA,NA,NA,NA
"STRT",2020-06-17 14:45:00,1302.9079103797,NA,NA,NA,NA,NA
"STRT",2020-06-17 15:00:00,1294.23950205784,NA,NA,NA,NA,NA
"STRT",2020-06-17 15:15:00,1295.68423677812,NA,NA,NA,NA,NA
"STRT",2020-06-17 15:30:00,1300.01844093908,NA,NA,NA,NA,NA
"STRT",2020-06-17 15:45:00,1304.35264510004,NA,NA,NA,NA,NA
"STRT",2020-06-17 16:00:00,1301.46317565936,NA,NA,NA,NA,NA
"STRT",2020-06-17 16:15:00,1297.1289714984,NA,NA,NA,NA,NA
"STRT",2020-06-17 16:30:00,1302.9079103797,NA,NA,NA,NA,NA
"STRT",2020-06-17 16:45:00,1297.1289714984,NA,NA,NA,NA,NA
"STRT",2020-06-17 17:00:00,1298.57370621874,NA,NA,NA,NA,NA
"STRT",2020-06-17 17:15:00,1300.01844093908,NA,NA,NA,NA,NA
"STRT",2020-06-17 17:30:00,1302.9079103797,NA,NA,NA,NA,NA
"STRT",2020-06-17 17:45:00,1304.35264510004,NA,NA,NA,NA,NA
"STRT",2020-06-17 18:00:00,1298.57370621874,NA,NA,NA,NA,NA
"STRT",2020-06-17 18:15:00,1305.79737982032,NA,NA,NA,NA,NA
"STRT",2020-06-17 18:30:00,1295.68423677812,NA,NA,NA,NA,NA
"STRT",2020-06-17 18:45:00,1289.90529789688,NA,NA,NA,NA,NA
"STRT",2020-06-17 19:00:00,1294.23950205784,NA,NA,NA,NA,NA
"STRT",2020-06-17 19:15:00,1294.23950205784,NA,NA,NA,NA,NA
