"Project","Site","Date","Time","Type","Location","Pick up date","depth","lat","lon","SampleID","nitrate isotopes","scint_frozen_yn","anions_yn","cations_yn","water isotopes","TNDOC_pour_yn","filtered_uM","spcond","T","sampled_by","comments","DateTime","year"
"DOD","POKE",2019-05-10,"11:00","stream","sensors",NA,NA,NA,NA,"9240",NA,"n","y","y","n","n",0.7,NA,NA,NA,NA,2019-05-10 11:00:00,2019
"DOD","POKE",2019-05-10,"11:00","stream","sensors",NA,NA,NA,NA,"9247",NA,"n","y","y","9247","n",0.7,NA,NA,NA,NA,2019-05-10 11:00:00,2019
"DOD","POKE",2019-05-10,"11:00","stream","sensors",NA,NA,NA,NA,"133922",NA,"n","y","y","n","n",0.7,NA,NA,NA,NA,2019-05-10 11:00:00,2019
"DOD","STRT",2019-05-10,"8:00","stream","autosampler",2019-05-21,NA,NA,NA,"Stuart 5/21/19 6",NA,"n","y","y","n","Stuart 5/21/19 6",0.7,NA,NA,NA,NA,2019-05-10 08:00:00,2019
"DOD","STRT",2019-05-10,"20:00","stream","autosampler",2019-05-21,NA,NA,NA,"Stuart 5/21/19 7",NA,"n","y","y","n","Stuart 5/21/19 7",0.7,NA,NA,NA,NA,2019-05-10 20:00:00,2019
"DOD","VAUL",2019-05-10,"15:00","stream","sensors",NA,NA,NA,NA,"146",NA,"n","y","y","9227","n",0.7,NA,NA,NA,NA,2019-05-10 15:00:00,2019
"DOD","VAUL",2019-05-10,"15:00","stream","sensors",NA,NA,NA,NA,"9227",NA,"n","y","y","n","n",0.7,NA,NA,NA,NA,2019-05-10 15:00:00,2019
"DOD","VAUL",2019-05-10,"15:00","stream","sensors",NA,NA,NA,NA,"10962",NA,"n","y","y","n","n",0.7,NA,NA,NA,NA,2019-05-10 15:00:00,2019
"DOD","VAUL",2019-05-10,"20:00","stream","autosampler",2019-05-30,NA,NA,NA,"Vault 1",NA,"n","y","y","n","Vault 5/30/19 1",0.7,NA,NA,NA,NA,2019-05-10 20:00:00,2019
"DOD","STRT",2019-05-11,"20:00","stream","autosampler",2019-05-21,NA,NA,NA,"Stuart 5/21/19 9",NA,"n","y","y","n","Stuart 5/21/19 9",0.7,NA,NA,NA,NA,2019-05-11 20:00:00,2019
"DOD","VAUL",2019-05-11,"20:00","stream","autosampler",2019-05-30,NA,NA,NA,"Vault 2",NA,"n","y","y","n","Vault 5/30/19 2",0.7,NA,NA,NA,NA,2019-05-11 20:00:00,2019
"DOD","STRT",2019-05-12,"8:00","stream","autosampler",2019-05-21,NA,NA,NA,"Stuart 5/21/19 10",NA,"n","y","y","n","Stuart 5/21/19 10",0.7,NA,NA,NA,NA,2019-05-12 08:00:00,2019
"DOD","STRT",2019-05-12,"20:00","stream","autosampler",2019-05-21,NA,NA,NA,"Stuart 5/21/19 11",NA,"n","y","y","n","Stuart 5/21/19 11",0.7,NA,NA,NA,NA,2019-05-12 20:00:00,2019
"DOD","VAUL",2019-05-12,"20:00","stream","autosampler",2019-05-30,NA,NA,NA,"Vault 3",NA,"n","y","y","n","Vault 5/30/19 3",0.7,NA,NA,NA,NA,2019-05-12 20:00:00,2019
"DOD","STRT",2019-05-13,"8:00","stream","autosampler",2019-05-21,NA,NA,NA,"Stuart 5/21/19 12",NA,"n","y","y","n","Stuart 5/21/19 12",0.7,NA,NA,NA,NA,2019-05-13 08:00:00,2019
"DOD","STRT",2019-05-13,"20:00","stream","autosampler",2019-05-21,NA,NA,NA,"Stuart 5/21/19 13",NA,"n","y","y","n","Stuart 5/21/19 13",0.7,NA,NA,NA,NA,2019-05-13 20:00:00,2019
"DOD","VAUL",2019-05-13,"20:00","stream","autosampler",2019-05-30,NA,NA,NA,"Vault 4",NA,"n","y","y","n","Vault 5/30/19 4",0.7,NA,NA,NA,NA,2019-05-13 20:00:00,2019
"DOD","POKE",2019-05-14,"10:15","stream","upstream of bridge at beach",NA,NA,NA,NA,"128",NA,"n","y","y","128","n",0.7,NA,NA,NA,NA,2019-05-14 10:15:00,2019
"DOD","POKE",2019-05-14,"10:15","stream","upstream of bridge at beach",NA,NA,NA,NA,"7893",NA,"n","y","y","n","n",0.7,NA,NA,NA,NA,2019-05-14 10:15:00,2019
"DOD","POKE",2019-05-14,"10:15","stream","upstream of bridge at beach",NA,NA,NA,NA,"10123",NA,"n","y","y","n","n",0.7,NA,NA,NA,NA,2019-05-14 10:15:00,2019
"DOD","STRT",2019-05-14,"8:00","stream","autosampler",2019-05-21,NA,NA,NA,"Stuart 5/21/19 14",NA,"n","y","y","n","Stuart 5/21/19 14",0.7,NA,NA,NA,NA,2019-05-14 08:00:00,2019
"DOD","STRT",2019-05-14,"20:00","stream","autosampler",2019-05-21,NA,NA,NA,"Stuart 5/21/19 15",NA,"n","y","y","n","Stuart 5/21/19 15",0.7,NA,NA,NA,NA,2019-05-14 20:00:00,2019
"DOD","VAUL",2019-05-14,"20:00","stream","autosampler",2019-05-30,NA,NA,NA,"Vault 5",NA,"n","y","y","n","Vault 5/30/19 5",0.7,NA,NA,NA,NA,2019-05-14 20:00:00,2019
"DOD","STRT",2019-05-15,"8:00","stream","autosampler",2019-05-21,NA,NA,NA,"Stuart 5/21/19 16",NA,"n","y","y","n","Stuart 5/21/19 16",0.7,NA,NA,NA,NA,2019-05-15 08:00:00,2019
"DOD","STRT",2019-05-15,"20:00","stream","autosampler",2019-05-21,NA,NA,NA,"Stuart 5/21/19 17",NA,"n","y","y","n","Stuart 5/21/19 17",0.7,NA,NA,NA,NA,2019-05-15 20:00:00,2019
"DOD","VAUL",2019-05-15,"20:00","stream","autosampler",2019-05-30,NA,NA,NA,"Vault 6",NA,"n","y","y","n","Vault 5/30/19 6",0.7,NA,NA,NA,NA,2019-05-15 20:00:00,2019
"DOD","STRT",2019-05-16,"8:00","stream","autosampler",2019-05-21,NA,NA,NA,"Stuart 5/21/19 18",NA,"n","y","y","n","Stuart 5/21/19 18",0.7,NA,NA,NA,NA,2019-05-16 08:00:00,2019
"DOD","STRT",2019-05-16,"20:00","stream","autosampler",2019-05-21,NA,NA,NA,"Stuart 5/21/19 19",NA,"n","y","y","n","Stuart 5/21/19 19",0.7,NA,NA,NA,NA,2019-05-16 20:00:00,2019
"DOD","VAUL",2019-05-16,"20:00","stream","autosampler",2019-05-30,NA,NA,NA,"Vault 7",NA,"n","y","y","n","Vault 5/30/19 7",0.7,NA,NA,NA,NA,2019-05-16 20:00:00,2019
"DOD","STRT",2019-05-17,"8:00","stream","autosampler",2019-05-21,NA,NA,NA,"Stuart 5/21/19 20",NA,"n","y","y","n","Stuart 5/21/19 20",0.7,NA,NA,NA,NA,2019-05-17 08:00:00,2019
