"Project","Site","Date","Time","Type","Location","Pick up date","depth","lat","lon","SampleID","nitrate isotopes","scint_frozen_yn","anions_yn","cations_yn","water isotopes","TNDOC_pour_yn","filtered_uM","spcond","T","sampled_by","comments","DateTime","year"
"DOD","FRCH",2019-05-31,"14:45","stream","sensors",NA,NA,NA,NA,"11991",NA,"n","y","y","n","n",0.7,NA,NA,NA,NA,2019-05-31 14:45:00,2019
"DOD","MOOS",2019-05-31,"10:45","stream","sensors",NA,NA,NA,NA,"9439",NA,"n","y","y","n","n",0.7,NA,NA,NA,NA,2019-05-31 10:45:00,2019
"DOD","MOOS",2019-05-31,"10:45","stream","sensors",NA,NA,NA,NA,"9444",NA,"n","y","y","n","n",0.7,NA,NA,NA,NA,2019-05-31 10:45:00,2019
"DOD","MOOS",2019-05-31,"10:45","stream","sensors",NA,NA,NA,NA,"9447",NA,"n","y","y","9444","n",0.7,NA,NA,NA,NA,2019-05-31 10:45:00,2019
"DOD","EM",2019-06-05,NA,"soil water","STRT",NA,NA,NA,NA,"9453",NA,"n","y","y","n",NA,0.7,NA,NA,NA,"east side of stream",NA,2019
"DOD","EM",2019-06-05,NA,"soil water","STRT",NA,NA,NA,NA,"9455",NA,"n","y","y","n",NA,0.7,NA,NA,NA,"east side of stream",NA,2019
"DOD","EM",2019-06-05,NA,"soil water","STRT",NA,NA,NA,NA,"9456",NA,"n","y","y","n",NA,0.7,NA,NA,NA,"east side of stream",NA,2019
"DOD","EM",2019-06-05,NA,"soil water","STRT",NA,NA,NA,NA,"9457",NA,"n","y","y","n",NA,0.7,NA,NA,NA,"east side of stream",NA,2019
"DOD","STRT",2019-06-05,"11:00","stream","sensors",NA,NA,NA,NA,"8462","y","y","y","y","y","y",0.7,NA,NA,NA,NA,2019-06-05 11:00:00,2019
"DOD","STRT",2019-06-05,"11:00","stream","sensors",NA,NA,NA,NA,"9458",NA,"n","y","y","n",NA,0.7,NA,NA,NA,NA,2019-06-05 11:00:00,2019
"DOD","STRT",2019-06-05,"11:00","stream","sensors",NA,NA,NA,NA,"9458","y","y","y","y","y","y",0.7,NA,NA,NA,NA,2019-06-05 11:00:00,2019
"DOD","STRT",2019-06-05,"11:00","stream","sensors",NA,NA,NA,NA,"9461",NA,"n","y","y","n",NA,0.7,NA,NA,NA,NA,2019-06-05 11:00:00,2019
"DOD","STRT",2019-06-05,"11:00","stream","sensors",NA,NA,NA,NA,"9461","y","y","y","y","y","y",0.7,NA,NA,NA,NA,2019-06-05 11:00:00,2019
"DOD","STRT",2019-06-05,"11:00","stream","sensors",NA,NA,NA,NA,"9462",NA,"n","y","y","9462",NA,0.7,NA,NA,NA,NA,2019-06-05 11:00:00,2019
"DOD","EM",2019-06-07,NA,"soil water","VAUL",NA,NA,NA,NA,"7860",NA,"n","y","y","y",NA,0.699999999999999,NA,NA,NA,"Filtered in lab. Very sludgy",NA,2019
"DOD","EM",2019-06-07,NA,"soil water","VAUL",NA,NA,NA,NA,"9162",NA,"n","y","y","n",NA,0.699999999999998,NA,NA,NA,NA,NA,2019
"DOD","EM",2019-06-07,NA,"soil water","VAUL",NA,NA,NA,NA,"10068",NA,"n","y","y","n",NA,0.699999999999998,NA,NA,NA,NA,NA,2019
"DOD","EM",2019-06-07,NA,"soil water","VAUL",NA,NA,NA,NA,"10950",NA,"n","y","y","10950",NA,0.699999999999998,NA,NA,NA,"Filtered in lab. Very sludgy",NA,2019
"DOD","EM",2019-06-07,"11:00","soil sample","VAUL",NA,NA,NA,NA,"7380","y","y","y","y","y","y",0.7,NA,NA,NA,NA,2019-06-07 11:00:00,2019
"DOD","VAUL",2019-06-07,"14:00","stream","sensors",NA,NA,NA,NA,"10117",NA,"n","y","y","n",NA,0.699999999999998,NA,NA,NA,NA,2019-06-07 14:00:00,2019
"DOD","VAUL",2019-06-07,"14:00","stream","sensors",NA,NA,NA,NA,"13349",NA,"n","y","y","13349",NA,0.699999999999998,NA,NA,NA,NA,2019-06-07 14:00:00,2019
"DOD","VAUL",2019-06-07,"14:00","stream","sensors",NA,NA,NA,NA,"13389",NA,"n","y","y","n",NA,0.699999999999998,NA,NA,NA,NA,2019-06-07 14:00:00,2019
"DOD","EM",2019-06-13,"16:15","soil water","FRCH",NA,NA,NA,NA,"9221",NA,"n","y","y","n",NA,0.699999999999996,NA,NA,NA,NA,2019-06-13 16:15:00,2019
"DOD","EM",2019-06-13,"12:30","soil water","MOOS",NA,NA,NA,NA,"9231",NA,"n","y","y","n",NA,0.699999999999997,NA,NA,NA,NA,2019-06-13 12:30:00,2019
"DOD","EM",2019-06-13,"12:30","soil water","MOOS",NA,NA,NA,NA,"9266",NA,"n","y","y","n",NA,0.699999999999997,NA,NA,NA,"Filtered in lab. Very sludgy",2019-06-13 12:30:00,2019
