"Site","DateTime","MeanDischarge","CRREL_Precip","Caribou_Precip","Precip","twentyfour","fourtyeight"
"POKE",2020-06-04 05:00:00,875.68264523329,0,0,0,0,0
"POKE",2020-06-04 05:15:00,877.76030838961,NA,NA,NA,0,0
"POKE",2020-06-04 05:30:00,869.812830440816,NA,NA,NA,0,0
"POKE",2020-06-04 05:45:00,855.181925088924,NA,NA,NA,0,0
"POKE",2020-06-04 06:00:00,859.787689335993,0,0,0,0,0
"POKE",2020-06-04 06:15:00,848.498497685592,NA,NA,NA,0,0
"POKE",2020-06-04 06:30:00,878.573921000294,NA,NA,NA,0,0
"POKE",2020-06-04 06:45:00,868.548779895355,NA,NA,NA,0,0
"POKE",2020-06-04 07:00:00,871.890493596962,0,0,0,0,0
"POKE",2020-06-04 07:15:00,877.76030838961,NA,NA,NA,0,0
"POKE",2020-06-04 07:30:00,886.521398948971,NA,NA,NA,0,0
"POKE",2020-06-04 07:45:00,869.812830440816,NA,NA,NA,0,0
"POKE",2020-06-04 08:00:00,885.707786338229,0,0,0,0,0
"POKE",2020-06-04 08:15:00,880.288409480418,NA,NA,NA,0,0
"POKE",2020-06-04 08:30:00,868.999217830074,NA,NA,NA,0,0
"POKE",2020-06-04 08:45:00,876.13308316801,NA,NA,NA,0,0
"POKE",2020-06-04 09:00:00,872.791369466402,0,0,0,0,0
"POKE",2020-06-04 09:15:00,869.449655764794,NA,NA,NA,0,0
"POKE",2020-06-04 09:30:00,872.791369466402,NA,NA,NA,0,0
"POKE",2020-06-04 09:45:00,879.024358935014,NA,NA,NA,0,0
"POKE",2020-06-04 10:00:00,860.238127270655,0,0,0,0,0
"POKE",2020-06-04 10:15:00,871.52731892094,NA,NA,NA,0,0
"POKE",2020-06-04 10:30:00,883.630123182025,NA,NA,NA,0,0
"POKE",2020-06-04 10:45:00,887.785449494433,NA,NA,NA,0,0
"POKE",2020-06-04 11:00:00,877.76030838961,0,0,0,0,0
"POKE",2020-06-04 11:15:00,879.024358935014,NA,NA,NA,0,0
"POKE",2020-06-04 11:30:00,883.630123182025,NA,NA,NA,0,0
"POKE",2020-06-04 11:45:00,892.841651676164,NA,NA,NA,0,0
"POKE",2020-06-04 12:00:00,889.499937974557,0,0,0,0,0
"POKE",2020-06-04 12:15:00,894.91931483231,NA,NA,NA,0,0
"POKE",2020-06-04 12:30:00,896.996977988456,NA,NA,NA,0,0
"POKE",2020-06-04 12:45:00,888.235887429095,NA,NA,NA,0,0
"POKE",2020-06-04 13:00:00,883.630123182025,0,0,0,0,0
"POKE",2020-06-04 13:15:00,898.261028533918,NA,NA,NA,0,0
"POKE",2020-06-04 13:30:00,904.130843326508,NA,NA,NA,0,0
"POKE",2020-06-04 13:45:00,914.155984431331,NA,NA,NA,0,0
"POKE",2020-06-04 14:00:00,900.789129624784,0,0,0,0,0
"POKE",2020-06-04 14:15:00,913.342371820589,NA,NA,NA,0,0
"POKE",2020-06-04 14:30:00,927.159664561739,NA,NA,NA,0,0
"POKE",2020-06-04 14:45:00,921.740287703986,NA,NA,NA,0,0
"POKE",2020-06-04 15:00:00,927.159664561739,0,0,0,0,0
"POKE",2020-06-04 15:15:00,933.029479354387,NA,NA,NA,0,0
"POKE",2020-06-04 15:30:00,927.610102496459,NA,NA,NA,0,0
"POKE",2020-06-04 15:45:00,938.899294146802,NA,NA,NA,0,0
"POKE",2020-06-04 16:00:00,933.029479354387,0,0,0,0,0
"POKE",2020-06-04 16:15:00,945.582721550018,NA,NA,NA,0,0
"POKE",2020-06-04 16:30:00,944.769108939334,NA,NA,NA,0,0
"POKE",2020-06-04 16:45:00,953.980637433415,NA,NA,NA,0,0
"POKE",2020-06-04 17:00:00,948.561260575603,0,0,0,0,0
"POKE",2020-06-04 17:15:00,959.850452226005,NA,NA,NA,0,0
"POKE",2020-06-04 17:30:00,964.456216473016,NA,NA,NA,0,0
"POKE",2020-06-04 17:45:00,972.403694421693,NA,NA,NA,0,0
"POKE",2020-06-04 18:00:00,964.906654407794,0,0,0,0,0
"POKE",2020-06-04 18:15:00,964.906654407794,NA,NA,NA,0,0
"POKE",2020-06-04 18:30:00,972.854132356413,NA,NA,NA,0,0
"POKE",2020-06-04 18:45:00,970.776469200209,NA,NA,NA,0,0
"POKE",2020-06-04 19:00:00,985.407374552102,0,0,0,0,0
"POKE",2020-06-04 19:15:00,984.14332400664,NA,NA,NA,0,0
"POKE",2020-06-04 19:30:00,995.432515657041,NA,NA,NA,0,0
"POKE",2020-06-04 19:45:00,990.013138799288,NA,NA,NA,0,0
"POKE",2020-06-04 20:00:00,985.407374552102,0,0,0,0,0
"POKE",2020-06-04 20:15:00,991.277189344692,NA,NA,NA,0,0
"POKE",2020-06-04 20:30:00,1004.64404415112,NA,NA,NA,0,0
"POKE",2020-06-04 20:45:00,994.618903046299,NA,NA,NA,0,0
"POKE",2020-06-04 21:00:00,990.013138799288,0,0,0,0,0
"POKE",2020-06-04 21:15:00,1004.64404415112,NA,NA,NA,0,0
"POKE",2020-06-04 21:30:00,1001.30233044951,NA,NA,NA,0,0
"POKE",2020-06-04 21:45:00,1013.85557264532,NA,NA,NA,0,0
"POKE",2020-06-04 22:00:00,1012.59152209992,0,0,0,0,0
"POKE",2020-06-04 22:15:00,992.541239890154,NA,NA,NA,0,0
