"","column_label","HI","Q_interval","storm.ID","site.ID","storm.num","month","day","response","date","doy"
"Interpolated HI for 2% discharge...1","1",0.474785918173179,2,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 4% discharge...2","1",0.448263558515712,4,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 6% discharge...3","1",0.966817316841122,6,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 8% discharge...4","1",0.965865842055201,8,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 10% discharge...5","1",0.94469552806853,10,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 12% discharge...6","1",0.961108468125615,12,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 14% discharge...7","1",0.961108468125615,14,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 16% discharge...8","1",0.96396289248336,16,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 18% discharge...9","1",0.960751665080888,18,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 20% discharge...10","1",0.960751665080888,20,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 22% discharge...11","1",0.963011417697455,22,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 24% discharge...12","1",0.969909609895351,24,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 26% discharge...13","1",0.969909609895351,26,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 28% discharge...14","1",0.961108468125615,28,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 30% discharge...15","1",0.968363463368236,30,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 32% discharge...16","1",0.960394862036178,32,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 34% discharge...17","1",0.960394862036178,34,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 36% discharge...18","1",0.957064700285465,36,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 38% discharge...19","1",0.944576593720289,38,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 40% discharge...20","1",0.95682683158898,40,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 42% discharge...21","1",0.942554709800205,42,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 44% discharge...22","1",0.952188392007636,44,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 46% discharge...23","1",0.910442435775473,46,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 48% discharge...24","1",0.910442435775473,48,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 50% discharge...25","1",0.89938154138917,50,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 52% discharge...26","1",0.862630827783077,52,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 54% discharge...27","1",0.862630827783077,54,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 56% discharge...28","1",0.862630827783077,56,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 58% discharge...29","1",0.855494766888698,58,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 60% discharge...30","1",0.849785918173191,60,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 62% discharge...31","1",0.849785918173191,62,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 64% discharge...32","1",0.830280685061861,64,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 66% discharge...33","1",0.78270694576595,66,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 68% discharge...34","1",0.800784966698407,68,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 70% discharge...35","1",0.786869647954358,70,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 72% discharge...36","1",0.785680304471953,72,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 74% discharge...37","1",0.80589914367272,74,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 76% discharge...38","1",0.774619410085665,76,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 78% discharge...39","1",0.774500475737423,78,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 80% discharge...40","1",0.794362511893464,80,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 82% discharge...41","1",0.752021883920089,82,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 84% discharge...42","1",0.735608943863007,84,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 86% discharge...43","1",0.727997145575658,86,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 88% discharge...44","1",0.525808753568046,88,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 90% discharge...45","1",0.656041864890605,90,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 92% discharge...46","1",0.494885823025703,92,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 94% discharge...47","1",0.470385347288303,94,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
"Interpolated HI for 96% discharge...48","1",0.391175071360628,96,"STRT_storm1a_06_19_NO3","STRT","storm1a","06","19","NO3",2021-06-19,170
