"","column_label","HI_mean_Interp","HI_sd_with_Interp","N.S.","Max_width_Interp","Min_response","Max_response","Peak_Q","ShapiroTest.W","ShapiroTest.p","t.test.stat","t.test.p","t.test.CIlow","t.test.CIhigh","wilcox.test.stat","wilcox.test.p","storm.ID","site.ID"
"1","1",-0.330449042840447,0.0622768400097031,0.246903336960464,-0.428763148349656,-2.88,97.3745454545455,715.340793871044,0.9407,0.0143,-37.1429,0,-0.3483,-0.3126,0,0,"FRCH_storm1_06_13_fDOM","FRCH"
"2","2",-0.593724532907703,0.213906008456506,0.316402215754391,-0.929865740306065,62.0154545454545,71.6981818181818,456.33336908686,0.8629,0,-19.4294,0,-0.6551,-0.5323,0,0,"FRCH_storm2_06_19_fDOM","FRCH"
"3","3",-0.314283476898981,0.150021477228731,0.0658409924576532,-0.672886699913457,70.24,114.354545454545,1687.24873992307,0.8927,3e-04,-14.6645,0,-0.3574,-0.2712,10,0,"FRCH_storm3a_06_20_fDOM","FRCH"
"4","4",0.258148471738791,0.261678960136298,0.0515902653495514,0.785613629637977,59.1372727272727,123.649090909091,2010.36923694488,0.9198,0.0023,6.9056,0,0.183,0.3333,1167,0,"FRCH_storm3b_06_22_fDOM","FRCH"
"5","5",0.319610060440632,0.154657184559337,-0.261259504776773,0.673328134139204,55.0490909090909,59.7118181818182,1492.34345851446,0.9423,0.0166,14.466,0,0.2752,0.364,1275,0,"FRCH_storm4a_07_07_fDOM","FRCH"
"6","6",-0.210924826338517,0.246460730040702,-0.0965165298424678,-0.503793244696288,-3.33454545454545,103.194545454545,1949.82076933613,0.888,2e-04,-5.9907,0,-0.2817,-0.1402,193,0,"FRCH_storm4b_07_09_fDOM","FRCH"
"7","7",0.120054652599563,0.249750735870849,-0.343313373253491,0.556007033551947,76.3472727272727,95.4763636363636,1243.42198056739,0.9394,0.0127,3.3649,0.0015,0.0484,0.1918,949,0.0027,"FRCH_storm5_07_16_fDOM","FRCH"
"8","8",-0.372050516023898,0.218979979293013,0.106373347818213,-0.753394894079304,59.8163636363636,69.8581818181818,865.554691972036,0.9596,0.0854,-11.8931,0,-0.4349,-0.3092,9,0,"FRCH_storm6_07_17_fDOM","FRCH"
"9","9",-0.195737688405399,0.276678679851111,-0.253301100672124,-0.615703349632804,-3.33727272727273,95.9409090909091,1169.41829793449,0.9118,0.0012,-4.9522,0,-0.2752,-0.1163,202,0,"FRCH_storm7_07_20_fDOM","FRCH"
"10","10",-0.291769197521971,0.232777246630999,0.0522979397781297,-0.594438841665468,68.4709090909091,74.7809090909091,757.068224105125,0.905,7e-04,-8.774,0,-0.3586,-0.2249,76,0,"FRCH_storm8_07_26_fDOM","FRCH"
"11","11",-0.357419817332201,0.194571835670099,0.023311384876805,-0.857396983857266,60.2218181818182,77.3418181818182,673.669110840798,0.8401,0,-12.8587,0,-0.4133,-0.3016,4,0,"FRCH_storm9a_08_01_fDOM","FRCH"
"12","12",-0.211423154491827,0.22313901121145,-0.0600331026236683,-0.543975377847812,-3.322,95.2145454545455,778.090416619845,0.8002,0,-6.6325,0,-0.2755,-0.1474,38,0,"FRCH_storm10a_08_09_fDOM","FRCH"
"13","13",-0.244517616421567,0.213880352523358,-0.0297181372549007,-0.657598039215685,44.2018181818182,103.547272727273,984.672963913006,0.8164,0,-8.0027,0,-0.3059,-0.1831,32,0,"FRCH_storm10b_08_12_fDOM","FRCH"
"14","14",-0.04829748059042,0.245948760105715,0.0122441464387647,-0.426443060115993,75.5018181818182,105.126363636364,841.849812879678,0.9314,0.0062,-1.3746,0.1755,-0.1189,0.0223,494,0.1675,"FRCH_storm11_08_20_fDOM","FRCH"
"15","15",-0.452175698802056,0.175812532648771,0.010039931545922,-0.729435253850546,60.5918181818182,68.56,562.126805201799,0.9381,0.0114,-18.0034,0,-0.5026,-0.4017,1,0,"FRCH_storm12_09_06_fDOM","FRCH"
