"","column_label","HI","Q_interval","storm.ID","site.ID","storm.num","response"
"Interpolated HI for 2% discharge...1","1",-0.456713414049771,2,"STRT_storm7b_08_21_fDOM","STRT","storm7b","fDOM"
"Interpolated HI for 4% discharge...2","1",-0.456026578922148,4,"STRT_storm7b_08_21_fDOM","STRT","storm7b","fDOM"
"Interpolated HI for 6% discharge...3","1",-0.456713414049771,6,"STRT_storm7b_08_21_fDOM","STRT","storm7b","fDOM"
"Interpolated HI for 8% discharge...4","1",-0.437865380314985,8,"STRT_storm7b_08_21_fDOM","STRT","storm7b","fDOM"
"Interpolated HI for 10% discharge...5","1",-0.44986103568348,10,"STRT_storm7b_08_21_fDOM","STRT","storm7b","fDOM"
"Interpolated HI for 12% discharge...6","1",-0.434255502667474,12,"STRT_storm7b_08_21_fDOM","STRT","storm7b","fDOM"
"Interpolated HI for 14% discharge...7","1",-0.434255502667474,14,"STRT_storm7b_08_21_fDOM","STRT","storm7b","fDOM"
"Interpolated HI for 16% discharge...8","1",-0.435804874932115,16,"STRT_storm7b_08_21_fDOM","STRT","storm7b","fDOM"
"Interpolated HI for 18% discharge...9","1",-0.432083186914991,18,"STRT_storm7b_08_21_fDOM","STRT","storm7b","fDOM"
"Interpolated HI for 20% discharge...10","1",-0.432083186914991,20,"STRT_storm7b_08_21_fDOM","STRT","storm7b","fDOM"
"Interpolated HI for 22% discharge...11","1",-0.431140785228251,22,"STRT_storm7b_08_21_fDOM","STRT","storm7b","fDOM"
"Interpolated HI for 24% discharge...12","1",-0.424240488132126,24,"STRT_storm7b_08_21_fDOM","STRT","storm7b","fDOM"
"Interpolated HI for 26% discharge...13","1",-0.424240488132126,26,"STRT_storm7b_08_21_fDOM","STRT","storm7b","fDOM"
"Interpolated HI for 28% discharge...14","1",-0.420550745934893,28,"STRT_storm7b_08_21_fDOM","STRT","storm7b","fDOM"
"Interpolated HI for 30% discharge...15","1",-0.42138133725202,30,"STRT_storm7b_08_21_fDOM","STRT","storm7b","fDOM"
"Interpolated HI for 32% discharge...16","1",-0.420518800115005,32,"STRT_storm7b_08_21_fDOM","STRT","storm7b","fDOM"
