"","column_label","HI","Q_interval","storm.ID","site.ID","storm.num","response"
"Interpolated HI for 30% discharge...115","3",-0.371357622717717,30,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 32% discharge...116","3",-0.374088117710092,32,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 34% discharge...117","3",-0.374088117710092,34,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 36% discharge...118","3",-0.370677574908295,36,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 38% discharge...119","3",-0.365958455261096,38,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 40% discharge...120","3",-0.358580966904339,40,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 42% discharge...121","3",-0.353346659522729,42,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 44% discharge...122","3",-0.343362321229854,44,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 46% discharge...123","3",-0.33654123562626,46,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 48% discharge...124","3",-0.327896385442853,48,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 50% discharge...125","3",-0.313594773935621,50,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 52% discharge...126","3",-0.301704241025427,52,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 54% discharge...127","3",-0.296758438775087,54,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 56% discharge...128","3",-0.287773564686969,56,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 58% discharge...129","3",-0.284084820508591,58,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 60% discharge...130","3",-0.257614474714583,60,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 62% discharge...131","3",-0.257583563450519,62,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 64% discharge...132","3",-0.257583563450519,64,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 66% discharge...133","3",-0.254554259572185,66,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 68% discharge...134","3",-0.238810122408603,68,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 70% discharge...135","3",-0.230783497506488,70,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 72% discharge...136","3",-0.224930964843586,72,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 74% discharge...137","3",-0.220160326422946,74,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 76% discharge...138","3",-0.210155380620695,76,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 78% discharge...139","3",-0.190310349091205,78,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 80% discharge...140","3",-0.179821126818609,80,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 82% discharge...141","3",-0.179821126818609,82,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 84% discharge...142","3",-0.172175740839966,84,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 86% discharge...143","3",-0.672886699913457,86,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
"Interpolated HI for 88% discharge...144","3",-0.636370193298445,88,"FRCH_storm3a_06_20_fDOM","FRCH","storm3a","fDOM"
