"","Site","DateTime","MeanDischarge","frch.fdom.1","fDOM.QSU","nitrateuM"
"1","FRCH",2020-06-11 06:00:00,74.8813147066976,NA,NA,34.1828571428571
"2","FRCH",2020-06-11 06:15:00,432.619501183086,NA,NA,34.0957142857143
"3","FRCH",2020-06-11 06:30:00,432.05886722375,NA,NA,34.0842857142857
"4","FRCH",2020-06-11 06:45:00,428.284142692268,NA,NA,34.1107142857143
"5","FRCH",2020-06-11 07:00:00,429.022363437412,NA,NA,34.1192857142857
"6","FRCH",2020-06-11 07:15:00,427.340461559405,NA,NA,34.145
"7","FRCH",2020-06-11 07:30:00,426.013733252985,NA,NA,34.1528571428571
"8","FRCH",2020-06-11 07:45:00,427.135001171671,NA,NA,34.1864285714286
"9","FRCH",2020-06-11 08:00:00,424.509418160786,NA,NA,34.2028571428571
"10","FRCH",2020-06-11 08:15:00,425.630686079472,NA,NA,34.2
"11","FRCH",2020-06-11 08:30:00,422.622055895044,NA,NA,34.2364285714286
"12","FRCH",2020-06-11 08:45:00,423.388150242114,NA,NA,34.2721428571429
"13","FRCH",2020-06-11 09:00:00,421.855961547975,NA,NA,34.2871428571429
"14","FRCH",2020-06-11 09:15:00,420.912280415097,NA,NA,34.3014285714286
"15","FRCH",2020-06-11 09:30:00,420.351646455747,NA,NA,34.3257142857143
"16","FRCH",2020-06-11 09:45:00,420.174059669953,NA,NA,34.3485714285714
"17","FRCH",2020-06-11 10:00:00,417.13755588363,NA,NA,34.3592857142857
"18","FRCH",2020-06-11 10:15:00,418.819457761638,NA,NA,34.38
"19","FRCH",2020-06-11 10:30:00,418.997044547446,NA,NA,34.3964285714286
"20","FRCH",2020-06-11 10:45:00,418.641870975829,NA,NA,34.4092857142857
"21","FRCH",2020-06-11 11:00:00,419.174631333255,NA,NA,34.4214285714286
"22","FRCH",2020-06-11 11:15:00,419.380091720988,NA,NA,34.4178571428571
"23","FRCH",2020-06-11 11:30:00,418.258823802302,NA,NA,34.4428571428571
"24","FRCH",2020-06-11 11:45:00,422.949355864737,NA,NA,34.4542857142857
"25","FRCH",2020-06-11 12:00:00,422.743895477033,NA,NA,34.4842857142857
"26","FRCH",2020-06-11 12:15:00,423.89303699763,NA,NA,34.4842857142857
"27","FRCH",2020-06-11 12:30:00,425.602812477548,"2020-06-11 12:30:00",-3.344,34.5057142857143
"28","FRCH",2020-06-11 12:45:00,426.163446436869,"2020-06-11 12:45:00",-3.49545454545455,34.5071428571429
"29","FRCH",2020-06-11 13:00:00,425.985859651089,"2020-06-11 13:00:00",-3.32545454545455,34.4935714285714
"30","FRCH",2020-06-11 13:15:00,425.630686079472,"2020-06-11 13:15:00",-3.41272727272727,34.5264285714286
"31","FRCH",2020-06-11 13:30:00,425.070052120136,"2020-06-11 13:30:00",-3.38727272727273,34.5364285714286
"32","FRCH",2020-06-11 13:45:00,425.042178518212,"2020-06-11 13:45:00",46.9381818181818,34.5621428571429
"33","FRCH",2020-06-11 14:00:00,424.659131344684,"2020-06-11 14:00:00",46.8336363636364,34.555
"34","FRCH",2020-06-11 14:15:00,426.163446436869,"2020-06-11 14:15:00",46.7118181818182,34.5457142857143
"35","FRCH",2020-06-11 14:30:00,425.21976530402,"2020-06-11 14:30:00",46.5490909090909,34.5121428571429
"36","FRCH",2020-06-11 14:45:00,428.256269090343,"2020-06-11 14:45:00",46.4736363636364,34.5178571428571
"37","FRCH",2020-06-11 15:00:00,425.042178518212,"2020-06-11 15:00:00",46.3209090909091,34.5192857142857
"38","FRCH",2020-06-11 15:15:00,426.72408039622,"2020-06-11 15:15:00",46.2136363636364,34.5185714285714
"39","FRCH",2020-06-11 15:30:00,425.24763890593,"2020-06-11 15:30:00",46.07,34.53
"40","FRCH",2020-06-11 15:45:00,426.368906824617,"2020-06-11 15:45:00",46.1272727272727,34.535
"41","FRCH",2020-06-11 16:00:00,428.611442661975,"2020-06-11 16:00:00",46.0009090909091,34.52
"42","FRCH",2020-06-11 16:15:00,429.732710580662,"2020-06-11 16:15:00",46.0018181818182,34.4935714285714
"43","FRCH",2020-06-11 16:30:00,428.994489835517,"2020-06-11 16:30:00",45.9954545454545,34.5178571428571
"44","FRCH",2020-06-11 16:45:00,428.256269090343,"2020-06-11 16:45:00",45.9063636363636,34.49
"45","FRCH",2020-06-11 17:00:00,428.639316263885,"2020-06-11 17:00:00",45.9945454545455,34.4828571428571
"46","FRCH",2020-06-11 17:15:00,429.760584182572,"2020-06-11 17:15:00",45.9027272727273,34.4571428571429
"47","FRCH",2020-06-11 17:30:00,428.994489835517,"2020-06-11 17:30:00",45.7809090909091,34.4557142857143
"48","FRCH",2020-06-11 17:45:00,430.881852101258,"2020-06-11 17:45:00",45.8590909090909,34.4285714285714
"49","FRCH",2020-06-11 18:00:00,429.938170968366,"2020-06-11 18:00:00",45.8327272727273,34.4235714285714
"50","FRCH",2020-06-11 18:15:00,431.44248606058,"2020-06-11 18:15:00",45.7372727272727,34.3971428571429
"51","FRCH",2020-06-11 18:30:00,430.526678529626,"2020-06-11 18:30:00",45.7527272727273,34.4114285714286
"52","FRCH",2020-06-11 18:45:00,433.712895499862,"2020-06-11 18:45:00",45.7609090909091,34.3771428571429
"53","FRCH",2020-06-11 19:00:00,434.273529459213,"2020-06-11 19:00:00",45.7509090909091,34.3835714285714
"54","FRCH",2020-06-11 19:15:00,434.095942673375,"2020-06-11 19:15:00",45.7781818181818,34.3914285714286
"55","FRCH",2020-06-11 19:30:00,434.862037020444,"2020-06-11 19:30:00",45.8045454545455,34.3642857142857
"56","FRCH",2020-06-11 19:45:00,438.048253990695,"2020-06-11 19:45:00",45.8472727272727,34.3492857142857
"57","FRCH",2020-06-11 20:00:00,438.048253990695,"2020-06-11 20:00:00",45.7345454545455,34.36
"58","FRCH",2020-06-11 20:15:00,439.374982297086,"2020-06-11 20:15:00",45.8372727272727,34.3485714285714
"59","FRCH",2020-06-11 20:30:00,440.701710603491,"2020-06-11 20:30:00",45.8909090909091,34.4057142857143
"60","FRCH",2020-06-11 20:45:00,440.346537031874,"2020-06-11 20:45:00",45.8727272727273,34.4092857142857
"61","FRCH",2020-06-11 21:00:00,441.262344562841,"2020-06-11 21:00:00",45.7954545454545,34.3642857142857
"62","FRCH",2020-06-11 21:15:00,440.524123817682,"2020-06-11 21:15:00",45.8218181818182,34.3257142857143
"63","FRCH",2020-06-11 21:30:00,440.90717099121,"2020-06-11 21:30:00",45.8836363636364,34.3092857142857
"64","FRCH",2020-06-11 21:45:00,441.645391736369,"2020-06-11 21:45:00",46.0027272727273,34.2921428571429
"65","FRCH",2020-06-11 22:00:00,443.355167216301,"2020-06-11 22:00:00",45.9563636363636,34.2414285714286
"66","FRCH",2020-06-11 22:15:00,442.411486083438,"2020-06-11 22:15:00",45.98,34.2871428571429
"67","FRCH",2020-06-11 22:30:00,443.915801175637,"2020-06-11 22:30:00",45.9036363636364,34.2757142857143
"68","FRCH",2020-06-11 22:45:00,446.746844574256,"2020-06-11 22:45:00",45.9272727272727,34.2607142857143
"69","FRCH",2020-06-11 23:00:00,445.803163441378,"2020-06-11 23:00:00",45.8154545454545,34.245
"70","FRCH",2020-06-11 23:15:00,448.045699278737,"2020-06-11 23:15:00",45.9709090909091,34.2557142857143
"71","FRCH",2020-06-11 23:30:00,445.62557665557,"2020-06-11 23:30:00",45.8563636363636,34.2557142857143
"72","FRCH",2020-06-11 23:45:00,445.62557665557,"2020-06-11 23:45:00",45.8936363636364,34.2578571428571
"73","FRCH",2020-06-12 00:00:00,449.017254013539,"2020-06-12 00:00:00",45.9954545454545,34.2385714285714
"74","FRCH",2020-06-12 00:15:00,446.774718176166,"2020-06-12 00:15:00",45.9,34.2314285714286
"75","FRCH",2020-06-12 00:30:00,446.746844574256,"2020-06-12 00:30:00",45.8490909090909,34.2235714285714
"76","FRCH",2020-06-12 00:45:00,445.831037043288,"2020-06-12 00:45:00",45.9336363636364,34.2285714285714
