"Poke1comb.DateTime","Poke1comb.pred.poke1.Q","Poke2comb.pred.poke2.Q","MeanDischarge"
2020-06-04 05:00:00,644.173676325125,741.775682128267,692.974679226696
2020-06-04 05:15:00,647.262913388084,739.750790648744,693.506852018414
2020-06-04 05:30:00,641.084439262166,737.725899169163,689.405169215665
2020-06-04 05:45:00,628.727491010679,735.701007689524,682.214249350101
2020-06-04 06:00:00,631.816728073638,737.725899169163,684.771313621401
2020-06-04 06:15:00,622.549016884877,735.701007689524,679.125012287201
2020-06-04 06:30:00,650.352150450926,735.701007689524,693.026579070225
2020-06-04 06:45:00,641.084439262166,735.701007689524,688.392723475845
2020-06-04 07:00:00,644.173676325125,735.701007689524,689.937342007324
2020-06-04 07:15:00,647.262913388084,739.750790648744,693.506852018414
2020-06-04 07:30:00,656.530624576728,737.725899169163,697.128261872946
2020-06-04 07:45:00,641.084439262166,737.725899169163,689.405169215665
2020-06-04 08:00:00,653.441387513885,741.775682128267,697.608534821076
2020-06-04 08:15:00,647.262913388084,743.800573607848,695.531743497966
2020-06-04 08:30:00,637.995202199323,741.775682128267,689.885442163795
2020-06-04 08:45:00,641.084439262166,747.850356567069,694.467397914617
2020-06-04 09:00:00,637.995202199323,747.850356567069,692.922779383196
2020-06-04 09:15:00,634.905965136481,747.850356567069,691.378160851775
2020-06-04 09:30:00,637.995202199323,747.850356567069,692.922779383196
2020-06-04 09:45:00,647.262913388084,741.775682128267,694.519297758176
2020-06-04 10:00:00,628.727491010679,743.800573607848,686.264032309264
2020-06-04 10:15:00,637.995202199323,745.825465087488,691.910333643405
2020-06-04 10:30:00,650.352150450926,743.800573607848,697.076362029387
2020-06-04 10:45:00,656.530624576728,739.750790648744,698.140707612736
2020-06-04 11:00:00,647.262913388084,739.750790648744,693.506852018414
2020-06-04 11:15:00,647.262913388084,741.775682128267,694.519297758176
2020-06-04 11:30:00,650.352150450926,743.800573607848,697.076362029387
2020-06-04 11:45:00,656.530624576728,747.850356567069,702.190490571898
2020-06-04 12:00:00,653.441387513885,747.850356567069,700.645872040477
2020-06-04 12:15:00,659.61986163957,745.825465087488,702.722663363529
2020-06-04 12:30:00,662.709098702529,743.800573607848,703.254836155189
2020-06-04 12:45:00,653.441387513885,745.825465087488,699.633426300687
2020-06-04 13:00:00,650.352150450926,743.800573607848,697.076362029387
2020-06-04 13:15:00,662.709098702529,745.825465087488,704.267281895009
2020-06-04 13:30:00,665.798335765372,749.87524804665,707.836791906011
2020-06-04 13:45:00,675.066046954016,749.87524804665,712.470647500333
2020-06-04 14:00:00,662.709098702529,749.87524804665,706.29217337459
2020-06-04 14:15:00,671.976809891174,753.925031005812,712.950920448493
2020-06-04 14:30:00,681.244521079934,759.999705444556,720.622113262245
2020-06-04 14:45:00,675.066046954016,762.024596924137,718.545321939077
2020-06-04 15:00:00,681.244521079934,759.999705444556,720.622113262245
2020-06-04 15:15:00,684.333758142777,764.049488403776,724.191623273276
2020-06-04 15:30:00,678.155284016975,766.074379883299,722.114831950137
2020-06-04 15:45:00,687.422995205736,768.09927136288,727.761133284308
2020-06-04 16:00:00,684.333758142777,764.049488403776,724.191623273276
2020-06-04 16:15:00,693.601469331421,768.09927136288,730.850370347151
2020-06-04 16:30:00,690.512232268578,772.149054322101,731.33064329534
2020-06-04 16:45:00,696.69070639438,776.198837281263,736.444771837821
2020-06-04 17:00:00,690.512232268578,778.223728760786,734.367980514682
2020-06-04 17:15:00,699.779943457223,780.248620240425,740.014281848824
2020-06-04 17:30:00,702.869180520182,782.273511720006,742.571346120094
2020-06-04 17:45:00,709.047654645867,784.298403199587,746.673028922727
2020-06-04 18:00:00,699.779943457223,788.348186158808,744.064064808015
2020-06-04 18:15:00,699.779943457223,788.348186158808,744.064064808015
2020-06-04 18:30:00,705.958417583024,790.373077638331,748.165747610677
2020-06-04 18:45:00,702.869180520182,792.397969117912,747.633574819047
