"Discharge_Lsec","day"
NA,2021-05-04
NA,2021-05-05
NA,2021-05-06
NA,2021-05-07
NA,2021-05-08
NA,2021-05-09
NA,2021-05-10
NA,2021-05-11
NA,2021-05-12
NA,2021-05-13
NA,2021-05-14
NA,2021-05-15
NA,2021-05-16
NA,2021-05-17
NA,2021-05-18
NA,2021-05-19
NA,2021-05-20
NA,2021-05-21
NA,2021-05-22
NA,2021-05-23
NA,2021-05-24
NA,2021-05-25
NA,2021-05-26
NA,2021-05-27
NA,2021-05-28
NA,2021-05-29
NA,2021-05-30
NA,2021-05-31
NA,2021-06-01
NA,2021-06-02
NA,2021-06-03
NA,2021-06-04
NA,2021-06-05
NA,2021-06-06
NA,2021-06-07
NA,2021-06-08
NA,2021-06-09
NA,2021-06-10
NA,2021-06-11
NA,2021-06-12
NA,2021-06-13
NA,2021-06-14
NA,2021-06-15
NA,2021-06-16
NA,2021-06-17
NA,2021-06-18
NA,2021-06-19
NA,2021-06-20
NA,2021-06-21
NA,2021-06-22
NA,2021-06-23
NA,2021-06-24
NA,2021-06-25
NA,2021-06-26
NA,2021-06-27
NA,2021-06-28
NA,2021-06-29
NA,2021-06-30
256.981435470664,2021-07-01
253.381004603534,2021-07-02
247.49940514511,2021-07-03
243.725131577403,2021-07-04
243.713527987275,2021-07-05
251.706028996558,2021-07-06
255.26833082352,2021-07-07
250.572425320458,2021-07-08
249.176331168837,2021-07-09
241.088456175585,2021-07-10
237.036716573521,2021-07-11
233.875396840739,2021-07-12
228.394448494152,2021-07-13
229.349887148634,2021-07-14
231.099586419685,2021-07-15
224.836772788873,2021-07-16
219.829431442155,2021-07-17
216.737233046677,2021-07-18
218.497347222477,2021-07-19
217.25505869058,2021-07-20
211.044142580532,2021-07-21
206.958473941706,2021-07-22
220.502559329351,2021-07-23
258.303975908221,2021-07-24
236.091685363888,2021-07-25
278.446036924832,2021-07-26
293.912940022433,2021-07-27
400.904376439022,2021-07-28
344.838225187692,2021-07-29
319.10726936936,2021-07-30
304.626490291147,2021-07-31
292.68290709883,2021-08-01
285.68315618923,2021-08-02
280.858228593188,2021-08-03
272.90891731036,2021-08-04
269.510916888481,2021-08-05
298.411048661823,2021-08-06
309.008639601069,2021-08-07
310.904095017918,2021-08-08
388.737785409064,2021-08-09
349.755109053195,2021-08-10
338.314470439015,2021-08-11
321.298178533152,2021-08-12
319.362214883214,2021-08-13
306.739967437752,2021-08-14
336.054886742826,2021-08-15
526.397678838688,2021-08-16
545.417657031149,2021-08-17
471.320847217422,2021-08-18
420.522902051714,2021-08-19
500.892809637053,2021-08-20
555.413779223545,2021-08-21
486.045499913315,2021-08-22
445.199625030461,2021-08-23
457.543958114861,2021-08-24
498.902451435854,2021-08-25
526.915569950196,2021-08-26
617.180519663674,2021-08-27
755.362422169915,2021-08-28
610.94729285553,2021-08-29
551.078593867727,2021-08-30
526.159620692554,2021-08-31
512.395776947084,2021-09-01
506.719684226339,2021-09-02
502.237771986119,2021-09-03
493.977992447138,2021-09-04
498.034545956123,2021-09-05
490.715123937118,2021-09-06
476.18906912917,2021-09-07
470.644366418853,2021-09-08
463.483715741194,2021-09-09
456.99125507528,2021-09-10
452.294900581037,2021-09-11
448.700899410912,2021-09-12
442.213312481787,2021-09-13
432.733928514796,2021-09-14
428.033107837928,2021-09-15
425.532763473093,2021-09-16
418.332012116512,2021-09-17
412.032300554356,2021-09-18
410.622577474932,2021-09-19
421.435690626802,2021-09-20
409.206691370929,2021-09-21
401.552878251905,2021-09-22
406.941894530878,2021-09-23
406.18753836168,2021-09-24
395.913637052223,2021-09-25
388.802849940073,2021-09-26
NA,2021-09-27
NA,2021-09-28
NA,2021-09-29
NA,2021-09-30
