"Site","DateTime","PT1Q","PT2Q","MeanDischarge","day"
"FRCH",2018-05-30 07:00:00,802.768698149361,685.596369140068,744.182533644715,2018-05-30
"FRCH",2018-05-30 07:30:00,805.610992663191,685.108924437984,745.359958550587,2018-05-30
"FRCH",2018-05-30 08:00:00,804.663561158581,682.671700927545,743.667631043063,2018-05-30
"FRCH",2018-05-30 08:30:00,801.82126664478,682.184256225461,742.00276143512,2018-05-30
"FRCH",2018-05-30 09:00:00,803.716129653971,681.696811523361,742.706470588666,2018-05-30
"FRCH",2018-05-30 09:30:00,802.768698149361,680.721922119206,741.745310134283,2018-05-30
"FRCH",2018-05-30 10:00:00,800.87383514017,678.772143310838,739.822989225504,2018-05-30
"FRCH",2018-05-30 10:30:00,802.768698149361,678.772143310838,740.770420730099,2018-05-30
"FRCH",2018-05-30 11:00:00,799.926403635589,678.772143310838,739.349273473214,2018-05-30
"FRCH",2018-05-30 11:30:00,798.978972130979,677.797253906683,738.388113018831,2018-05-30
"FRCH",2018-05-30 12:00:00,801.82126664478,678.284698608753,740.052982626767,2018-05-30
"FRCH",2018-05-30 12:30:00,799.926403635589,677.309809204584,738.618106420086,2018-05-30
"FRCH",2018-05-30 13:00:00,801.82126664478,677.797253906683,739.809260275732,2018-05-30
"FRCH",2018-05-30 13:30:00,803.716129653971,678.284698608753,741.000414131362,2018-05-30
"FRCH",2018-05-30 14:00:00,800.87383514017,678.772143310838,739.822989225504,2018-05-30
"FRCH",2018-05-30 14:30:00,798.031540626369,679.259588012937,738.645564319653,2018-05-30
"FRCH",2018-05-30 15:00:00,798.031540626369,681.696811523361,739.864176074865,2018-05-30
"FRCH",2018-05-30 15:30:00,799.926403635589,681.696811523361,740.811607579475,2018-05-30
"FRCH",2018-05-30 16:00:00,798.031540626369,683.646590331729,740.839065479049,2018-05-30
"FRCH",2018-05-30 16:30:00,795.189246112568,684.1340350338,739.661640573184,2018-05-30
"FRCH",2018-05-30 17:00:00,795.189246112568,684.1340350338,739.661640573184,2018-05-30
"FRCH",2018-05-30 17:30:00,793.294383103377,684.621479735884,738.957931419631,2018-05-30
"FRCH",2018-05-30 18:00:00,792.346951598796,683.15914562963,737.753048614213,2018-05-30
"FRCH",2018-05-30 18:30:00,792.346951598796,682.671700927545,737.509326263171,2018-05-30
"FRCH",2018-05-30 19:00:00,788.557225580385,681.696811523361,735.127018551873,2018-05-30
"FRCH",2018-05-30 19:30:00,785.714931066585,682.671700927545,734.193315997065,2018-05-30
"FRCH",2018-05-30 20:00:00,785.714931066585,682.184256225461,733.949593646023,2018-05-30
"FRCH",2018-05-30 20:30:00,783.820068057365,682.184256225461,733.002162141413,2018-05-30
"FRCH",2018-05-30 21:00:00,780.977773543593,680.721922119206,730.8498478314,2018-05-30
"FRCH",2018-05-30 21:30:00,781.925205048203,681.209366821276,731.56728593474,2018-05-30
"FRCH",2018-05-30 22:00:00,780.977773543593,681.209366821276,731.093570182435,2018-05-30
"FRCH",2018-05-30 22:30:00,781.925205048203,679.747032715022,730.836118881612,2018-05-30
"FRCH",2018-05-30 23:00:00,785.714931066585,678.772143310838,732.243537188711,2018-05-30
"FRCH",2018-05-30 23:30:00,782.872636552813,679.259588012937,731.066112282875,2018-05-30
"FRCH",2018-05-31 00:00:00,784.767499561975,678.284698608753,731.526099085364,2018-05-31
"FRCH",2018-05-31 00:30:00,781.925205048203,676.334919800414,729.130062424309,2018-05-31
"FRCH",2018-05-31 01:00:00,786.662362571195,676.822364502499,731.742363536847,2018-05-31
"FRCH",2018-05-31 01:30:00,780.977773543593,675.36003039623,728.168901969912,2018-05-31
"FRCH",2018-05-31 02:00:00,782.872636552813,674.385140992061,728.628888772437,2018-05-31
"FRCH",2018-05-31 02:30:00,783.820068057365,674.385140992061,729.102604524713,2018-05-31
"FRCH",2018-05-31 03:00:00,784.767499561975,671.947917481637,728.357708521806,2018-05-31
"FRCH",2018-05-31 03:30:00,783.820068057365,671.460472779552,727.640270418458,2018-05-31
"FRCH",2018-05-31 04:00:00,780.977773543593,669.023249269114,725.000511406353,2018-05-31
"FRCH",2018-05-31 04:30:00,780.977773543593,668.04835986493,724.513066704261,2018-05-31
"FRCH",2018-05-31 05:00:00,782.872636552813,666.098581056591,724.485608804702,2018-05-31
"FRCH",2018-05-31 05:30:00,781.925205048203,666.098581056591,724.011893052397,2018-05-31
"FRCH",2018-05-31 06:00:00,779.082910534373,665.123691652407,722.10330109339,2018-05-31
"FRCH",2018-05-31 06:30:00,778.135479029792,665.611136354506,721.873307692149,2018-05-31
"FRCH",2018-05-31 07:00:00,780.977773543593,667.560915162845,724.269344353219,2018-05-31
"FRCH",2018-05-31 07:30:00,783.820068057365,668.04835986493,725.934213961147,2018-05-31
"FRCH",2018-05-31 08:00:00,781.925205048203,668.04835986493,724.986782456566,2018-05-31
"FRCH",2018-05-31 08:30:00,781.925205048203,671.947917481637,726.93656126492,2018-05-31
"FRCH",2018-05-31 09:00:00,781.925205048203,672.435362183707,727.180283615955,2018-05-31
"FRCH",2018-05-31 09:30:00,780.030342038983,669.510693971184,724.770518005083,2018-05-31
"FRCH",2018-05-31 10:00:00,779.082910534373,667.07347046076,723.078190497567,2018-05-31
"FRCH",2018-05-31 10:30:00,780.030342038983,669.023249269114,724.526795654048,2018-05-31
"FRCH",2018-05-31 11:00:00,779.082910534373,668.04835986493,723.565635199651,2018-05-31
"FRCH",2018-05-31 11:30:00,777.188047525211,667.560915162845,722.374481344028,2018-05-31
"FRCH",2018-05-31 12:00:00,777.188047525211,667.07347046076,722.130758992986,2018-05-31
"FRCH",2018-05-31 12:30:00,778.135479029792,668.535804567029,723.335641798411,2018-05-31
"FRCH",2018-05-31 13:00:00,777.188047525211,669.510693971184,723.349370748198,2018-05-31
"FRCH",2018-05-31 13:30:00,777.188047525211,669.510693971184,723.349370748198,2018-05-31
"FRCH",2018-05-31 14:00:00,777.188047525211,669.510693971184,723.349370748198,2018-05-31
"FRCH",2018-05-31 14:30:00,775.293184515991,671.947917481637,723.620550998814,2018-05-31
"FRCH",2018-05-31 15:00:00,771.503458497609,671.460472779552,721.481965638581,2018-05-31
"FRCH",2018-05-31 15:30:00,768.661163983779,671.460472779552,720.060818381666,2018-05-31
"FRCH",2018-05-31 16:00:00,770.556026992999,672.435362183707,721.495694588353,2018-05-31
"FRCH",2018-05-31 16:30:00,771.503458497609,672.435362183707,721.969410340658,2018-05-31
"FRCH",2018-05-31 17:00:00,769.608595488389,673.897696289976,721.753145889183,2018-05-31
"FRCH",2018-05-31 17:30:00,766.766300974588,673.410251587891,720.08827628124,2018-05-31
"FRCH",2018-05-31 18:00:00,765.818869470007,674.87258569416,720.345727582084,2018-05-31
"FRCH",2018-05-31 18:30:00,764.871437965397,675.36003039623,720.115734180814,2018-05-31
"FRCH",2018-05-31 19:00:00,762.029143451597,674.87258569416,718.450864572878,2018-05-31
"FRCH",2018-05-31 19:30:00,763.924006460787,676.334919800414,720.129463130601,2018-05-31
"FRCH",2018-05-31 20:00:00,762.976574956207,674.87258569416,718.924580325183,2018-05-31
"FRCH",2018-05-31 20:30:00,761.081711946987,675.36003039623,718.220871171608,2018-05-31
"FRCH",2018-05-31 21:00:00,760.134280442406,676.822364502499,718.478322472452,2018-05-31
"FRCH",2018-05-31 21:30:00,759.186848937796,676.334919800414,717.760884369105,2018-05-31
"FRCH",2018-05-31 22:00:00,762.976574956207,675.847475098315,719.412025027261,2018-05-31
"FRCH",2018-05-31 22:30:00,759.186848937796,677.309809204584,718.24832907119,2018-05-31
"FRCH",2018-05-31 23:00:00,759.186848937796,677.309809204584,718.24832907119,2018-05-31
"FRCH",2018-05-31 23:30:00,759.186848937796,678.284698608753,718.735773773275,2018-05-31
"FRCH",2018-06-01 00:00:00,758.239417433215,678.284698608753,718.262058020984,2018-06-01
"FRCH",2018-06-01 00:30:00,760.134280442406,677.797253906683,718.965767174544,2018-06-01
"FRCH",2018-06-01 01:00:00,762.029143451597,677.797253906683,719.91319867914,2018-06-01
"FRCH",2018-06-01 01:30:00,758.239417433215,676.334919800414,717.287168616815,2018-06-01
"FRCH",2018-06-01 02:00:00,755.397122919385,676.822364502499,716.109743710942,2018-06-01
"FRCH",2018-06-01 02:30:00,755.397122919385,676.334919800414,715.8660213599,2018-06-01
"FRCH",2018-06-01 03:00:00,760.134280442406,675.847475098315,717.99087777036,2018-06-01
