"","Site","DateTime","MeanDischarge","fDOM.QSU","moos.no3.1","nitrateuM"
"5568","MOOS",2020-08-12 09:15:00,1191.28470046486,140.3,"2020-08-12 09:15:00",23.9533333333333
"5569","MOOS",2020-08-12 09:30:00,1193.92375228852,140.21,"2020-08-12 09:30:00",23.9425
"5570","MOOS",2020-08-12 09:45:00,1202.12132461507,140.915454545455,"2020-08-12 09:45:00",24.054
"5571","MOOS",2020-08-12 10:00:00,1203.99309134204,141.004545454545,"2020-08-12 10:00:00",24.0044444444444
"5572","MOOS",2020-08-12 10:15:00,1205.39691638728,140.99,"2020-08-12 10:15:00",24.1277777777778
"5573","MOOS",2020-08-12 10:30:00,1210.50642176777,141.233636363636,"2020-08-12 10:30:00",24.0816666666667
"5574","MOOS",2020-08-12 10:45:00,1211.91024681301,141.3,"2020-08-12 10:45:00",24.0283333333333
"5575","MOOS",2020-08-12 11:00:00,1214.84864205157,141.151818181818,"2020-08-12 11:00:00",24.0133333333333
"5576","MOOS",2020-08-12 11:15:00,1217.78703729017,141.432727272727,"2020-08-12 11:15:00",24.1075
"5577","MOOS",2020-08-12 11:30:00,1219.34053404287,141.638181818182,"2020-08-12 11:30:00",24.0725
"5578","MOOS",2020-08-12 11:45:00,1219.19086233541,141.783636363636,"2020-08-12 11:45:00",24.1625
"5579","MOOS",2020-08-12 12:00:00,1217.80596384952,141.897272727273,"2020-08-12 12:00:00",24.0875
"5580","MOOS",2020-08-12 12:15:00,1223.83242603415,141.662727272727,"2020-08-12 12:15:00",24.07
"5581","MOOS",2020-08-12 12:30:00,1229.87781477814,141.457272727273,"2020-08-12 12:30:00",24.08
"5582","MOOS",2020-08-12 12:45:00,1231.89925321257,141.079090909091,"2020-08-12 12:45:00",24.1025
"5583","MOOS",2020-08-12 13:00:00,1237.62637198227,141.178181818182,"2020-08-12 13:00:00",24.12
"5584","MOOS",2020-08-12 13:15:00,1240.73336548769,141.567272727273,"2020-08-12 13:15:00",24.0825
"5585","MOOS",2020-08-12 13:30:00,1241.36990543622,142.149090909091,"2020-08-12 13:30:00",24.06
"5586","MOOS",2020-08-12 13:45:00,1248.33225098437,142.554545454545,"2020-08-12 13:45:00",24.0925
"5587","MOOS",2020-08-12 14:00:00,1252.22545614578,142.609090909091,"2020-08-12 14:00:00",24.04
"5588","MOOS",2020-08-12 14:15:00,1255.46319479929,143.076363636364,"2020-08-12 14:15:00",24.0025
"5589","MOOS",2020-08-12 14:30:00,1258.10224662293,139.611818181818,"2020-08-12 14:30:00",23.9925
"5590","MOOS",2020-08-12 14:45:00,1254.86450796943,143.193636363636,"2020-08-12 14:45:00",23.955
"5591","MOOS",2020-08-12 15:00:00,1259.97401334993,142.913636363636,"2020-08-12 15:00:00",24.0175
"5592","MOOS",2020-08-12 15:15:00,1262.93133514786,142.637272727273,"2020-08-12 15:15:00",24.02
"5593","MOOS",2020-08-12 15:30:00,1268.48985565075,142.535454545455,"2020-08-12 15:30:00",23.9125
"5594","MOOS",2020-08-12 15:45:00,1263.3992768296,142.969090909091,"2020-08-12 15:45:00",23.925
"5595","MOOS",2020-08-12 16:00:00,1266.33767206817,142.766363636364,"2020-08-12 16:00:00",23.815
"5596","MOOS",2020-08-12 16:15:00,1267.12388372421,142.772727272727,"2020-08-12 16:15:00",23.9075
"5597","MOOS",2020-08-12 16:30:00,1268.6773804769,142.57,"2020-08-12 16:30:00",23.89
"5598","MOOS",2020-08-12 16:45:00,1276.08874114743,142.68,"2020-08-12 16:45:00",23.8525
"5599","MOOS",2020-08-12 17:00:00,1272.40198737152,142.722727272727,"2020-08-12 17:00:00",23.76
"5600","MOOS",2020-08-12 17:15:00,1274.57309751342,142.344545454545,"2020-08-12 17:15:00",23.7675
"5601","MOOS",2020-08-12 17:30:00,1275.49005431756,142.230909090909,"2020-08-12 17:30:00",23.675
"5602","MOOS",2020-08-12 17:45:00,1279.36433291962,141.36,"2020-08-12 17:45:00",23.7075
"5603","MOOS",2020-08-12 18:00:00,1270.86741717816,141.567272727273,"2020-08-12 18:00:00",23.64
"5604","MOOS",2020-08-12 18:15:00,1277.68009101882,141.101818181818,"2020-08-12 18:15:00",23.75
"5605","MOOS",2020-08-12 18:30:00,1280.6184862574,140.766363636364,"2020-08-12 18:30:00",23.6525
"5606","MOOS",2020-08-12 18:45:00,1279.08391606403,140.33,"2020-08-12 18:45:00",23.6275
"5607","MOOS",2020-08-12 19:00:00,1285.87766334534,139.603636363636,"2020-08-12 19:00:00",23.6975
"5608","MOOS",2020-08-12 19:15:00,1281.38577135408,139.495454545455,"2020-08-12 19:15:00",23.75
"5609","MOOS",2020-08-12 19:30:00,1284.64243656694,139.047272727273,"2020-08-12 19:30:00",23.6475
