"","Site","DateTime","MeanDischarge","fDOM.QSU","strt.no3.1","nitrateuM"
"5077","STRT",2020-08-09 05:30:00,1347.69468670944,69.6509090909091,"2020-08-09 05:30:00",30.9635714285714
"5078","STRT",2020-08-09 05:45:00,1337.58154366724,69.6963636363636,"2020-08-09 05:45:00",30.9714285714286
"5079","STRT",2020-08-09 06:00:00,1336.1368089469,69.7609090909091,"2020-08-09 06:00:00",30.9878571428571
"5080","STRT",2020-08-09 06:15:00,1346.2499519891,70.0063636363636,"2020-08-09 06:15:00",31.0107142857143
"5081","STRT",2020-08-09 06:30:00,1344.80521726876,70.1081818181818,"2020-08-09 06:30:00",31.0185714285714
"5082","STRT",2020-08-09 06:45:00,1340.4710131078,70.1890909090909,"2020-08-09 06:45:00",31.0357142857143
"5083","STRT",2020-08-09 07:00:00,1344.80521726876,70.3336363636364,"2020-08-09 07:00:00",31.025
"5084","STRT",2020-08-09 07:15:00,1350.58415615006,70.4236363636364,"2020-08-09 07:15:00",31.05
"5085","STRT",2020-08-09 07:30:00,1352.02889087034,70.5018181818182,"2020-08-09 07:30:00",31.0557142857143
"5086","STRT",2020-08-09 07:45:00,1352.02889087034,70.5890909090909,"2020-08-09 07:45:00",31.0628571428571
"5087","STRT",2020-08-09 08:00:00,1360.69729919225,70.7181818181818,"2020-08-09 08:00:00",31.0707142857143
"5088","STRT",2020-08-09 08:15:00,1359.25256447191,70.79,"2020-08-09 08:15:00",30.9764285714286
"5089","STRT",2020-08-09 08:30:00,1360.69729919225,70.8009090909091,"2020-08-09 08:30:00",30.7964285714286
"5090","STRT",2020-08-09 08:45:00,1362.14203391253,70.8263636363636,"2020-08-09 08:45:00",30.7571428571429
"5091","STRT",2020-08-09 09:00:00,1359.25256447191,70.7872727272727,"2020-08-09 09:00:00",30.885
"5092","STRT",2020-08-09 09:15:00,1357.80782975157,70.7918181818182,"2020-08-09 09:15:00",30.9364285714286
"5093","STRT",2020-08-09 09:30:00,1363.58676863287,70.7545454545455,"2020-08-09 09:30:00",30.9485714285714
"5094","STRT",2020-08-09 09:45:00,1354.91836031101,70.7036363636364,"2020-08-09 09:45:00",30.9335714285714
"5095","STRT",2020-08-09 10:00:00,1357.80782975157,70.6436363636364,"2020-08-09 10:00:00",30.9485714285714
"5096","STRT",2020-08-09 10:15:00,1354.91836031101,70.5472727272727,"2020-08-09 10:15:00",30.93
"5097","STRT",2020-08-09 10:30:00,1369.36570751411,70.35,"2020-08-09 10:30:00",30.9235714285714
"5098","STRT",2020-08-09 10:45:00,1359.25256447191,70.1445454545455,"2020-08-09 10:45:00",30.9507142857143
"5099","STRT",2020-08-09 11:00:00,1362.14203391253,69.7063636363636,"2020-08-09 11:00:00",30.9457142857143
"5100","STRT",2020-08-09 11:15:00,1360.69729919225,68.8254545454545,"2020-08-09 11:15:00",30.955
"5101","STRT",2020-08-09 11:30:00,1365.03150335321,69.2118181818182,"2020-08-09 11:30:00",30.9342857142857
"5102","STRT",2020-08-09 11:45:00,1372.25517695473,68.9154545454546,"2020-08-09 11:45:00",30.9514285714286
"5103","STRT",2020-08-09 12:00:00,1369.36570751411,68.5981818181818,"2020-08-09 12:00:00",30.935
"5104","STRT",2020-08-09 12:15:00,1366.47623807349,68.2372727272727,"2020-08-09 12:15:00",30.9221428571429
"5105","STRT",2020-08-09 12:30:00,1363.58676863287,67.8709090909091,"2020-08-09 12:30:00",30.9171428571429
"5106","STRT",2020-08-09 12:45:00,1359.25256447191,67.6390909090909,"2020-08-09 12:45:00",30.9728571428571
"5107","STRT",2020-08-09 13:00:00,1357.80782975157,67.1690909090909,"2020-08-09 13:00:00",30.9742857142857
"5108","STRT",2020-08-09 13:15:00,1359.25256447191,66.8436363636364,"2020-08-09 13:15:00",30.9564285714286
"5109","STRT",2020-08-09 13:30:00,1367.92097279377,66.4881818181818,"2020-08-09 13:30:00",30.9557142857143
"5110","STRT",2020-08-09 13:45:00,1360.69729919225,66.3145454545455,"2020-08-09 13:45:00",30.9664285714286
"5111","STRT",2020-08-09 14:00:00,1367.92097279377,66.3627272727273,"2020-08-09 14:00:00",30.9535714285714
"5112","STRT",2020-08-09 14:15:00,1369.36570751411,66.5309090909091,"2020-08-09 14:15:00",30.9914285714286
"5113","STRT",2020-08-09 14:30:00,1378.03411583597,66.5518181818182,"2020-08-09 14:30:00",31.0535714285714
"5114","STRT",2020-08-09 14:45:00,1379.4788505563,66.61,"2020-08-09 14:45:00",31.0278571428571
"5115","STRT",2020-08-09 15:00:00,1376.58938111569,66.5672727272727,"2020-08-09 15:00:00",31.0114285714286
"5116","STRT",2020-08-09 15:15:00,1375.14464639535,66.6154545454545,"2020-08-09 15:15:00",31.03
"5117","STRT",2020-08-09 15:30:00,1379.4788505563,66.5090909090909,"2020-08-09 15:30:00",31.0557142857143
"5118","STRT",2020-08-09 15:45:00,1379.4788505563,66.2472727272727,"2020-08-09 15:45:00",31.0878571428571
