"","DateTime","fDOM.QSU","valuedatetime"
"312",2020-06-20 14:15:00,83.9954545454545,2020-06-20 14:15:00
"313",2020-06-20 14:30:00,83.6927272727273,2020-06-20 14:30:00
"314",2020-06-20 14:45:00,83.5272727272727,2020-06-20 14:45:00
"315",2020-06-20 15:00:00,83.35,2020-06-20 15:00:00
"316",2020-06-20 15:15:00,83.3409090909091,2020-06-20 15:15:00
"317",2020-06-20 15:30:00,83.2909090909091,2020-06-20 15:30:00
"318",2020-06-20 15:45:00,83.1781818181818,2020-06-20 15:45:00
"319",2020-06-20 16:00:00,83.0590909090909,2020-06-20 16:00:00
"320",2020-06-20 16:15:00,82.0390909090909,2020-06-20 16:15:00
"321",2020-06-20 16:30:00,81.7690909090909,2020-06-20 16:30:00
"322",2020-06-20 16:45:00,81.4354545454545,2020-06-20 16:45:00
"323",2020-06-20 17:00:00,81.52,2020-06-20 17:00:00
"324",2020-06-20 17:15:00,81.5736363636364,2020-06-20 17:15:00
"325",2020-06-20 17:30:00,81.9722222222222,2020-06-20 17:30:00
"326",2020-06-20 17:45:00,81.7336363636364,2020-06-20 17:45:00
"327",2020-06-20 18:00:00,81.8872727272727,2020-06-20 18:00:00
"328",2020-06-20 18:15:00,82.4545454545455,2020-06-20 18:15:00
"329",2020-06-20 18:30:00,82.7254545454546,2020-06-20 18:30:00
"330",2020-06-20 18:45:00,82.1727272727273,2020-06-20 18:45:00
"331",2020-06-20 19:00:00,83.0190909090909,2020-06-20 19:00:00
"332",2020-06-20 19:15:00,83.3036363636364,2020-06-20 19:15:00
"333",2020-06-20 19:30:00,82.2109090909091,2020-06-20 19:30:00
"334",2020-06-20 19:45:00,83.82,2020-06-20 19:45:00
"335",2020-06-20 20:00:00,84.7327272727273,2020-06-20 20:00:00
"336",2020-06-20 20:15:00,85.3672727272727,2020-06-20 20:15:00
"337",2020-06-20 20:30:00,85.7754545454546,2020-06-20 20:30:00
"338",2020-06-20 20:45:00,86.2709090909091,2020-06-20 20:45:00
"339",2020-06-20 21:00:00,86.5509090909091,2020-06-20 21:00:00
"340",2020-06-20 21:15:00,86.8663636363636,2020-06-20 21:15:00
"341",2020-06-20 21:30:00,86.7781818181818,2020-06-20 21:30:00
"342",2020-06-20 21:45:00,87.4363636363636,2020-06-20 21:45:00
"343",2020-06-20 22:00:00,88.3063636363636,2020-06-20 22:00:00
"344",2020-06-20 22:15:00,88.9036363636364,2020-06-20 22:15:00
"345",2020-06-20 22:30:00,91.0918181818182,2020-06-20 22:30:00
"346",2020-06-20 22:45:00,92.0427272727273,2020-06-20 22:45:00
"347",2020-06-20 23:00:00,93.74,2020-06-20 23:00:00
"348",2020-06-20 23:15:00,94.55,2020-06-20 23:15:00
"349",2020-06-20 23:30:00,95.1527272727273,2020-06-20 23:30:00
"350",2020-06-20 23:45:00,96.1527272727273,2020-06-20 23:45:00
"351",2020-06-21 00:00:00,97.3845454545454,2020-06-21 00:00:00
"352",2020-06-21 00:15:00,98.3163636363636,2020-06-21 00:15:00
"353",2020-06-21 00:30:00,99.3363636363636,2020-06-21 00:30:00
"354",2020-06-21 00:45:00,99.9127272727273,2020-06-21 00:45:00
"355",2020-06-21 01:00:00,100.875454545455,2020-06-21 01:00:00
"356",2020-06-21 01:15:00,101.325454545455,2020-06-21 01:15:00
"357",2020-06-21 01:30:00,102.373636363636,2020-06-21 01:30:00
"358",2020-06-21 01:45:00,102.99,2020-06-21 01:45:00
"359",2020-06-21 02:00:00,100.527272727273,2020-06-21 02:00:00
"360",2020-06-21 02:15:00,104.037272727273,2020-06-21 02:15:00
"361",2020-06-21 02:30:00,104.569090909091,2020-06-21 02:30:00
"362",2020-06-21 02:45:00,104.725454545455,2020-06-21 02:45:00
"363",2020-06-21 03:00:00,104.93,2020-06-21 03:00:00
"364",2020-06-21 03:15:00,105.885454545455,2020-06-21 03:15:00
"365",2020-06-21 03:30:00,105.637272727273,2020-06-21 03:30:00
"366",2020-06-21 03:45:00,105.537272727273,2020-06-21 03:45:00
"367",2020-06-21 04:00:00,105.963636363636,2020-06-21 04:00:00
"368",2020-06-21 04:15:00,106.135454545455,2020-06-21 04:15:00
"369",2020-06-21 04:30:00,106.41,2020-06-21 04:30:00
"370",2020-06-21 04:45:00,107.352727272727,2020-06-21 04:45:00
"371",2020-06-21 05:00:00,106.820909090909,2020-06-21 05:00:00
"372",2020-06-21 05:15:00,107.534545454545,2020-06-21 05:15:00
"373",2020-06-21 05:30:00,108.109090909091,2020-06-21 05:30:00
"374",2020-06-21 05:45:00,108.462727272727,2020-06-21 05:45:00
"375",2020-06-21 06:00:00,108.599090909091,2020-06-21 06:00:00
"376",2020-06-21 06:15:00,109.035454545455,2020-06-21 06:15:00
"377",2020-06-21 06:30:00,108.868181818182,2020-06-21 06:30:00
"378",2020-06-21 06:45:00,109.755454545455,2020-06-21 06:45:00
"379",2020-06-21 07:00:00,109.307272727273,2020-06-21 07:00:00
"380",2020-06-21 07:15:00,108.713636363636,2020-06-21 07:15:00
"381",2020-06-21 07:30:00,108.841818181818,2020-06-21 07:30:00
"382",2020-06-21 07:45:00,108.97,2020-06-21 07:45:00
"383",2020-06-21 08:00:00,107.647272727273,2020-06-21 08:00:00
"384",2020-06-21 08:15:00,106.831818181818,2020-06-21 08:15:00
"385",2020-06-21 08:30:00,104.325454545455,2020-06-21 08:30:00
"386",2020-06-21 08:45:00,105.888181818182,2020-06-21 08:45:00
"387",2020-06-21 09:00:00,105.892727272727,2020-06-21 09:00:00
"388",2020-06-21 09:15:00,104.252727272727,2020-06-21 09:15:00
"389",2020-06-21 09:30:00,106.112727272727,2020-06-21 09:30:00
"390",2020-06-21 09:45:00,108.29,2020-06-21 09:45:00
"391",2020-06-21 10:00:00,107.985454545455,2020-06-21 10:00:00
"392",2020-06-21 10:15:00,109.399090909091,2020-06-21 10:15:00
"393",2020-06-21 10:30:00,109.137272727273,2020-06-21 10:30:00
"394",2020-06-21 10:45:00,110.041818181818,2020-06-21 10:45:00
"395",2020-06-21 11:00:00,110.26,2020-06-21 11:00:00
"396",2020-06-21 11:15:00,111.040909090909,2020-06-21 11:15:00
"397",2020-06-21 11:30:00,109.630909090909,2020-06-21 11:30:00
"398",2020-06-21 11:45:00,109.835454545455,2020-06-21 11:45:00
"399",2020-06-21 12:00:00,108.110909090909,2020-06-21 12:00:00
"400",2020-06-21 12:15:00,108.521818181818,2020-06-21 12:15:00
"401",2020-06-21 12:30:00,108.44,2020-06-21 12:30:00
"402",2020-06-21 12:45:00,107.868181818182,2020-06-21 12:45:00
"403",2020-06-21 13:00:00,107.33,2020-06-21 13:00:00
"404",2020-06-21 13:15:00,106.833636363636,2020-06-21 13:15:00
"405",2020-06-21 13:30:00,107.851818181818,2020-06-21 13:30:00
"406",2020-06-21 13:45:00,107.91,2020-06-21 13:45:00
"407",2020-06-21 14:00:00,106.735454545455,2020-06-21 14:00:00
"408",2020-06-21 14:15:00,107.025454545455,2020-06-21 14:15:00
"409",2020-06-21 14:30:00,105.530909090909,2020-06-21 14:30:00
"410",2020-06-21 14:45:00,106.575454545455,2020-06-21 14:45:00
"411",2020-06-21 15:00:00,104.246363636364,2020-06-21 15:00:00
"412",2020-06-21 15:15:00,102.004545454545,2020-06-21 15:15:00
"413",2020-06-21 15:30:00,105.486363636364,2020-06-21 15:30:00
"414",2020-06-21 15:45:00,105.647272727273,2020-06-21 15:45:00
"415",2020-06-21 16:00:00,105.32,2020-06-21 16:00:00
"416",2020-06-21 16:15:00,104.72,2020-06-21 16:15:00
"417",2020-06-21 16:30:00,104.725454545455,2020-06-21 16:30:00
"418",2020-06-21 16:45:00,102.173636363636,2020-06-21 16:45:00
"419",2020-06-21 17:00:00,104.239090909091,2020-06-21 17:00:00
"420",2020-06-21 17:15:00,102.908181818182,2020-06-21 17:15:00
"421",2020-06-21 17:30:00,101.163636363636,2020-06-21 17:30:00
"422",2020-06-21 17:45:00,102.261818181818,2020-06-21 17:45:00
"423",2020-06-21 18:00:00,104.230909090909,2020-06-21 18:00:00
"424",2020-06-21 18:15:00,101.127272727273,2020-06-21 18:15:00
"425",2020-06-21 18:30:00,104.314545454545,2020-06-21 18:30:00
"426",2020-06-21 18:45:00,104.241818181818,2020-06-21 18:45:00
"427",2020-06-21 19:00:00,103.585454545455,2020-06-21 19:00:00
"428",2020-06-21 19:15:00,102.808181818182,2020-06-21 19:15:00
"429",2020-06-21 19:30:00,106.740909090909,2020-06-21 19:30:00
"430",2020-06-21 19:45:00,107.454545454545,2020-06-21 19:45:00
"431",2020-06-21 20:00:00,107.864545454545,2020-06-21 20:00:00
"432",2020-06-21 20:15:00,108.079090909091,2020-06-21 20:15:00
"433",2020-06-21 20:30:00,106.182727272727,2020-06-21 20:30:00
"434",2020-06-21 20:45:00,109.48,2020-06-21 20:45:00
"435",2020-06-21 21:00:00,107.860909090909,2020-06-21 21:00:00
"436",2020-06-21 21:15:00,110.888181818182,2020-06-21 21:15:00
"437",2020-06-21 21:30:00,110.7,2020-06-21 21:30:00
"438",2020-06-21 21:45:00,111.704545454545,2020-06-21 21:45:00
"NA",NA,NA,NA
