"","DateTime","fDOM.QSU","valuedatetime"
"282",2020-06-20 06:45:00,84.0990909090909,2020-06-20 06:45:00
"283",2020-06-20 07:00:00,84.3945454545455,2020-06-20 07:00:00
"284",2020-06-20 07:15:00,84.7918181818182,2020-06-20 07:15:00
"285",2020-06-20 07:30:00,85.0736363636364,2020-06-20 07:30:00
"286",2020-06-20 07:45:00,85.4536363636364,2020-06-20 07:45:00
"287",2020-06-20 08:00:00,85.5627272727273,2020-06-20 08:00:00
"288",2020-06-20 08:15:00,85.7445454545455,2020-06-20 08:15:00
"289",2020-06-20 08:30:00,86.14,2020-06-20 08:30:00
"290",2020-06-20 08:45:00,85.8563636363636,2020-06-20 08:45:00
"291",2020-06-20 09:00:00,86.2636363636364,2020-06-20 09:00:00
"292",2020-06-20 09:15:00,86.4863636363636,2020-06-20 09:15:00
"293",2020-06-20 09:30:00,86.5172727272727,2020-06-20 09:30:00
"294",2020-06-20 09:45:00,86.5981818181818,2020-06-20 09:45:00
"295",2020-06-20 10:00:00,86.5509090909091,2020-06-20 10:00:00
"296",2020-06-20 10:15:00,86.42,2020-06-20 10:15:00
"297",2020-06-20 10:30:00,86.5372727272727,2020-06-20 10:30:00
"298",2020-06-20 10:45:00,86.3727272727273,2020-06-20 10:45:00
"299",2020-06-20 11:00:00,86.4709090909091,2020-06-20 11:00:00
"300",2020-06-20 11:15:00,86.0109090909091,2020-06-20 11:15:00
"301",2020-06-20 11:30:00,85.7772727272727,2020-06-20 11:30:00
"302",2020-06-20 11:45:00,85.5063636363636,2020-06-20 11:45:00
"303",2020-06-20 12:00:00,85.11,2020-06-20 12:00:00
"304",2020-06-20 12:15:00,85.1327272727273,2020-06-20 12:15:00
"305",2020-06-20 12:30:00,84.9336363636364,2020-06-20 12:30:00
"306",2020-06-20 12:45:00,85.1127272727273,2020-06-20 12:45:00
"307",2020-06-20 13:00:00,84.58,2020-06-20 13:00:00
"308",2020-06-20 13:15:00,83.9918181818182,2020-06-20 13:15:00
"309",2020-06-20 13:30:00,83.9845454545455,2020-06-20 13:30:00
"310",2020-06-20 13:45:00,84.1127272727273,2020-06-20 13:45:00
"311",2020-06-20 14:00:00,83.44,2020-06-20 14:00:00
