"","Site","DateTime","MeanDischarge","fDOM.QSU","moos.no3.1","nitrateuM"
"3225","MOOS",2020-07-18 23:30:00,1172.08190572132,100.289090909091,"2020-07-18 23:30:00",24.0366666666667
"3226","MOOS",2020-07-18 23:45:00,1172.54984740308,100.365454545455,"2020-07-18 23:45:00",24.0291666666667
"3227","MOOS",2020-07-19 00:00:00,1171.61396403958,100.362727272727,"2020-07-19 00:00:00",23.9975
"3228","MOOS",2020-07-19 00:15:00,1171.46429233211,100.602727272727,"2020-07-19 00:15:00",23.985
"3229","MOOS",2020-07-19 00:30:00,1169.29318219019,100.514545454545,"2020-07-19 00:30:00",23.9625
"3230","MOOS",2020-07-19 00:45:00,1169.9107955794,100.463636363636,"2020-07-19 00:45:00",23.8958333333333
"3231","MOOS",2020-07-19 01:00:00,1168.20762711925,100.300909090909,"2020-07-19 01:00:00",23.875
"3232","MOOS",2020-07-19 01:15:00,1167.12207204831,100.498181818182,"2020-07-19 01:15:00",23.895
"3233","MOOS",2020-07-19 01:30:00,1166.5044586591,100.315454545455,"2020-07-19 01:30:00",23.8808333333333
"3234","MOOS",2020-07-19 01:45:00,1167.12207204831,100.442727272727,"2020-07-19 01:45:00",23.8558333333333
"3235","MOOS",2020-07-19 02:00:00,1166.03651697734,100.142727272727,"2020-07-19 02:00:00",23.8466666666667
"3236","MOOS",2020-07-19 02:15:00,1163.71573512797,99.6945454545455,"2020-07-19 02:15:00",23.8608333333333
"3237","MOOS",2020-07-19 02:30:00,1164.95096190639,100.035454545455,"2020-07-19 02:30:00",23.8408333333333
"3238","MOOS",2020-07-19 02:45:00,1162.01256666781,100.225454545455,"2020-07-19 02:45:00",23.8408333333333
"3239","MOOS",2020-07-19 03:00:00,1160.92701159685,100.270909090909,"2020-07-19 03:00:00",23.8283333333333
"3240","MOOS",2020-07-19 03:15:00,1161.54462498607,100.463636363636,"2020-07-19 03:15:00",23.8058333333333
"3241","MOOS",2020-07-19 03:30:00,1158.60622974747,100.552727272727,"2020-07-19 03:30:00",23.8225
"3242","MOOS",2020-07-19 03:45:00,1158.75590145493,100.691818181818,"2020-07-19 03:45:00",23.7916666666667
"3243","MOOS",2020-07-19 04:00:00,1157.67034638399,100.650909090909,"2020-07-19 04:00:00",23.78
"3244","MOOS",2020-07-19 04:15:00,1156.11684963129,100.724545454545,"2020-07-19 04:15:00",23.7625
"3245","MOOS",2020-07-19 04:30:00,1156.11684963129,101.177272727273,"2020-07-19 04:30:00",23.7591666666667
"3246","MOOS",2020-07-19 04:45:00,1154.7319511454,101.426363636364,"2020-07-19 04:45:00",23.7666666666667
"3247","MOOS",2020-07-19 05:00:00,1156.11684963129,101.509090909091,"2020-07-19 05:00:00",23.7654545454545
"3248","MOOS",2020-07-19 05:15:00,1151.77462934746,101.073636363636,"2020-07-19 05:15:00",23.8133333333333
"3249","MOOS",2020-07-19 05:30:00,1151.77462934746,101.310909090909,"2020-07-19 05:30:00",23.7866666666667
"3250","MOOS",2020-07-19 05:45:00,1149.45384749811,101.723636363636,"2020-07-19 05:45:00",23.8108333333333
"3251","MOOS",2020-07-19 06:00:00,1149.45384749811,102.076363636364,"2020-07-19 06:00:00",23.83
"3252","MOOS",2020-07-19 06:15:00,1147.28273735619,102.347272727273,"2020-07-19 06:15:00",23.8591666666667
"3253","MOOS",2020-07-19 06:30:00,1147.58208077113,102.94,"2020-07-19 06:30:00",23.8358333333333
"3254","MOOS",2020-07-19 06:45:00,1146.02858401842,103.136363636364,"2020-07-19 06:45:00",23.8625
"3255","MOOS",2020-07-19 07:00:00,1141.83603544207,103.719090909091,"2020-07-19 07:00:00",23.8808333333333
"3256","MOOS",2020-07-19 07:15:00,1139.66492530017,103.867272727273,"2020-07-19 07:15:00",23.9166666666667
"3257","MOOS",2020-07-19 07:30:00,1137.49381515825,104.040909090909,"2020-07-19 07:30:00",23.9575
"3258","MOOS",2020-07-19 07:45:00,1135.32270501636,104.292727272727,"2020-07-19 07:45:00",23.9833333333333
"3259","MOOS",2020-07-19 08:00:00,1134.23714994539,104.6,"2020-07-19 08:00:00",24.0227272727273
"3260","MOOS",2020-07-19 08:15:00,1132.06603980348,104.767272727273,"2020-07-19 08:15:00",24.01
"3261","MOOS",2020-07-19 08:30:00,1130.98048473251,104.720909090909,"2020-07-19 08:30:00",24.0508333333333
"3262","MOOS",2020-07-19 08:45:00,1130.04460136904,105.28,"2020-07-19 08:45:00",24.0683333333333
"3263","MOOS",2020-07-19 09:00:00,1128.95904629807,105.211818181818,"2020-07-19 09:00:00",24.1191666666667
"3264","MOOS",2020-07-19 09:15:00,1126.0206510595,105.145454545455,"2020-07-19 09:15:00",24.12
"3265","MOOS",2020-07-19 09:30:00,1126.17032276696,105.546363636364,"2020-07-19 09:30:00",24.1533333333333
"3266","MOOS",2020-07-19 09:45:00,1123.06332926157,105.637272727273,"2020-07-19 09:45:00",24.1833333333333
"3267","MOOS",2020-07-19 10:00:00,1122.2960441649,106.345454545455,"2020-07-19 10:00:00",24.2183333333333
"3268","MOOS",2020-07-19 10:15:00,1119.33872236697,106.232727272727,"2020-07-19 10:15:00",24.2566666666667
"3269","MOOS",2020-07-19 10:30:00,1117.6355539068,106.440909090909,"2020-07-19 10:30:00",24.2758333333333
"3270","MOOS",2020-07-19 10:45:00,1117.16761222505,106.565454545455,"2020-07-19 10:45:00",24.325
"3271","MOOS",2020-07-19 11:00:00,1116.23172886156,106.566363636364,"2020-07-19 11:00:00",24.3208333333333
"3272","MOOS",2020-07-19 11:15:00,1114.52856040139,106.685454545455,"2020-07-19 11:15:00",24.3666666666667
"3273","MOOS",2020-07-19 11:30:00,1113.91094701219,106.59,"2020-07-19 11:30:00",24.4066666666667
"3274","MOOS",2020-07-19 11:45:00,1114.52856040139,106.617272727273,"2020-07-19 11:45:00",24.4341666666667
