"","Site","DateTime","MeanDischarge","fDOM.QSU","strt.no3.1","nitrateuM"
"565","STRT",2020-06-23 05:30:00,2546.82450456958,123.078181818182,"2020-06-23 05:30:00",27.0892857142857
"566","STRT",2020-06-23 05:45:00,2559.82711705245,123.096363636364,"2020-06-23 05:45:00",27.0757142857143
"567","STRT",2020-06-23 06:00:00,2545.3797698493,123.609090909091,"2020-06-23 06:00:00",27.1178571428571
"568","STRT",2020-06-23 06:15:00,2561.27185177273,123.148181818182,"2020-06-23 06:15:00",27.1685714285714
"569","STRT",2020-06-23 06:30:00,2561.27185177273,122.890909090909,"2020-06-23 06:30:00",27.1835714285714
"570","STRT",2020-06-23 06:45:00,2552.60344345082,121.800909090909,"2020-06-23 06:45:00",27.2178571428571
"571","STRT",2020-06-23 07:00:00,2561.27185177273,121.430909090909,"2020-06-23 07:00:00",27.2385714285714
"572","STRT",2020-06-23 07:15:00,2565.60605593369,122.459090909091,"2020-06-23 07:15:00",27.2971428571429
"573","STRT",2020-06-23 07:30:00,2561.27185177273,121.728181818182,"2020-06-23 07:30:00",27.3114285714286
"574","STRT",2020-06-23 07:45:00,2554.04817817116,122.539090909091,"2020-06-23 07:45:00",27.4
"575","STRT",2020-06-23 08:00:00,2555.4929128915,122.259090909091,"2020-06-23 08:00:00",27.4114285714286
"576","STRT",2020-06-23 08:15:00,2564.16132121335,121.562727272727,"2020-06-23 08:15:00",27.4321428571429
"577","STRT",2020-06-23 08:30:00,2565.60605593369,121.539090909091,"2020-06-23 08:30:00",27.4814285714286
"578","STRT",2020-06-23 08:45:00,2562.71658649307,121.706363636364,"2020-06-23 08:45:00",27.4985714285714
"579","STRT",2020-06-23 09:00:00,2578.60866841651,121.720909090909,"2020-06-23 09:00:00",27.5385714285714
"580","STRT",2020-06-23 09:15:00,2574.27446425555,121.514545454545,"2020-06-23 09:15:00",27.5671428571429
"581","STRT",2020-06-23 09:30:00,2581.49813785712,120.287272727273,"2020-06-23 09:30:00",27.615
"582","STRT",2020-06-23 09:45:00,2580.05340313679,121.057272727273,"2020-06-23 09:45:00",27.6221428571429
"583","STRT",2020-06-23 10:00:00,2581.49813785712,120.876363636364,"2020-06-23 10:00:00",27.6864285714286
"584","STRT",2020-06-23 10:15:00,2587.27707673836,120.137272727273,"2020-06-23 10:15:00",27.6857142857143
"585","STRT",2020-06-23 10:30:00,2588.7218114587,120.121818181818,"2020-06-23 10:30:00",27.695
"586","STRT",2020-06-23 10:45:00,2588.7218114587,119.697272727273,"2020-06-23 10:45:00",27.7757142857143
"587","STRT",2020-06-23 11:00:00,2595.94548506028,119.957272727273,"2020-06-23 11:00:00",27.8071428571429
"588","STRT",2020-06-23 11:15:00,2597.39021978056,120.081818181818,"2020-06-23 11:15:00",27.815
"589","STRT",2020-06-23 11:30:00,2607.50336282275,119.771818181818,"2020-06-23 11:30:00",27.865
"590","STRT",2020-06-23 11:45:00,2607.50336282275,120.645454545455,"2020-06-23 11:45:00",27.8442857142857
"591","STRT",2020-06-23 12:00:00,2598.8349545009,119.759090909091,"2020-06-23 12:00:00",27.8528571428571
"592","STRT",2020-06-23 12:15:00,2606.05862810247,120.105454545455,"2020-06-23 12:15:00",27.8921428571429
"593","STRT",2020-06-23 12:30:00,2606.05862810247,119.204545454545,"2020-06-23 12:30:00",27.9185714285714
"594","STRT",2020-06-23 12:45:00,2616.17177114467,119.61,"2020-06-23 12:45:00",28.0328571428571
"595","STRT",2020-06-23 13:00:00,2616.17177114467,119.466363636364,"2020-06-23 13:00:00",27.9735714285714
"596","STRT",2020-06-23 13:15:00,2608.94809754309,120.205454545455,"2020-06-23 13:15:00",27.9978571428571
"597","STRT",2020-06-23 13:30:00,2611.83756698371,119.835454545455,"2020-06-23 13:30:00",28.0164285714286
"598","STRT",2020-06-23 13:45:00,2617.61650586495,119.436363636364,"2020-06-23 13:45:00",28.04
"599","STRT",2020-06-23 14:00:00,2610.39283226343,119.601818181818,"2020-06-23 14:00:00",28.0707142857143
"600","STRT",2020-06-23 14:15:00,2607.50336282275,119.532727272727,"2020-06-23 14:15:00",28.0642857142857
"601","STRT",2020-06-23 14:30:00,2614.72703642433,120.590909090909,"2020-06-23 14:30:00",28.0821428571429
"602","STRT",2020-06-23 14:45:00,2613.28230170399,119.418181818182,"2020-06-23 14:45:00",28.1442857142857
"603","STRT",2020-06-23 15:00:00,2621.95071002591,119.627272727273,"2020-06-23 15:00:00",28.0935714285714
"604","STRT",2020-06-23 15:15:00,2620.50597530563,119.491818181818,"2020-06-23 15:15:00",28.13
"605","STRT",2020-06-23 15:30:00,2624.84017946653,120.094545454545,"2020-06-23 15:30:00",28.1078571428571
"606","STRT",2020-06-23 15:45:00,2619.06124058529,119.733636363636,"2020-06-23 15:45:00",28.045
"607","STRT",2020-06-23 16:00:00,2626.28491418686,119.706363636364,"2020-06-23 16:00:00",28.0785714285714
"608","STRT",2020-06-23 16:15:00,2629.17438362748,119.26,"2020-06-23 16:15:00",28.0628571428571
"609","STRT",2020-06-23 16:30:00,2632.0638530681,117.062727272727,"2020-06-23 16:30:00",28.0414285714286
"610","STRT",2020-06-23 16:45:00,2621.95071002591,118.968181818182,"2020-06-23 16:45:00",28.0871428571429
"611","STRT",2020-06-23 17:00:00,2623.39544474619,118.945454545455,"2020-06-23 17:00:00",28.05
"612","STRT",2020-06-23 17:15:00,2636.39805722906,117.784545454545,"2020-06-23 17:15:00",28.0285714285714
"613","STRT",2020-06-23 17:30:00,2637.8427919494,118.685454545455,"2020-06-23 17:30:00",28.04
"614","STRT",2020-06-23 17:45:00,2627.7296489072,118.494545454545,"2020-06-23 17:45:00",28.0085714285714
"615","STRT",2020-06-23 18:00:00,2639.28752666968,118.696363636364,"2020-06-23 18:00:00",28.08
"616","STRT",2020-06-23 18:15:00,2627.7296489072,118.405454545455,"2020-06-23 18:15:00",28.0592857142857
"617","STRT",2020-06-23 18:30:00,2630.61911834776,118.702727272727,"2020-06-23 18:30:00",28.0857142857143
"618","STRT",2020-06-23 18:45:00,2637.8427919494,118.291818181818,"2020-06-23 18:45:00",28.0978571428571
"619","STRT",2020-06-23 19:00:00,2624.84017946653,117.85,"2020-06-23 19:00:00",28.1071428571429
"620","STRT",2020-06-23 19:15:00,2627.7296489072,117.723636363636,"2020-06-23 19:15:00",28.1242857142857
"621","STRT",2020-06-23 19:30:00,2636.39805722906,118.185454545455,"2020-06-23 19:30:00",28.11
"622","STRT",2020-06-23 19:45:00,2629.17438362748,118.062727272727,"2020-06-23 19:45:00",28.1721428571429
"623","STRT",2020-06-23 20:00:00,2621.95071002591,118.199090909091,"2020-06-23 20:00:00",28.1264285714286
"624","STRT",2020-06-23 20:15:00,2611.83756698371,118.215454545455,"2020-06-23 20:15:00",28.1821428571429
"625","STRT",2020-06-23 20:30:00,2614.72703642433,117.762727272727,"2020-06-23 20:30:00",28.12
"626","STRT",2020-06-23 20:45:00,2617.61650586495,117.579090909091,"2020-06-23 20:45:00",28.1578571428571
"627","STRT",2020-06-23 21:00:00,2620.50597530563,117.515454545455,"2020-06-23 21:00:00",28.1585714285714
"628","STRT",2020-06-23 21:15:00,2607.50336282275,117.46,"2020-06-23 21:15:00",28.1935714285714
"629","STRT",2020-06-23 21:30:00,2614.72703642433,117.227272727273,"2020-06-23 21:30:00",28.19
"630","STRT",2020-06-23 21:45:00,2607.50336282275,116.584545454545,"2020-06-23 21:45:00",28.1871428571429
"631","STRT",2020-06-23 22:00:00,2611.83756698371,116.760909090909,"2020-06-23 22:00:00",28.1678571428571
"632","STRT",2020-06-23 22:15:00,2613.28230170399,116.806363636364,"2020-06-23 22:15:00",28.1642857142857
"633","STRT",2020-06-23 22:30:00,2600.27968922124,116.445454545455,"2020-06-23 22:30:00",28.2057142857143
"634","STRT",2020-06-23 22:45:00,2600.27968922124,116.726363636364,"2020-06-23 22:45:00",28.2035714285714
"635","STRT",2020-06-23 23:00:00,2607.50336282275,115.959090909091,"2020-06-23 23:00:00",28.2342857142857
"636","STRT",2020-06-23 23:15:00,2601.72442394152,116.024545454545,"2020-06-23 23:15:00",28.18
"637","STRT",2020-06-23 23:30:00,2593.05601561966,115.630909090909,"2020-06-23 23:30:00",28.1728571428571
"638","STRT",2020-06-23 23:45:00,2604.61389338213,115.791818181818,"2020-06-23 23:45:00",28.1828571428571
"639","STRT",2020-06-24 00:00:00,2598.8349545009,115.158181818182,"2020-06-24 00:00:00",28.16
"640","STRT",2020-06-24 00:15:00,2595.94548506028,114.979090909091,"2020-06-24 00:15:00",28.1628571428571
"641","STRT",2020-06-24 00:30:00,2597.39021978056,114.561818181818,"2020-06-24 00:30:00",28.13
"642","STRT",2020-06-24 00:45:00,2600.27968922124,114.392727272727,"2020-06-24 00:45:00",28.1035714285714
"643","STRT",2020-06-24 01:00:00,2590.16654617898,115.030909090909,"2020-06-24 01:00:00",28.1171428571429
"644","STRT",2020-06-24 01:15:00,2593.05601561966,114.495454545455,"2020-06-24 01:15:00",28.0707142857143
"645","STRT",2020-06-24 01:30:00,2588.7218114587,114.687272727273,"2020-06-24 01:30:00",28.0528571428571
"646","STRT",2020-06-24 01:45:00,2595.94548506028,113.083636363636,"2020-06-24 01:45:00",28.0692857142857
"NA",NA,NA,NA,NA,NA,NA
