"Site","Temp","AbsPTDepth","DateTime"
"MOOS",6.573,0.955,2019-05-31 15:45:00
"MOOS",6.573,0.955,2019-05-31 16:00:00
"MOOS",6.573,0.955,2019-05-31 16:15:00
"MOOS",6.573,0.957,2019-05-31 16:30:00
"MOOS",6.573,0.956,2019-05-31 16:45:00
"MOOS",6.573,0.956,2019-05-31 17:00:00
"MOOS",6.573,0.956,2019-05-31 17:15:00
"MOOS",6.573,0.957,2019-05-31 17:30:00
"MOOS",6.573,0.956,2019-05-31 17:45:00
"MOOS",6.573,0.96,2019-05-31 18:00:00
"MOOS",6.573,0.957,2019-05-31 18:15:00
"MOOS",6.573,0.955,2019-05-31 18:30:00
"MOOS",6.573,0.957,2019-05-31 18:45:00
"MOOS",6.573,0.958,2019-05-31 19:00:00
"MOOS",6.573,0.958,2019-05-31 19:15:00
"MOOS",6.573,0.959,2019-05-31 19:30:00
"MOOS",6.573,0.957,2019-05-31 19:45:00
"MOOS",6.573,0.961,2019-05-31 20:00:00
"MOOS",6.573,0.959,2019-05-31 20:15:00
"MOOS",6.573,0.959,2019-05-31 20:30:00
"MOOS",6.573,0.958,2019-05-31 20:45:00
"MOOS",6.573,0.959,2019-05-31 21:00:00
"MOOS",6.573,0.961,2019-05-31 21:15:00
"MOOS",6.573,0.96,2019-05-31 21:30:00
"MOOS",6.573,0.962,2019-05-31 21:45:00
"MOOS",6.573,0.965,2019-05-31 22:00:00
"MOOS",6.573,0.964,2019-05-31 22:15:00
"MOOS",6.573,0.964,2019-05-31 22:30:00
"MOOS",6.573,0.963,2019-05-31 22:45:00
"MOOS",6.573,0.963,2019-05-31 23:00:00
"MOOS",6.573,0.963,2019-05-31 23:15:00
"MOOS",6.573,0.963,2019-05-31 23:30:00
"MOOS",6.573,0.965,2019-05-31 23:45:00
"MOOS",6.573,0.964,2019-06-01 00:00:00
"MOOS",6.573,0.964,2019-06-01 00:15:00
"MOOS",6.573,0.966,2019-06-01 00:30:00
"MOOS",6.674,0.967,2019-06-01 00:45:00
"MOOS",6.674,0.967,2019-06-01 01:00:00
"MOOS",6.674,0.969,2019-06-01 01:15:00
"MOOS",6.674,0.969,2019-06-01 01:30:00
"MOOS",6.674,0.97,2019-06-01 01:45:00
"MOOS",6.674,0.97,2019-06-01 02:00:00
"MOOS",6.674,0.971,2019-06-01 02:15:00
"MOOS",6.674,0.971,2019-06-01 02:30:00
"MOOS",6.674,0.974,2019-06-01 02:45:00
"MOOS",6.674,0.975,2019-06-01 03:00:00
"MOOS",6.674,0.974,2019-06-01 03:15:00
"MOOS",6.674,0.979,2019-06-01 03:30:00
"MOOS",6.674,0.98,2019-06-01 03:45:00
"MOOS",6.674,0.983,2019-06-01 04:00:00
"MOOS",6.674,0.985,2019-06-01 04:15:00
"MOOS",6.674,0.99,2019-06-01 04:30:00
"MOOS",6.674,0.989,2019-06-01 04:45:00
"MOOS",6.573,0.993,2019-06-01 05:00:00
"MOOS",6.573,0.996,2019-06-01 05:15:00
"MOOS",6.573,0.998,2019-06-01 05:30:00
"MOOS",6.573,1.002,2019-06-01 05:45:00
"MOOS",6.573,1.006,2019-06-01 06:00:00
"MOOS",6.573,1.007,2019-06-01 06:15:00
"MOOS",6.573,1.013,2019-06-01 06:30:00
"MOOS",6.573,1.02,2019-06-01 06:45:00
"MOOS",6.573,1.024,2019-06-01 07:00:00
"MOOS",6.573,1.031,2019-06-01 07:15:00
"MOOS",6.573,1.04,2019-06-01 07:30:00
"MOOS",6.573,1.047,2019-06-01 07:45:00
"MOOS",6.573,1.057,2019-06-01 08:00:00
"MOOS",6.573,1.067,2019-06-01 08:15:00
"MOOS",6.573,1.075,2019-06-01 08:30:00
"MOOS",6.573,1.088,2019-06-01 08:45:00
"MOOS",6.573,1.1,2019-06-01 09:00:00
"MOOS",6.573,1.115,2019-06-01 09:15:00
"MOOS",6.573,1.128,2019-06-01 09:30:00
"MOOS",6.573,1.139,2019-06-01 09:45:00
"MOOS",6.573,1.154,2019-06-01 10:00:00
"MOOS",6.573,1.167,2019-06-01 10:15:00
"MOOS",6.573,1.179,2019-06-01 10:30:00
"MOOS",6.573,1.192,2019-06-01 10:45:00
"MOOS",6.471,1.204,2019-06-01 11:00:00
