"","number","DateTimeGMT","WaterLevelmeters","DateTime","name","Site","Date","Time","Method","VolSlugml","Batch","MeasuredQ_Ls","Notes","pred.moose1.Q"
"1",1,"5/29/18 15:00",166.66128612911,2018-05-29 15:00:00,"Moose1",NA,NA,NA,NA,1000,NA,1415.85678131166,NA,1726.26528050005
"2",2,"5/29/18 15:30",166.66198168573,2018-05-29 15:30:00,"Moose1",NA,NA,NA,NA,1000,NA,1415.81697498471,NA,1728.59586630727
"3",3,"5/29/18 16:00",166.662682353206,2018-05-29 16:00:00,"Moose1",NA,NA,NA,NA,1000,NA,1415.77716865761,NA,1730.9435769486
"4",4,"5/29/18 16:30",166.66338353999,2018-05-29 16:30:00,"Moose1",NA,NA,NA,NA,1000,NA,1415.7373623305,NA,1733.29302762134
"5",5,"5/29/18 17:00",166.664080654533,2018-05-29 17:00:00,"Moose1",NA,NA,NA,NA,1000,NA,1415.6975560034,NA,1735.62883352698
"6",6,"5/29/18 17:30",166.664769105285,2018-05-29 17:30:00,"Moose1",NA,NA,NA,NA,1000,NA,1415.6577496763,NA,1737.93560986628
"7",7,"5/29/18 18:00",166.665444300698,2018-05-29 18:00:00,"Moose1",NA,NA,NA,NA,1000,NA,1415.61794334919,NA,1740.19797184074
"8",8,"5/29/18 18:30",166.666101649223,2018-05-29 18:30:00,"Moose1",NA,NA,NA,NA,1000,NA,1415.57813702209,NA,1742.40053465136
"9",9,"5/29/18 19:00",166.66673655931,2018-05-29 19:00:00,"Moose1",NA,NA,NA,NA,1000,NA,1415.53833069498,NA,1744.52791349951
"10",10,"5/29/18 19:30",166.667344439412,2018-05-29 19:30:00,"Moose1",NA,NA,NA,NA,1000,NA,1415.49852436788,NA,1746.5647235862
"11",11,"5/29/18 20:00",166.667920697979,2018-05-29 20:00:00,"Moose1",NA,NA,NA,NA,1000,NA,1415.45871804077,NA,1748.49558011279
"12",12,"5/29/18 20:30",166.668460743463,2018-05-29 20:30:00,"Moose1",NA,NA,NA,NA,1000,NA,1415.41891171367,NA,1750.30509828031
"13",13,"5/29/18 21:00",166.668959984314,2018-05-29 21:00:00,"Moose1",NA,NA,NA,NA,1000,NA,1415.37910538657,NA,1751.97789328988
"14",14,"5/29/18 21:30",166.669413828983,2018-05-29 21:30:00,"Moose1",NA,NA,NA,NA,1000,NA,1415.33929905946,NA,1753.49858034286
"15",15,"5/29/18 22:00",166.669817685922,2018-05-29 22:00:00,"Moose1",NA,NA,NA,NA,1000,NA,1415.29949273236,NA,1754.85177464038
"16",16,"5/29/18 22:30",166.670166963582,2018-05-29 22:30:00,"Moose1",NA,NA,NA,NA,1000,NA,1415.25968640525,NA,1756.02209138358
"17",17,"5/29/18 23:00",166.670457070414,2018-05-29 23:00:00,"Moose1",NA,NA,NA,NA,1000,NA,1415.21988007815,NA,1756.9941457737
"18",18,"5/29/18 23:30",166.67068341487,2018-05-29 23:30:00,"Moose1",NA,NA,NA,NA,1000,NA,1415.18007375105,NA,1757.75255301176
"19",19,"5/30/18 0:00",166.670841405399,2018-05-30 00:00:00,"Moose1",NA,NA,NA,NA,1000,NA,1415.14026742394,NA,1758.28192829911
"20",20,"5/30/18 0:30",166.670926450453,2018-05-30 00:30:00,"Moose1",NA,NA,NA,NA,1000,NA,1415.10046109684,NA,1758.5668868369
"21",21,"5/30/18 1:00",166.670933958484,2018-05-30 01:00:00,"Moose1",NA,NA,NA,NA,1000,NA,1415.06065476973,NA,1758.59204382624
"22",22,"5/30/18 1:30",166.670859337943,2018-05-30 01:30:00,"Moose1",NA,NA,NA,NA,1000,NA,1415.02084844263,NA,1758.34201446839
"23",23,"5/30/18 2:00",166.67069799728,2018-05-30 02:00:00,"Moose1",NA,NA,NA,NA,1000,NA,1414.98104211553,NA,1757.8014139646
