"Site","DateTime","PT1Q","PT2Q","MeanDischarge"
"MOOS",2018-05-30 02:00:00,1817.43775789696,1326.76209760061,1572.09992774879
"MOOS",2018-05-30 02:30:00,1667.67746286362,1318.22858982702,1492.95302634532
"MOOS",2018-05-30 03:00:00,1640.09004009434,1301.16157427989,1470.62580718711
"MOOS",2018-05-30 03:30:00,1651.91322128114,1295.47256909753,1473.69289518934
"MOOS",2018-05-30 04:00:00,1683.4417044461,1298.31707168877,1490.87938806743
"MOOS",2018-05-30 04:30:00,1636.14897969877,1289.78356391512,1462.96627180694
"MOOS",2018-05-30 05:00:00,1624.32579851185,1281.25005614158,1452.78792732672
"MOOS",2018-05-30 05:30:00,1632.20791930309,1269.87204577681,1451.03998253995
"MOOS",2018-05-30 06:00:00,1632.20791930309,1264.18304059445,1448.19547994877
"MOOS",2018-05-30 06:30:00,1624.32579851185,1269.87204577681,1447.09892214433
"MOOS",2018-05-30 07:00:00,1612.50261732505,1247.11602504732,1429.80932118619
"MOOS",2018-05-30 07:30:00,1608.56155692937,1249.96052763856,1429.26104228396
"MOOS",2018-05-30 08:00:00,1612.50261732505,1244.27152245614,1428.3870698906
"MOOS",2018-05-30 08:30:00,1616.44367772061,1235.73801468249,1426.09084620155
"MOOS",2018-05-30 09:00:00,1616.44367772061,1224.36000431777,1420.40184101919
"MOOS",2018-05-30 09:30:00,1616.44367772061,1212.98199395306,1414.71283583684
"MOOS",2018-05-30 10:00:00,1608.56155692937,1210.13749136182,1409.3495241456
"MOOS",2018-05-30 10:30:00,1620.38473811618,1201.60398358823,1410.9943608522
"MOOS",2018-05-30 11:00:00,1616.44367772061,1190.22597322351,1403.33482547206
"MOOS",2018-05-30 11:30:00,1604.62049653369,1207.29298877064,1405.95674265217
"MOOS",2018-05-30 12:00:00,1604.62049653369,1210.13749136182,1407.37899394776
"MOOS",2018-05-30 12:30:00,1596.73837574245,1221.51550172659,1409.12693873452
"MOOS",2018-05-30 13:00:00,1600.67943613813,1204.44848617946,1402.5639611588
"MOOS",2018-05-30 13:30:00,1588.85625495133,1210.13749136182,1399.49687315658
"MOOS",2018-05-30 14:00:00,1588.85625495133,1210.13749136182,1399.49687315658
"MOOS",2018-05-30 14:30:00,1600.67943613813,1221.51550172659,1411.09746893236
"MOOS",2018-05-30 15:00:00,1588.85625495133,1232.89351209137,1410.87488352135
"MOOS",2018-05-30 15:30:00,1596.73837574245,1232.89351209137,1414.81594391691
"MOOS",2018-05-30 16:00:00,1577.03307376441,1230.04900950019,1403.5410416323
"MOOS",2018-05-30 16:30:00,1592.79731534701,1244.27152245614,1418.53441890157
"MOOS",2018-05-30 17:00:00,1580.97413416009,1230.04900950019,1405.51157183014
"MOOS",2018-05-30 17:30:00,1577.03307376441,1235.73801468249,1406.38554422345
