"0","QSummary.PO.2019.1 <- QSummary.PO.2019[-9, ]"
"0","Poker2comb.2019 <- full_join(poke.stream.one.2019, QSummary.PO.2019.1)"
"2","Joining, by = c(""Site"", ""DateTime"")
"
"0","Poker2.lm.2019 <- lm(Poker2comb.2019$Q_Ls ~ Poker2comb.2019$AbsPTDepth)"
"0","summary(Poker2.lm.2019) "
"1","
Call:
"
"1",""
"1","lm(formula = Poker2comb.2019$Q_Ls ~ Poker2comb.2019$AbsPTDepth)"
"1",""
"1","

"
"1",""
"1","Residuals:
"
"1","    Min "
"1","     1Q "
"1"," Median "
"1","     3Q "
"1","    Max "
"1","
"
"1","-98.837 "
"1","-55.986 "
"1"," -1.269 "
"1"," 37.849 "
"1","130.892 "
"1","
"
"1","
Coefficients:
"
"1","                          "
"1"," Estimate"
"1"," Std. Error"
"1"," t value"
"1"," Pr(>|t|)"
"1","    "
"1","
(Intercept)               "
"1","   222.06"
"1","      37.73"
"1","   5.886"
"1"," 0.000608"
"1"," ***"
"1","
Poker2comb.2019$AbsPTDepth"
"1","   499.94"
"1","     179.26"
"1","   2.789"
"1"," 0.026949"
"1"," *  "
"1","
"
"1","---
Signif. codes:  "
"1",""
"1","0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1"
"1","
"
"1","
Residual standard error:"
"1"," "
"1","72.63"
"1"," "
"1","on"
"1"," "
"1","7"
"1"," "
"1","degrees of freedom"
"1","
"
"1","  ("
"1",""
"1","13800 observations deleted due to missingness"
"1",""
"1",")
"
"1","Multiple R-squared: "
"1"," "
"1","0.5263"
"1",",	Adjusted R-squared: "
"1"," "
"1","0.4587"
"1"," "
"1","
F-statistic:"
"1"," "
"1","7.778"
"1"," "
"1","on"
"1"," "
"1","1"
"1"," "
"1","and"
"1"," "
"1","7"
"1"," "
"1","DF,  p-value:"
"1"," "
"1","0.02695"
"1","
"
"1","
"
"0","poke.formula <- y ~ x"
"0",""
"0",""
"0","ggplot(aes(x = AbsPTDepth, y = Q_Ls), data = Poker2comb.2019) +"
"0","  geom_point(aes(color = Method), size = 3) +"
"0","  geom_smooth(method = ""lm"", se=FALSE) +"
"0","  stat_poly_eq(formula = poke.formula, "
"0","               aes(label = paste(..eq.label.., ..rr.label.., sep = ""~~~"")), "
"0","               parse = TRUE) +"
"0","  xlim(0, 0.6) +"
"0","  theme_classic() +"
"0","  ggtitle(""Poker1 all measured Q"")"
