Discharge_Lsec,day
637.1711537020609,2020-06-04
594.2576355640886,2020-06-05
563.5334454804542,2020-06-06
514.3334215905015,2020-06-07
484.1404855140645,2020-06-08
537.7676261307594,2020-06-09
471.9511574597539,2020-06-10
437.06547765296636,2020-06-11
471.59698812161395,2020-06-12
448.7530658115914,2020-06-13
433.7008689406357,2020-06-14
446.746106228796,2020-06-15
416.4907949682452,2020-06-16
383.73347815138794,2020-06-17
373.43305323381355,2020-06-18
858.0842783668813,2020-06-19
1081.3585319526294,2020-06-20
1184.6284081319548,2020-06-21
940.42864948442,2020-06-22
931.0136479122169,2020-06-23
1096.6173276041652,2020-06-24
865.226693352705,2020-06-25
764.0228049792022,2020-06-26
699.623013660735,2020-06-27
696.5535460635243,2020-06-28
712.077968718655,2020-06-29
688.4666795093168,2020-06-30
649.0063124182246,2020-07-01
615.8324510791123,2020-07-02
579.5596080312765,2020-07-03
688.7913347359585,2020-07-04
660.4577876847603,2020-07-05
609.870600553763,2020-07-06
568.3442456568482,2020-07-07
514.4514780365511,2020-07-08
596.3531374814229,2020-07-09
558.8997299731296,2020-07-10
517.1077480726017,2020-07-11
503.4722285541987,2020-07-12
661.7268944797579,2020-07-13
601.4590787729454,2020-07-14
561.2313447825436,2020-07-15
590.4503151790983,2020-07-16
621.1154770397043,2020-07-17
721.2863715103061,2020-07-18
727.8680183774013,2020-07-19
629.5565129320543,2020-07-20
745.2518300577758,2020-07-21
709.2150999020292,2020-07-22
678.1072263687407,2020-07-23
749.147692777317,2020-07-24
752.1286180399911,2020-07-25
676.1592950089604,2020-07-26
811.3339257324029,2020-07-27
824.3791630205573,2020-07-28
739.7622053166064,2020-07-29
679.2287626061734,2020-07-30
642.0409821014691,2020-07-31
640.0045084071729,2020-08-01
778.6322901774716,2020-08-02
2131.5001336492046,2020-08-03
1426.9687777542422,2020-08-04
1130.0863300583962,2020-08-05
1032.7487902929133,2020-08-06
963.1545153484027,2020-08-07
930.1872527898813,2020-08-08
898.2234700227491,2020-08-09
853.1849358559448,2020-08-10
858.9401876007287,2020-08-11
878.714642313537,2020-08-12
828.8357938588184,2020-08-13
791.2938440159729,2020-08-14
770.8995929614199,2020-08-15
761.4845913891962,2020-08-16
743.5104974785767,2020-08-17
676.1002667859381,2020-08-18
671.0533537174464,2020-08-19
663.2321141668472,2020-08-20
637.5548371517131,2020-08-21
622.7092390613385,2020-08-22
615.6553664100599,2020-08-23
671.4960653901217,2020-08-24
705.8800053012104,2020-08-25
713.7307589633152,2020-08-26
760.8647950474539,2020-08-27
743.6580680361536,2020-08-28
690.7097519842149,2020-08-29
666.5967228791791,2020-08-30
633.4523756515882,2020-08-31
655.1157335011594,2020-09-01
739.112894863351,2020-09-02
673.8571943110643,2020-09-03
722.6145065283345,2020-09-04
677.6350005845403,2020-09-05
673.14885563476,2020-09-06
825.6187557040417,2020-09-07
926.5275029624318,2020-09-08
987.2085162304211,2020-09-09
1003.0280800006718,2020-09-10
902.2964174113489,2020-09-11
877.3274790724948,2020-09-12
873.5201586874961,2020-09-13
876.2649710580978,2020-09-14
861.1537459641028,2020-09-15
856.3724598992243,2020-09-16
853.2439640789926,2020-09-17
848.7578191292317,2020-09-18
846.927944215496,2020-09-19
832.0528320135951,2020-09-20
822.6083163298705,2020-09-21
811.7766374051158,2020-09-22
810.2714177180072,2020-09-23
840.9956078016476,2020-09-24
829.6621889811516,2020-09-25
810.0943330489536,2020-09-26
808.9137685884853,2020-09-27
793.1532330412374,2020-09-28
757.5592145581892,2020-09-29
757.0279605509701,2020-09-30
747.0226767485341,2020-10-01
751.3907652522563,2020-10-02
745.8421122880633,2020-10-03
741.2379108922432,2020-10-04
736.7222518309414,2020-10-05
732.5902762192782,2020-10-06
728.7829558342746,2020-10-07
726.3923128018396,2020-10-08
NA,2020-10-09
NA,2020-10-10
NA,2020-10-11
NA,2020-10-12
NA,2020-10-13
NA,2020-10-14
NA,2020-10-15
