"","DateTime","DateTimeAK","julian","MOOS","FRCH","POKE","VAUL","STRT","VAUL.Q.int","FRCH.Q.int","MOOS.Q.int","STRT.Q.int","POKE.Q.int"
"22","2021-05-04 22:15:00",2021-05-04 22:15:00,123.885416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-05-04 22:30:00",2021-05-04 22:30:00,123.895833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-05-04 22:45:00",2021-05-04 22:45:00,123.90625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-05-04 23:00:00",2021-05-04 23:00:00,123.916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-05-04 23:15:00",2021-05-04 23:15:00,123.927083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-05-04 23:30:00",2021-05-04 23:30:00,123.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-05-04 23:45:00",2021-05-04 23:45:00,123.947916666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-05-05 00:00:00",2021-05-05 00:00:00,123.958333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-05-05 00:15:00",2021-05-05 00:15:00,123.96875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-05-05 00:30:00",2021-05-05 00:30:00,123.979166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-05-05 00:45:00",2021-05-05 00:45:00,123.989583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-05-05 01:00:00",2021-05-05 01:00:00,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-05-05 01:15:00",2021-05-05 01:15:00,124.010416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-05-05 01:30:00",2021-05-05 01:30:00,124.020833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-05-05 01:45:00",2021-05-05 01:45:00,124.03125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-05-05 02:00:00",2021-05-05 02:00:00,124.041666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-05-05 02:15:00",2021-05-05 02:15:00,124.052083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-05-05 02:30:00",2021-05-05 02:30:00,124.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
