"Day","Site","Q"
2021-06-13,"STRT",835.294913071141
2021-06-13,"VAUL",NA
2021-06-14,"MOOS",NA
2021-06-14,"POKE",451.323591317878
2021-06-14,"STRT",865.186230466329
2021-06-14,"VAUL",NA
2021-06-15,"MOOS",NA
2021-06-15,"POKE",464.562294642958
2021-06-15,"STRT",862.131040566819
2021-06-15,"VAUL",NA
2021-06-16,"MOOS",NA
2021-06-16,"POKE",443.206822477851
2021-06-16,"STRT",837.111512470843
2021-06-16,"VAUL",NA
2021-06-17,"MOOS",NA
2021-06-17,"POKE",429.194069822718
2021-06-17,"STRT",791.44880937818
2021-06-17,"VAUL",NA
2021-06-18,"MOOS",NA
2021-06-18,"POKE",424.546097785518
2021-06-18,"STRT",826.831211322498
2021-06-18,"VAUL",NA
2021-06-19,"MOOS",NA
2021-06-19,"POKE",430.822381603439
2021-06-19,"STRT",817.789500673939
2021-06-19,"VAUL",NA
2021-06-20,"MOOS",NA
2021-06-20,"POKE",511.526707837908
2021-06-20,"STRT",844.336623719676
2021-06-20,"VAUL",NA
2021-06-21,"MOOS",NA
2021-06-21,"POKE",483.554187377732
2021-06-21,"STRT",836.616076270924
2021-06-21,"VAUL",NA
2021-06-22,"MOOS",NA
2021-06-22,"POKE",483.65314637968
2021-06-22,"STRT",853.791197868157
2021-06-22,"VAUL",NA
2021-06-23,"MOOS",NA
2021-06-23,"POKE",NA
2021-06-23,"STRT",869.934160715572
2021-06-23,"VAUL",NA
2021-06-24,"MOOS",NA
2021-06-24,"POKE",NA
2021-06-24,"STRT",878.02628531427
2021-06-24,"VAUL",NA
2021-06-25,"MOOS",NA
2021-06-25,"POKE",NA
2021-06-25,"STRT",858.415269067421
2021-06-25,"VAUL",NA
2021-06-26,"MOOS",NA
2021-06-26,"POKE",NA
2021-06-26,"STRT",841.6942973201
2021-06-26,"VAUL",NA
2021-06-27,"MOOS",NA
2021-06-27,"POKE",NA
2021-06-27,"STRT",842.478737969988
2021-06-27,"VAUL",NA
2021-06-28,"MOOS",NA
2021-06-28,"POKE",NA
2021-06-28,"STRT",NA
2021-06-28,"VAUL",NA
2021-06-29,"MOOS",NA
2021-06-29,"POKE",NA
2021-06-29,"STRT",995.995149361966
2021-06-29,"VAUL",NA
2021-06-30,"FRCH",280.615815945247
2021-06-30,"MOOS",NA
2021-06-30,"POKE",520.635055098982
2021-06-30,"STRT",NA
2021-06-30,"VAUL",NA
2021-07-01,"FRCH",277.796395768481
2021-07-01,"MOOS",383.759277442325
2021-07-01,"POKE",452.630369730483
2021-07-01,"STRT",NA
2021-07-01,"VAUL",148.753585886079
2021-07-02,"FRCH",272.986684247591
2021-07-02,"MOOS",355.710446476193
2021-07-02,"POKE",NA
2021-07-02,"STRT",NA
2021-07-02,"VAUL",145.113096786996
2021-07-03,"FRCH",267.517890812289
2021-07-03,"MOOS",320.478711552458
2021-07-03,"POKE",NA
2021-07-03,"STRT",NA
2021-07-03,"VAUL",148.320069967537
2021-07-04,"FRCH",262.517134374048
2021-07-04,"MOOS",301.201947759
2021-07-04,"POKE",NA
2021-07-04,"STRT",NA
2021-07-04,"VAUL",138.140280506823
2021-07-05,"FRCH",258.795091842333
2021-07-05,"MOOS",286.656466537547
2021-07-05,"POKE",NA
2021-07-05,"STRT",NA
2021-07-05,"VAUL",131.914365146547
2021-07-06,"FRCH",259.031362274007
2021-07-06,"MOOS",269.688432656345
2021-07-06,"POKE",NA
2021-07-06,"STRT",NA
2021-07-06,"VAUL",132.551581315973
2021-07-07,"FRCH",274.673424821601
2021-07-07,"MOOS",363.653788741241
2021-07-07,"POKE",560.370525297908
2021-07-07,"STRT",NA
2021-07-07,"VAUL",128.817076716478
2021-07-08,"FRCH",265.242114370355
2021-07-08,"MOOS",333.108314042297
2021-07-08,"POKE",568.672997275615
2021-07-08,"STRT",NA
2021-07-08,"VAUL",129.731116303766
2021-07-09,"FRCH",265.982114612271
2021-07-09,"MOOS",306.228891413533
2021-07-09,"POKE",616.309475361538
2021-07-09,"STRT",NA
2021-07-09,"VAUL",138.829727509802
2021-07-10,"FRCH",261.821383117864
2021-07-10,"MOOS",313.017310592647
2021-07-10,"POKE",NA
2021-07-10,"STRT",NA
2021-07-10,"VAUL",126.889758958139
2021-07-11,"FRCH",254.147399283567
2021-07-11,"MOOS",263.652522579109
2021-07-11,"POKE",NA
2021-07-11,"STRT",NA
2021-07-11,"VAUL",120.65862051451
2021-07-12,"FRCH",250.768521632814
2021-07-12,"MOOS",253.98016210479
2021-07-12,"POKE",NA
2021-07-12,"STRT",NA
2021-07-12,"VAUL",113.330634566131
2021-07-13,"FRCH",246.104531845299
2021-07-13,"MOOS",236.879712816458
2021-07-13,"POKE",NA
2021-07-13,"STRT",NA
2021-07-13,"VAUL",106.953249788527
2021-07-14,"FRCH",240.482513374697
2021-07-14,"MOOS",199.704476645303
2021-07-14,"POKE",382.402688487763
2021-07-14,"STRT",NA
2021-07-14,"VAUL",114.370028153961
2021-07-15,"FRCH",249.44614745171
2021-07-15,"MOOS",278.718724232232
2021-07-15,"POKE",384.568206423651
2021-07-15,"STRT",NA
2021-07-15,"VAUL",110.369146303317
2021-07-16,"FRCH",242.447688519736
2021-07-16,"MOOS",231.636757805198
