"Site.x","DateTime","MeanDischarge"
"MOOS",2020-06-16 11:00:00,1014.5284894928
"MOOS",2020-06-16 11:15:00,1013.9108761036
"MOOS",2020-06-16 11:30:00,1013.9108761036
"MOOS",2020-06-16 11:45:00,1016.23165795296
"MOOS",2020-06-16 12:00:00,1013.9108761036
"MOOS",2020-06-16 12:15:00,1013.29326271439
"MOOS",2020-06-16 12:30:00,1013.44293442185
"MOOS",2020-06-16 12:45:00,1011.73976596167
"MOOS",2020-06-16 13:00:00,1011.88943766915
"MOOS",2020-06-16 13:15:00,1010.65421089073
"MOOS",2020-06-16 13:30:00,1011.12215257247
"MOOS",2020-06-16 13:45:00,1011.73976596167
"MOOS",2020-06-16 14:00:00,1010.80388259818
"MOOS",2020-06-16 14:15:00,1011.12215257247
"MOOS",2020-06-16 14:30:00,1009.4189841123
"MOOS",2020-06-16 14:45:00,1009.56865581976
"MOOS",2020-06-16 15:00:00,1009.4189841123
"MOOS",2020-06-16 15:15:00,1007.86548735961
"MOOS",2020-06-16 15:30:00,1007.24787397039
"MOOS",2020-06-16 15:45:00,1006.77993228866
"MOOS",2020-06-16 16:00:00,1008.48310074881
"MOOS",2020-06-16 16:15:00,1007.24787397039
"MOOS",2020-06-16 16:30:00,1007.71581565213
"MOOS",2020-06-16 16:45:00,1007.39754567787
"MOOS",2020-06-16 17:00:00,1007.24787397039
"MOOS",2020-06-16 17:15:00,1003.84153705006
"MOOS",2020-06-16 17:30:00,1006.77993228866
"MOOS",2020-06-16 17:45:00,1003.99120875754
"MOOS",2020-06-16 18:00:00,1002.60631027164
"MOOS",2020-06-16 18:15:00,1002.90565368657
"MOOS",2020-06-16 18:30:00,1003.52326707578
"MOOS",2020-06-16 18:45:00,1003.99120875754
"MOOS",2020-06-16 19:00:00,1001.67042690815
"MOOS",2020-06-16 19:15:00,1002.28804029737
"MOOS",2020-06-16 19:30:00,1002.13836858991
"MOOS",2020-06-16 19:45:00,1002.13836858991
"MOOS",2020-06-16 20:00:00,1003.22392366086
"MOOS",2020-06-16 20:15:00,1000.5848718372
"MOOS",2020-06-16 20:30:00,1001.67042690815
"MOOS",2020-06-16 20:45:00,1000.88421525214
"MOOS",2020-06-16 21:00:00,997.945820013556
"MOOS",2020-06-16 21:15:00,995.77470987165
"MOOS",2020-06-16 21:30:00,996.242651553388
"MOOS",2020-06-16 21:45:00,996.541994968313
"MOOS",2020-06-16 22:00:00,996.860264942588
"MOOS",2020-06-16 22:15:00,998.245163428481
"MOOS",2020-06-16 22:30:00,994.689154800682
"MOOS",2020-06-16 22:45:00,994.988498215622
