"Discharge_Lsec","day"
NA,2020-06-04
NA,2020-06-05
NA,2020-06-06
NA,2020-06-07
NA,2020-06-08
NA,2020-06-09
NA,2020-06-10
425.78361760472,2020-06-11
412.874483955629,2020-06-12
404.130706508172,2020-06-13
667.861952818178,2020-06-14
611.656415838717,2020-06-15
532.310839730809,2020-06-16
457.69855047756,2020-06-17
377.977898169508,2020-06-18
414.779250984419,2020-06-19
496.417963814893,2020-06-20
1636.00839464286,2020-06-21
1790.60120747785,2020-06-22
1911.31044358422,2020-06-23
1815.92962131848,2020-06-24
1660.25645185671,2020-06-25
1611.90233564095,2020-06-26
1540.56357102431,2020-06-27
1419.70837183515,2020-06-28
1445.86714744906,2020-06-29
1468.81623676379,2020-06-30
1386.96667165773,2020-07-01
1257.49329169109,2020-07-02
1165.0323824508,2020-07-03
1107.15688115133,2020-07-04
1016.67674536698,2020-07-05
963.041204923317,2020-07-06
1249.81839316734,2020-07-07
1527.91228101183,2020-07-08
1194.75234180336,2020-07-09
1099.24171671868,2020-07-10
932.863106003854,2020-07-11
881.193931442321,2020-07-12
879.652453689983,2020-07-13
868.918316266852,2020-07-14
812.633950039058,2020-07-15
766.023188868096,2020-07-16
764.71550184616,2020-07-17
805.689586849547,2020-07-18
767.893490159148,2020-07-19
872.651590189432,2020-07-20
1145.5173901917,2020-07-21
974.855251046247,2020-07-22
809.030859497201,2020-07-23
704.275253187511,2020-07-24
672.101354721488,2020-07-25
675.041963260369,2020-07-26
773.746086384001,2020-07-27
798.502622465692,2020-07-28
724.683700382125,2020-07-29
638.934924636322,2020-07-30
596.115122148553,2020-07-31
546.806760979474,2020-08-01
669.467166438624,2020-08-02
759.346121705122,2020-08-03
740.5150522576,2020-08-04
590.004179326146,2020-08-05
453.404571254472,2020-08-06
479.05313491931,2020-08-07
531.407088688729,2020-08-08
599.032172668454,2020-08-09
1018.04280303153,2020-08-10
865.680838283328,2020-08-11
841.546792698182,2020-08-12
839.027167120111,2020-08-13
728.765209809715,2020-08-14
660.965867307572,2020-08-15
603.228462875907,2020-08-16
515.19846426074,2020-08-17
502.506385834286,2020-08-18
500.859575115495,2020-08-19
524.790190249225,2020-08-20
502.022146815866,2020-08-21
460.541668271486,2020-08-22
521.353607305011,2020-08-23
488.597748996982,2020-08-24
448.370430568612,2020-08-25
428.942696337069,2020-08-26
447.339081011964,2020-08-27
443.572658574662,2020-08-28
362.852136092442,2020-08-29
185.326052844906,2020-08-30
202.371758751293,2020-08-31
335.57833732335,2020-09-01
398.051098183685,2020-09-02
393.255653447607,2020-09-03
555.358732412473,2020-09-04
601.718710337501,2020-09-05
480.447797608375,2020-09-06
534.00834263152,2020-09-07
580.054097838974,2020-09-08
708.185251672295,2020-09-09
876.568217642425,2020-09-10
749.15248580756,2020-09-11
723.363176868428,2020-09-12
624.028181954229,2020-09-13
544.212215373621,2020-09-14
481.426948488737,2020-09-15
442.068416872733,2020-09-16
248.576441145896,2020-09-17
316.414752219872,2020-09-18
382.143529757993,2020-09-19
361.982774423605,2020-09-20
297.572605511061,2020-09-21
248.065749946135,2020-09-22
172.717787207558,2020-09-23
281.294793791675,2020-09-24
311.113742582714,2020-09-25
310.522541149964,2020-09-26
193.849141689567,2020-09-27
350.798180766442,2020-09-28
416.731899301914,2020-09-29
267.433360161901,2020-09-30
309.013644932286,2020-10-01
158.899996469757,2020-10-02
211.747323798805,2020-10-03
191.661774008016,2020-10-04
275.77447924373,2020-10-05
390.543060138566,2020-10-06
257.989198659029,2020-10-07
141.587255149352,2020-10-08
91.5117966252357,2020-10-09
121.8390498694,2020-10-10
211.864883739503,2020-10-11
269.765223600839,2020-10-12
331.726106586823,2020-10-13
