"Site","Day","Q"
"FRCH",2022-06-04,1353.24456838891
"FRCH",2022-06-05,1296.03899398256
"FRCH",2022-06-06,1232.58072248478
"FRCH",2022-06-07,1176.52753302685
"FRCH",2022-06-08,1120.80208433506
"FRCH",2022-06-09,1097.5947463363
"FRCH",2022-06-10,1084.75980227287
"FRCH",2022-06-11,1064.98187843044
"FRCH",2022-06-12,1004.38725824643
"FRCH",2022-06-13,966.89634618985
"FRCH",2022-06-14,938.889319604407
"FRCH",2022-06-15,893.381601495095
"FRCH",2022-06-16,867.202315796206
"FRCH",2022-06-17,862.816898015947
"FRCH",2022-06-18,854.247584552304
"FRCH",2022-06-19,868.767546752603
"FRCH",2022-06-20,844.265511839658
"FRCH",2022-06-21,826.244069832789
"FRCH",2022-06-22,786.103677907034
"FRCH",2022-06-23,794.707570180713
"FRCH",2022-06-24,771.102946900327
"FRCH",2022-06-25,711.881751528984
"FRCH",2022-06-26,691.945804646564
"FRCH",2022-06-27,669.600963686389
"FRCH",2022-06-28,647.712038494305
"FRCH",2022-06-29,636.114747807932
"FRCH",2022-06-30,608.66555252864
"FRCH",2022-07-01,597.873637614854
"FRCH",2022-07-02,604.230290693414
"FRCH",2022-07-03,577.070721052424
"FRCH",2022-07-04,566.775148112022
"FRCH",2022-07-05,561.940530646762
"FRCH",2022-07-06,546.739805534696
"FRCH",2022-07-07,536.270424812691
"FRCH",2022-07-08,513.125051011891
"FRCH",2022-07-09,501.633742126441
"FRCH",2022-07-10,657.958411240421
"FRCH",2022-07-11,906.465189315437
"FRCH",2022-07-12,742.694544943164
"FRCH",2022-07-13,656.070793772117
"FRCH",2022-07-14,581.037166392685
"FRCH",2022-07-15,526.108087191314
"FRCH",2022-07-16,584.97443704438
"FRCH",2022-07-17,539.383749732534
"FRCH",2022-07-18,627.652245296749
"FRCH",2022-07-19,605.985896348965
"FRCH",2022-07-20,571.511898196101
"FRCH",2022-07-21,524.453839542699
"FRCH",2022-07-22,520.980476747621
"FRCH",2022-07-23,497.108609476301
"FRCH",2022-07-24,428.804794893654
"FRCH",2022-07-25,420.430508148423
"FRCH",2022-07-26,427.169427272067
"FRCH",2022-07-27,413.641002339459
"FRCH",2022-07-28,403.835911417599
"FRCH",2022-07-29,371.971787610287
"FRCH",2022-07-30,365.48323522648
"FRCH",2022-07-31,381.44459253896
"FRCH",2022-08-01,377.212952661432
"FRCH",2022-08-02,382.244501255173
"FRCH",2022-08-03,367.287442977148
"FRCH",2022-08-04,326.149658636953
"FRCH",2022-08-05,375.914114791175
"FRCH",2022-08-06,470.340499603965
"FRCH",2022-08-07,461.645461188636
"FRCH",2022-08-08,419.231757501052
"FRCH",2022-08-09,424.972062417139
"FRCH",2022-08-10,386.532974236212
"FRCH",2022-08-11,350.537188828239
"FRCH",2022-08-12,354.853281739422
"FRCH",2022-08-13,341.565358632674
"FRCH",2022-08-14,325.422752580477
"FRCH",2022-08-15,306.309957644693
"FRCH",2022-08-16,302.623949889675
"FRCH",2022-08-17,294.787987385572
"FRCH",2022-08-18,284.506085728716
"FRCH",2022-08-19,300.274586408021
"FRCH",2022-08-20,268.797516253607
"FRCH",2022-08-21,262.836258511092
"FRCH",2022-08-22,266.33995301273
"FRCH",2022-08-23,253.657328697274
"FRCH",2022-08-24,261.023677738858
"FRCH",2022-08-25,254.815122931207
"FRCH",2022-08-26,249.642473439181
"FRCH",2022-08-27,253.272169244431
"FRCH",2022-08-28,250.296388271846
"FRCH",2022-08-29,263.163751166251
"FRCH",2022-08-30,259.054397533474
"FRCH",2022-08-31,230.690096717133
"FRCH",2022-09-01,210.093198884079
"FRCH",2022-09-02,219.309901720349
"FRCH",2022-09-03,218.805897247363
"FRCH",2022-09-04,259.600794387239
"FRCH",2022-09-05,241.127735526797
"FRCH",2022-09-06,197.626443259346
"FRCH",2022-09-07,206.742016634591
"FRCH",2022-09-08,190.285353946894
"FRCH",2022-09-09,231.728762552297
"FRCH",2022-09-10,228.406667794453
"FRCH",2022-09-11,182.684309043415
"FRCH",2022-09-12,183.178688295528
"FRCH",2022-09-13,183.436502757081
"FRCH",2022-09-14,243.517554454339
"FRCH",2022-09-15,362.58944036263
"FRCH",2022-09-16,314.340106516169
"FRCH",2022-09-17,280.840153050555
"FRCH",2022-09-18,270.179476138333
"FRCH",2022-09-19,237.566444484702
"FRCH",2022-09-20,352.293694128502
"FRCH",2022-09-21,328.211523249004
"FRCH",2022-09-22,382.816249811595
"FRCH",2022-09-23,346.610995408031
"FRCH",2022-09-24,298.132322831729
"FRCH",2022-09-25,261.447358064765
"FRCH",2022-09-26,233.456147438093
"FRCH",2022-09-27,243.973115621161
"FRCH",2022-09-28,194.557876044884
"FRCH",2022-09-29,184.441004078846
"FRCH",2022-09-30,178.707201809391
"FRCH",2022-10-01,175.745262909462
"FRCH",2022-10-02,161.678839439486
"FRCH",2022-10-03,140.32231048909
"FRCH",2022-10-04,126.1090246496
"FRCH",2022-10-05,137.843053335225
"FRCH",2022-10-06,137.7728218487
"FRCH",2022-10-07,141.192473184651
"FRCH",2022-10-08,139.762708601796
"FRCH",2022-10-09,217.627734161229
"FRCH",2022-10-10,208.465147755493
"MOOS",2022-05-25,9444.56210597019
"MOOS",2022-05-26,8613.89727499333
"MOOS",2022-05-27,7715.07528088255
"MOOS",2022-05-28,6994.65360904147
"MOOS",2022-05-29,6318.32632393979
"MOOS",2022-05-30,5555.98393952615
"MOOS",2022-05-31,4975.16191217281
"MOOS",2022-06-01,4572.41895478202
"MOOS",2022-06-02,4104.02167279687
"MOOS",2022-06-03,3741.66935684121
