"","DateTime","WaterPressure","Site","AirPressure","difference"
"1",2020-06-15 17:30:00,104.075,"MOOS2",98.741,5.334
"2",2020-06-15 17:45:00,104.075,"MOOS2",98.722,5.35300000000001
"3",2020-06-15 18:00:00,104.094,"MOOS2",98.716,5.378
"4",2020-06-15 18:15:00,104.134,"MOOS2",98.753,5.381
"5",2020-06-15 18:30:00,104.163,"MOOS2",98.784,5.37899999999999
"6",2020-06-15 18:45:00,104.163,"MOOS2",98.774,5.389
"7",2020-06-15 19:00:00,104.143,"MOOS2",98.741,5.402
"8",2020-06-15 19:15:00,104.124,"MOOS2",98.708,5.416
"9",2020-06-15 19:30:00,104.095,"MOOS2",98.69,5.405
"10",2020-06-15 19:45:00,104.057,"MOOS2",98.658,5.399
"11",2020-06-15 20:00:00,104.038,"MOOS2",98.668,5.36999999999999
"12",2020-06-15 20:15:00,103.999,"MOOS2",98.645,5.354
"13",2020-06-15 20:30:00,103.99,"MOOS2",98.64,5.34999999999999
"14",2020-06-15 20:45:00,103.999,"MOOS2",98.65,5.34899999999999
"15",2020-06-15 21:00:00,103.98,"MOOS2",98.607,5.373
"16",2020-06-15 21:15:00,103.951,"MOOS2",98.607,5.34399999999999
"17",2020-06-15 21:30:00,103.95,"MOOS2",98.617,5.333
"18",2020-06-15 21:45:00,103.94,"MOOS2",98.612,5.328
"19",2020-06-15 22:00:00,103.931,"MOOS2",98.594,5.337
"20",2020-06-15 22:15:00,103.922,"MOOS2",98.607,5.315
"21",2020-06-15 22:30:00,103.922,"MOOS2",98.612,5.31
"22",2020-06-15 22:45:00,103.922,"MOOS2",98.625,5.297
"23",2020-06-15 23:00:00,103.903,"MOOS2",98.629,5.274
"24",2020-06-15 23:15:00,103.903,"MOOS2",98.61,5.29300000000001
"25",2020-06-15 23:30:00,103.903,"MOOS2",98.636,5.26700000000001
"26",2020-06-15 23:45:00,103.893,"MOOS2",98.634,5.259
"27",2020-06-16,103.884,"MOOS2",98.618,5.26600000000001
"28",2020-06-16 00:15:00,103.874,"MOOS2",98.62,5.25399999999999
"29",2020-06-16 00:30:00,103.874,"MOOS2",98.632,5.24199999999999
"30",2020-06-16 00:45:00,103.865,"MOOS2",98.627,5.238
"31",2020-06-16 01:00:00,103.865,"MOOS2",98.633,5.232
"32",2020-06-16 01:15:00,103.845,"MOOS2",98.641,5.20399999999999
"33",2020-06-16 01:30:00,103.836,"MOOS2",98.634,5.202
"34",2020-06-16 01:45:00,103.836,"MOOS2",98.623,5.21299999999999
"35",2020-06-16 02:00:00,103.816,"MOOS2",98.612,5.20400000000001
"36",2020-06-16 02:15:00,103.807,"MOOS2",98.61,5.197
"37",2020-06-16 02:30:00,103.778,"MOOS2",98.58,5.19800000000001
"38",2020-06-16 02:45:00,103.778,"MOOS2",98.589,5.18900000000001
"39",2020-06-16 03:00:00,103.77,"MOOS2",98.597,5.173
"40",2020-06-16 03:15:00,103.75,"MOOS2",98.612,5.13800000000001
"41",2020-06-16 03:30:00,103.77,"MOOS2",98.625,5.145
"42",2020-06-16 03:45:00,103.77,"MOOS2",98.629,5.14099999999999
"43",2020-06-16 04:00:00,103.77,"MOOS2",98.632,5.13799999999999
"44",2020-06-16 04:15:00,103.77,"MOOS2",98.64,5.13
"45",2020-06-16 04:30:00,103.779,"MOOS2",98.653,5.12599999999999
"46",2020-06-16 04:45:00,103.76,"MOOS2",98.653,5.107
"47",2020-06-16 05:00:00,103.76,"MOOS2",98.668,5.092
"48",2020-06-16 05:15:00,103.75,"MOOS2",98.642,5.108
"49",2020-06-16 05:30:00,103.75,"MOOS2",98.662,5.08799999999999
"50",2020-06-16 05:45:00,103.741,"MOOS2",98.651,5.09
"51",2020-06-16 06:00:00,103.741,"MOOS2",98.668,5.07299999999999
"52",2020-06-16 06:15:00,103.722,"MOOS2",98.647,5.07499999999999
"53",2020-06-16 06:30:00,103.731,"MOOS2",98.65,5.08099999999999
"54",2020-06-16 06:45:00,103.731,"MOOS2",98.662,5.06899999999999
"55",2020-06-16 07:00:00,103.723,"MOOS2",98.674,5.04899999999999
"56",2020-06-16 07:15:00,103.723,"MOOS2",98.676,5.047
"57",2020-06-16 07:30:00,103.713,"MOOS2",98.659,5.05399999999999
"58",2020-06-16 07:45:00,103.713,"MOOS2",98.661,5.05199999999999
"59",2020-06-16 08:00:00,103.695,"MOOS2",98.669,5.026
"60",2020-06-16 08:15:00,103.715,"MOOS2",98.665,5.05
"61",2020-06-16 08:30:00,103.715,"MOOS2",98.676,5.039
"62",2020-06-16 08:45:00,103.705,"MOOS2",98.663,5.042
"63",2020-06-16 09:00:00,103.695,"MOOS2",98.66,5.035
"64",2020-06-16 09:15:00,103.705,"MOOS2",98.651,5.054
"65",2020-06-16 09:30:00,103.715,"MOOS2",98.661,5.054
"66",2020-06-16 09:45:00,103.705,"MOOS2",98.661,5.044
"67",2020-06-16 10:00:00,103.715,"MOOS2",98.666,5.04900000000001
"68",2020-06-16 10:15:00,103.705,"MOOS2",98.665,5.03999999999999
"69",2020-06-16 10:30:00,103.705,"MOOS2",98.677,5.02799999999999
"70",2020-06-16 10:45:00,103.723,"MOOS2",98.68,5.04299999999999
"71",2020-06-16 11:00:00,103.742,"MOOS2",98.701,5.04100000000001
"72",2020-06-16 11:15:00,103.733,"MOOS2",98.7,5.033
