"Site","DateTime","AbsolutePressure","WaterLevel"
1,2021-05-10 17:00:00,NA,NA
2,2021-05-10 17:15:00,NA,NA
3,2021-05-10 17:30:00,NA,NA
4,2021-05-10 17:45:00,NA,NA
5,2021-05-10 18:00:00,NA,NA
6,2021-05-10 18:15:00,NA,NA
7,2021-05-10 18:30:00,NA,NA
8,2021-05-10 18:45:00,NA,NA
9,2021-05-10 19:00:00,NA,NA
10,2021-05-10 19:15:00,NA,NA
11,2021-05-10 19:30:00,NA,NA
12,2021-05-10 19:45:00,NA,NA
13,2021-05-10 20:00:00,NA,NA
14,2021-05-10 20:15:00,NA,NA
15,2021-05-10 20:30:00,NA,NA
16,2021-05-10 20:45:00,NA,NA
17,2021-05-10 21:00:00,NA,NA
18,2021-05-10 21:15:00,NA,NA
19,2021-05-10 21:30:00,NA,NA
20,2021-05-10 21:45:00,NA,NA
21,2021-05-10 22:00:00,NA,NA
22,2021-05-10 22:15:00,NA,NA
23,2021-05-10 22:30:00,NA,NA
24,2021-05-10 22:45:00,NA,NA
25,2021-05-10 23:00:00,NA,NA
26,2021-05-10 23:15:00,NA,NA
27,2021-05-10 23:30:00,NA,NA
28,2021-05-10 23:45:00,NA,NA
29,2021-05-11 00:00:00,NA,NA
30,2021-05-11 00:15:00,NA,NA
31,2021-05-11 00:30:00,NA,NA
32,2021-05-11 00:45:00,NA,NA
33,2021-05-11 01:00:00,NA,NA
34,2021-05-11 01:15:00,NA,NA
35,2021-05-11 01:30:00,NA,NA
36,2021-05-11 01:45:00,NA,NA
37,2021-05-11 02:00:00,NA,NA
38,2021-05-11 02:15:00,NA,NA
39,2021-05-11 02:30:00,NA,NA
40,2021-05-11 02:45:00,NA,NA
41,2021-05-11 03:00:00,NA,NA
42,2021-05-11 03:15:00,NA,NA
43,2021-05-11 03:30:00,NA,NA
44,2021-05-11 03:45:00,NA,NA
45,2021-05-11 04:00:00,NA,NA
46,2021-05-11 04:15:00,NA,NA
47,2021-05-11 04:30:00,NA,NA
48,2021-05-11 04:45:00,NA,NA
49,2021-05-11 05:00:00,NA,NA
50,2021-05-11 05:15:00,NA,NA
51,2021-05-11 05:30:00,NA,NA
52,2021-05-11 05:45:00,NA,NA
53,2021-05-11 06:00:00,NA,NA
54,2021-05-11 06:15:00,NA,NA
55,2021-05-11 06:30:00,NA,NA
56,2021-05-11 06:45:00,NA,NA
57,2021-05-11 07:00:00,NA,NA
58,2021-05-11 07:15:00,NA,NA
59,2021-05-11 07:30:00,NA,NA
60,2021-05-11 07:45:00,NA,NA
61,2021-05-11 08:00:00,NA,NA
62,2021-05-11 08:15:00,NA,NA
63,2021-05-11 08:30:00,NA,NA
64,2021-05-11 08:45:00,NA,NA
65,2021-05-11 09:00:00,NA,NA
66,2021-05-11 09:15:00,NA,NA
67,2021-05-11 09:30:00,NA,NA
68,2021-05-11 09:45:00,NA,NA
69,2021-05-11 10:00:00,NA,NA
70,2021-05-11 10:15:00,NA,NA
71,2021-05-11 10:30:00,NA,NA
72,2021-05-11 10:45:00,NA,NA
73,2021-05-11 11:00:00,NA,NA
74,2021-05-11 11:15:00,NA,NA
75,2021-05-11 11:30:00,NA,NA
76,2021-05-11 11:45:00,NA,NA
77,2021-05-11 12:00:00,NA,NA
78,2021-05-11 12:15:00,NA,NA
79,2021-05-11 12:30:00,NA,NA
80,2021-05-11 12:45:00,NA,NA
81,2021-05-11 13:00:00,NA,NA
82,2021-05-11 13:15:00,NA,NA
83,2021-05-11 13:30:00,NA,NA
84,2021-05-11 13:45:00,NA,NA
85,2021-05-11 14:00:00,NA,NA
86,2021-05-11 14:15:00,NA,NA
87,2021-05-11 14:30:00,NA,NA
88,2021-05-11 14:45:00,NA,NA
89,2021-05-11 15:00:00,NA,NA
90,2021-05-11 15:15:00,NA,NA
91,2021-05-11 15:30:00,NA,NA
92,2021-05-11 15:45:00,NA,NA
93,2021-05-11 16:00:00,NA,NA
94,2021-05-11 16:15:00,NA,NA
95,2021-05-11 16:30:00,NA,NA
96,2021-05-11 16:45:00,NA,NA
97,2021-05-11 17:00:00,NA,NA
98,2021-05-11 17:15:00,NA,NA
99,2021-05-11 17:30:00,NA,NA
100,2021-05-11 17:45:00,NA,NA
101,2021-05-11 18:00:00,NA,NA
102,2021-05-11 18:15:00,NA,NA
103,2021-05-11 18:30:00,NA,NA
104,2021-05-11 18:45:00,NA,NA
105,2021-05-11 19:00:00,NA,NA
106,2021-05-11 19:15:00,NA,NA
107,2021-05-11 19:30:00,NA,NA
108,2021-05-11 19:45:00,NA,NA
109,2021-05-11 20:00:00,NA,NA
110,2021-05-11 20:15:00,NA,NA
111,2021-05-11 20:30:00,NA,NA
112,2021-05-11 20:45:00,NA,NA
113,2021-05-11 21:00:00,NA,NA
114,2021-05-11 21:15:00,NA,NA
115,2021-05-11 21:30:00,NA,NA
116,2021-05-11 21:45:00,NA,NA
117,2021-05-11 22:00:00,NA,NA
118,2021-05-11 22:15:00,NA,NA
119,2021-05-11 22:30:00,NA,NA
120,2021-05-11 22:45:00,NA,NA
121,2021-05-11 23:00:00,NA,NA
122,2021-05-11 23:15:00,NA,NA
123,2021-05-11 23:30:00,NA,NA
124,2021-05-11 23:45:00,NA,NA
125,2021-05-12 00:00:00,NA,NA
126,2021-05-12 00:15:00,NA,NA
127,2021-05-12 00:30:00,NA,NA
128,2021-05-12 00:45:00,NA,NA
129,2021-05-12 01:00:00,NA,NA
130,2021-05-12 01:15:00,NA,NA
131,2021-05-12 01:30:00,NA,NA
132,2021-05-12 01:45:00,NA,NA
133,2021-05-12 02:00:00,NA,NA
134,2021-05-12 02:15:00,NA,NA
135,2021-05-12 02:30:00,NA,NA
136,2021-05-12 02:45:00,NA,NA
137,2021-05-12 03:00:00,NA,NA
138,2021-05-12 03:15:00,NA,NA
139,2021-05-12 03:30:00,NA,NA
140,2021-05-12 03:45:00,NA,NA
141,2021-05-12 04:00:00,NA,NA
142,2021-05-12 04:15:00,NA,NA
143,2021-05-12 04:30:00,NA,NA
144,2021-05-12 04:45:00,NA,NA
145,2021-05-12 05:00:00,NA,NA
146,2021-05-12 05:15:00,NA,NA
147,2021-05-12 05:30:00,NA,NA
148,2021-05-12 05:45:00,NA,NA
149,2021-05-12 06:00:00,NA,NA
150,2021-05-12 06:15:00,NA,NA
151,2021-05-12 06:30:00,NA,NA
152,2021-05-12 06:45:00,NA,NA
153,2021-05-12 07:00:00,NA,NA
154,2021-05-12 07:15:00,NA,NA
155,2021-05-12 07:30:00,NA,NA
156,2021-05-12 07:45:00,NA,NA
157,2021-05-12 08:00:00,NA,NA
158,2021-05-12 08:15:00,NA,NA
159,2021-05-12 08:30:00,NA,NA
160,2021-05-12 08:45:00,NA,NA
161,2021-05-12 09:00:00,NA,NA
162,2021-05-12 09:15:00,NA,NA
163,2021-05-12 09:30:00,NA,NA
164,2021-05-12 09:45:00,NA,NA
165,2021-05-12 10:00:00,NA,NA
166,2021-05-12 10:15:00,NA,NA
167,2021-05-12 10:30:00,NA,NA
168,2021-05-12 10:45:00,NA,NA
169,2021-05-12 11:00:00,NA,NA
170,2021-05-12 11:15:00,NA,NA
171,2021-05-12 11:30:00,NA,NA
172,2021-05-12 11:45:00,NA,NA
173,2021-05-12 12:00:00,NA,NA
174,2021-05-12 12:15:00,NA,NA
175,2021-05-12 12:30:00,NA,NA
176,2021-05-12 12:45:00,NA,NA
177,2021-05-12 13:00:00,NA,NA
178,2021-05-12 13:15:00,NA,NA
179,2021-05-12 13:30:00,NA,NA
180,2021-05-12 13:45:00,NA,NA
181,2021-05-12 14:00:00,NA,NA
182,2021-05-12 14:15:00,NA,NA
183,2021-05-12 14:30:00,NA,NA
184,2021-05-12 14:45:00,NA,NA
185,2021-05-12 15:00:00,NA,NA
186,2021-05-12 15:15:00,NA,NA
187,2021-05-12 15:30:00,NA,NA
188,2021-05-12 15:45:00,NA,NA
189,2021-05-12 16:00:00,NA,NA
190,2021-05-12 16:15:00,NA,NA
191,2021-05-12 16:30:00,NA,NA
192,2021-05-12 16:45:00,NA,NA
193,2021-05-12 17:00:00,NA,NA
194,2021-05-12 17:15:00,NA,NA
195,2021-05-12 17:30:00,NA,NA
196,2021-05-12 17:45:00,NA,NA
197,2021-05-12 18:00:00,NA,NA
198,2021-05-12 18:15:00,NA,NA
199,2021-05-12 18:30:00,NA,NA
200,2021-05-12 18:45:00,NA,NA
201,2021-05-12 19:00:00,NA,NA
202,2021-05-12 19:15:00,NA,NA
203,2021-05-12 19:30:00,NA,NA
204,2021-05-12 19:45:00,NA,NA
205,2021-05-12 20:00:00,NA,NA
206,2021-05-12 20:15:00,NA,NA
207,2021-05-12 20:30:00,NA,NA
208,2021-05-12 20:45:00,NA,NA
209,2021-05-12 21:00:00,NA,NA
210,2021-05-12 21:15:00,NA,NA
211,2021-05-12 21:30:00,NA,NA
212,2021-05-12 21:45:00,NA,NA
213,2021-05-12 22:00:00,NA,NA
214,2021-05-12 22:15:00,NA,NA
215,2021-05-12 22:30:00,NA,NA
216,2021-05-12 22:45:00,NA,NA
217,2021-05-12 23:00:00,NA,NA
218,2021-05-12 23:15:00,NA,NA
219,2021-05-12 23:30:00,NA,NA
220,2021-05-12 23:45:00,NA,NA
221,2021-05-13 00:00:00,NA,NA
222,2021-05-13 00:15:00,NA,NA
223,2021-05-13 00:30:00,NA,NA
224,2021-05-13 00:45:00,NA,NA
225,2021-05-13 01:00:00,NA,NA
226,2021-05-13 01:15:00,NA,NA
227,2021-05-13 01:30:00,NA,NA
228,2021-05-13 01:45:00,NA,NA
229,2021-05-13 02:00:00,NA,NA
230,2021-05-13 02:15:00,NA,NA
231,2021-05-13 02:30:00,NA,NA
232,2021-05-13 02:45:00,NA,NA
233,2021-05-13 03:00:00,NA,NA
234,2021-05-13 03:15:00,NA,NA
235,2021-05-13 03:30:00,NA,NA
236,2021-05-13 03:45:00,NA,NA
237,2021-05-13 04:00:00,NA,NA
238,2021-05-13 04:15:00,NA,NA
239,2021-05-13 04:30:00,NA,NA
240,2021-05-13 04:45:00,NA,NA
241,2021-05-13 05:00:00,NA,NA
242,2021-05-13 05:15:00,NA,NA
