"","Site","WaterPressure","TempC","DateTimeAK"
"1","VAUL",NA,23.196,2022-05-09 10:00:00
"2","VAUL",NA,23.196,2022-05-09 10:05:00
"3","VAUL",NA,23.196,2022-05-09 10:10:00
"4","VAUL",NA,23.196,2022-05-09 10:15:00
"5","VAUL",NA,23.196,2022-05-09 10:20:00
"6","VAUL",NA,23.196,2022-05-09 10:25:00
"7","VAUL",NA,23.196,2022-05-09 10:30:00
"8","VAUL",NA,23.196,2022-05-09 10:35:00
"9","VAUL",NA,23.196,2022-05-09 10:40:00
"10","VAUL",NA,23.196,2022-05-09 10:45:00
"11","VAUL",NA,23.196,2022-05-09 10:50:00
"12","VAUL",NA,23.196,2022-05-09 10:55:00
"13","VAUL",NA,23.196,2022-05-09 11:00:00
"14","VAUL",NA,23.196,2022-05-09 11:05:00
"15","VAUL",NA,23.196,2022-05-09 11:10:00
"16","VAUL",NA,23.196,2022-05-09 11:15:00
"17","VAUL",NA,23.196,2022-05-09 11:20:00
"18","VAUL",NA,23.196,2022-05-09 11:25:00
"19","VAUL",NA,23.196,2022-05-09 11:30:00
"20","VAUL",NA,23.196,2022-05-09 11:35:00
"21","VAUL",NA,23.196,2022-05-09 11:40:00
"22","VAUL",NA,23.196,2022-05-09 11:45:00
"23","VAUL",NA,23.196,2022-05-09 11:50:00
"24","VAUL",NA,23.196,2022-05-09 11:55:00
"25","VAUL",NA,23.196,2022-05-09 12:00:00
"26","VAUL",NA,23.196,2022-05-09 12:05:00
"27","VAUL",NA,23.196,2022-05-09 12:10:00
"28","VAUL",NA,23.196,2022-05-09 12:15:00
"29","VAUL",NA,23.196,2022-05-09 12:20:00
"30","VAUL",NA,23.196,2022-05-09 12:25:00
"31","VAUL",NA,23.196,2022-05-09 12:30:00
"32","VAUL",NA,23.196,2022-05-09 12:35:00
"33","VAUL",NA,23.196,2022-05-09 12:40:00
"34","VAUL",NA,23.196,2022-05-09 12:45:00
"35","VAUL",NA,23.196,2022-05-09 12:50:00
"36","VAUL",NA,23.196,2022-05-09 12:55:00
