"","DateTimeAK","difference","diff","Site"
"1",2022-06-04 00:00:00,NA,NA,"FRCH"
"2",2022-06-04 00:05:00,NA,5,"FRCH"
"3",2022-06-04 00:10:00,NA,5,"FRCH"
"4",2022-06-04 00:15:00,NA,5,"FRCH"
"5",2022-06-04 00:20:00,NA,5,"FRCH"
"6",2022-06-04 00:25:00,NA,5,"FRCH"
"7",2022-06-04 00:30:00,NA,5,"FRCH"
"8",2022-06-04 00:35:00,NA,5,"FRCH"
"9",2022-06-04 00:40:00,NA,5,"FRCH"
"10",2022-06-04 00:45:00,NA,5,"FRCH"
"11",2022-06-04 00:50:00,NA,5,"FRCH"
"12",2022-06-04 00:55:00,NA,5,"FRCH"
"13",2022-06-04 01:00:00,NA,5,"FRCH"
"14",2022-06-04 01:05:00,NA,5,"FRCH"
"15",2022-06-04 01:10:00,NA,5,"FRCH"
"16",2022-06-04 01:15:00,NA,5,"FRCH"
"17",2022-06-04 01:20:00,NA,5,"FRCH"
"18",2022-06-04 01:25:00,NA,5,"FRCH"
"19",2022-06-04 01:30:00,NA,5,"FRCH"
"20",2022-06-04 01:35:00,NA,5,"FRCH"
"21",2022-06-04 01:40:00,NA,5,"FRCH"
"22",2022-06-04 01:45:00,NA,5,"FRCH"
"23",2022-06-04 01:50:00,NA,5,"FRCH"
"24",2022-06-04 01:55:00,NA,5,"FRCH"
"25",2022-06-04 02:00:00,NA,5,"FRCH"
"26",2022-06-04 02:05:00,NA,5,"FRCH"
"27",2022-06-04 02:10:00,NA,5,"FRCH"
"28",2022-06-04 02:15:00,NA,5,"FRCH"
"29",2022-06-04 02:20:00,NA,5,"FRCH"
"30",2022-06-04 02:25:00,NA,5,"FRCH"
"31",2022-06-04 02:30:00,NA,5,"FRCH"
"32",2022-06-04 02:35:00,NA,5,"FRCH"
"33",2022-06-04 02:40:00,NA,5,"FRCH"
"34",2022-06-04 02:45:00,NA,5,"FRCH"
"35",2022-06-04 02:50:00,NA,5,"FRCH"
"36",2022-06-04 02:55:00,NA,5,"FRCH"
"37",2022-06-04 03:00:00,NA,5,"FRCH"
"38",2022-06-04 03:05:00,NA,5,"FRCH"
"39",2022-06-04 03:10:00,NA,5,"FRCH"
"40",2022-06-04 03:15:00,NA,5,"FRCH"
"41",2022-06-04 03:20:00,NA,5,"FRCH"
"42",2022-06-04 03:25:00,NA,5,"FRCH"
"43",2022-06-04 03:30:00,NA,5,"FRCH"
"44",2022-06-04 03:35:00,NA,5,"FRCH"
"45",2022-06-04 03:40:00,NA,5,"FRCH"
"46",2022-06-04 03:45:00,NA,5,"FRCH"
"47",2022-06-04 03:50:00,NA,5,"FRCH"
"48",2022-06-04 03:55:00,NA,5,"FRCH"
"49",2022-06-04 04:00:00,NA,5,"FRCH"
"50",2022-06-04 04:05:00,NA,5,"FRCH"
"51",2022-06-04 04:10:00,NA,5,"FRCH"
"52",2022-06-04 04:15:00,NA,5,"FRCH"
"53",2022-06-04 04:20:00,NA,5,"FRCH"
"54",2022-06-04 04:25:00,NA,5,"FRCH"
"55",2022-06-04 04:30:00,NA,5,"FRCH"
"56",2022-06-04 04:35:00,NA,5,"FRCH"
"57",2022-06-04 04:40:00,NA,5,"FRCH"
"58",2022-06-04 04:45:00,NA,5,"FRCH"
"59",2022-06-04 04:50:00,NA,5,"FRCH"
"60",2022-06-04 04:55:00,NA,5,"FRCH"
"61",2022-06-04 05:00:00,NA,5,"FRCH"
"62",2022-06-04 05:05:00,NA,5,"FRCH"
"63",2022-06-04 05:10:00,NA,5,"FRCH"
"64",2022-06-04 05:15:00,NA,5,"FRCH"
"65",2022-06-04 05:20:00,NA,5,"FRCH"
"66",2022-06-04 05:25:00,NA,5,"FRCH"
"67",2022-06-04 05:30:00,NA,5,"FRCH"
"68",2022-06-04 05:35:00,NA,5,"FRCH"
"69",2022-06-04 05:40:00,NA,5,"FRCH"
"70",2022-06-04 05:45:00,NA,5,"FRCH"
"71",2022-06-04 05:50:00,NA,5,"FRCH"
"72",2022-06-04 05:55:00,NA,5,"FRCH"
"73",2022-06-04 06:00:00,NA,5,"FRCH"
"74",2022-06-04 06:05:00,NA,5,"FRCH"
"75",2022-06-04 06:10:00,NA,5,"FRCH"
"76",2022-06-04 06:15:00,NA,5,"FRCH"
"77",2022-06-04 06:20:00,NA,5,"FRCH"
"78",2022-06-04 06:25:00,NA,5,"FRCH"
"79",2022-06-04 06:30:00,NA,5,"FRCH"
"80",2022-06-04 06:35:00,NA,5,"FRCH"
"81",2022-06-04 06:40:00,NA,5,"FRCH"
"82",2022-06-04 06:45:00,NA,5,"FRCH"
"83",2022-06-04 06:50:00,NA,5,"FRCH"
"84",2022-06-04 06:55:00,NA,5,"FRCH"
"85",2022-06-04 07:00:00,NA,5,"FRCH"
"86",2022-06-04 07:05:00,NA,5,"FRCH"
"87",2022-06-04 07:10:00,NA,5,"FRCH"
"88",2022-06-04 07:15:00,NA,5,"FRCH"
"89",2022-06-04 07:20:00,NA,5,"FRCH"
"90",2022-06-04 07:25:00,NA,5,"FRCH"
"91",2022-06-04 07:30:00,NA,5,"FRCH"
"92",2022-06-04 07:35:00,NA,5,"FRCH"
"93",2022-06-04 07:40:00,NA,5,"FRCH"
"94",2022-06-04 07:45:00,NA,5,"FRCH"
"95",2022-06-04 07:50:00,NA,5,"FRCH"
"96",2022-06-04 07:55:00,NA,5,"FRCH"
"97",2022-06-04 08:00:00,NA,5,"FRCH"
"98",2022-06-04 08:05:00,NA,5,"FRCH"
"99",2022-06-04 08:10:00,NA,5,"FRCH"
"100",2022-06-04 08:15:00,NA,5,"FRCH"
"101",2022-06-04 08:20:00,NA,5,"FRCH"
"102",2022-06-04 08:25:00,NA,5,"FRCH"
"103",2022-06-04 08:30:00,NA,5,"FRCH"
"104",2022-06-04 08:35:00,NA,5,"FRCH"
"105",2022-06-04 08:40:00,NA,5,"FRCH"
"106",2022-06-04 08:45:00,NA,5,"FRCH"
"107",2022-06-04 08:50:00,NA,5,"FRCH"
"108",2022-06-04 08:55:00,NA,5,"FRCH"
"109",2022-06-04 09:00:00,NA,5,"FRCH"
"110",2022-06-04 09:05:00,NA,5,"FRCH"
"111",2022-06-04 09:10:00,NA,5,"FRCH"
"112",2022-06-04 09:15:00,NA,5,"FRCH"
"113",2022-06-04 09:20:00,NA,5,"FRCH"
"114",2022-06-04 09:25:00,NA,5,"FRCH"
"115",2022-06-04 09:30:00,NA,5,"FRCH"
"116",2022-06-04 09:35:00,NA,5,"FRCH"
"117",2022-06-04 09:40:00,NA,5,"FRCH"
"118",2022-06-04 09:45:00,NA,5,"FRCH"
"119",2022-06-04 09:50:00,NA,5,"FRCH"
"120",2022-06-04 09:55:00,NA,5,"FRCH"
"121",2022-06-04 10:00:00,NA,5,"FRCH"
"122",2022-06-04 10:05:00,NA,5,"FRCH"
"123",2022-06-04 10:10:00,NA,5,"FRCH"
"124",2022-06-04 10:15:00,NA,5,"FRCH"
"125",2022-06-04 10:20:00,NA,5,"FRCH"
"126",2022-06-04 10:25:00,NA,5,"FRCH"
"127",2022-06-04 10:30:00,NA,5,"FRCH"
"128",2022-06-04 10:35:00,NA,5,"FRCH"
