"Discharge_Lsec","day"
NA,2021-05-04
NA,2021-05-05
NA,2021-05-06
NA,2021-05-07
1109.98210924533,2021-05-08
1158.95503204366,2021-05-09
1175.7373895486,2021-05-10
1180.0548793029,2021-05-11
1182.59336232751,2021-05-12
NA,2021-05-13
1188.00426153362,2021-05-14
1187.64964225196,2021-05-15
1182.67906198724,2021-05-16
1186.45871249769,2021-05-17
1187.50188421793,2021-05-18
1152.08599714658,2021-05-19
1123.97810843196,2021-05-20
1113.53827139883,2021-05-21
1112.75383353637,2021-05-22
1110.16506696296,2021-05-23
1106.17894350459,2021-05-24
1101.80595384222,2021-05-25
1097.12073074672,2021-05-26
1097.00893346393,2021-05-27
1093.89254225446,2021-05-28
1092.54012212614,2021-05-29
1089.3489338918,2021-05-30
1088.42810263316,2021-05-31
1090.3457788898,2021-06-01
1089.24539772202,2021-06-02
1086.25046680709,2021-06-03
1083.74094493174,2021-06-04
1081.86726949265,2021-06-05
1080.99340716608,2021-06-06
1076.88751106471,2021-06-07
1078.38264713962,2021-06-08
1077.09085260179,2021-06-09
1072.01063862029,2021-06-10
1071.13273485146,2021-06-11
1071.64109817012,2021-06-12
1071.07769101133,2021-06-13
1070.88564340789,2021-06-14
1066.68032526156,2021-06-15
1062.63774904552,2021-06-16
1063.41556565093,2021-06-17
1063.00332373504,2021-06-18
1064.8489699442,2021-06-19
1074.77776927341,2021-06-20
1068.87749022661,2021-06-21
1067.87275052739,2021-06-22
1066.2397882725,2021-06-23
1060.28722438651,2021-06-24
1058.95567058981,2021-06-25
1055.71042620669,2021-06-26
1057.04527368987,2021-06-27
851.337293252481,2021-06-28
860.308279480976,2021-06-29
892.018671701541,2021-06-30
954.111261738229,2021-07-01
987.691812005902,2021-07-02
1008.67939891273,2021-07-03
1028.59322034803,2021-07-04
1044.07622335119,2021-07-05
1050.37381786979,2021-07-06
1053.89466088226,2021-07-07
1060.41017062555,2021-07-08
1066.40066970885,2021-07-09
1069.17251653723,2021-07-10
1073.72188489978,2021-07-11
1075.79113231104,2021-07-12
1079.52380231755,2021-07-13
1087.85920317147,2021-07-14
1078.13639551606,2021-07-15
852.799186533164,2021-07-16
809.472360264791,2021-07-17
809.528890661386,2021-07-18
815.964774681844,2021-07-19
825.269969082444,2021-07-20
834.313598899406,2021-07-21
840.815592031746,2021-07-22
871.439900953102,2021-07-23
887.315139478796,2021-07-24
898.446138969883,2021-07-25
922.099253966291,2021-07-26
949.830498380128,2021-07-27
877.28801927633,2021-07-28
841.116574328397,2021-07-29
832.425881778393,2021-07-30
826.445721779757,2021-07-31
825.710405843172,2021-08-01
844.826710920753,2021-08-02
820.800262603378,2021-08-03
816.240788157012,2021-08-04
825.779722026476,2021-08-05
840.178497336482,2021-08-06
843.140182704262,2021-08-07
846.716472469548,2021-08-08
985.524634976768,2021-08-09
997.006352275882,2021-08-10
997.449656582559,2021-08-11
988.515515075244,2021-08-12
987.576034504434,2021-08-13
982.6286341396,2021-08-14
1007.93872904293,2021-08-15
1093.95090929348,2021-08-16
1092.62690503568,2021-08-17
1066.48145980532,2021-08-18
1045.20573509657,2021-08-19
1056.20549875863,2021-08-20
1080.00012260169,2021-08-21
1065.41048585791,2021-08-22
1020.81018068315,2021-08-23
1051.32914006945,2021-08-24
1064.50889964457,2021-08-25
1070.99232046524,2021-08-26
1059.49750763944,2021-08-27
1064.66083055346,2021-08-28
1053.74145230314,2021-08-29
1047.82732241653,2021-08-30
1046.07462933715,2021-08-31
1042.83769318216,2021-09-01
1040.16733541595,2021-09-02
1036.15851420539,2021-09-03
1034.48677042819,2021-09-04
1030.22705128998,2021-09-05
1030.08424109214,2021-09-06
1025.21330949288,2021-09-07
1023.46647993896,2021-09-08
1022.10150268581,2021-09-09
1018.70424707505,2021-09-10
1020.51781931479,2021-09-11
1021.09609620902,2021-09-12
1017.2453614819,2021-09-13
1012.93764985782,2021-09-14
1011.84483513946,2021-09-15
1009.81112997512,2021-09-16
1005.36466552731,2021-09-17
1002.18638553616,2021-09-18
1003.03680737418,2021-09-19
1000.68015664372,2021-09-20
997.489393550217,2021-09-21
996.473251202928,2021-09-22
1000.19296302151,2021-09-23
995.028680281128,2021-09-24
991.980526928807,2021-09-25
990.956873393083,2021-09-26
986.808213077218,2021-09-27
NA,2021-09-28
NA,2021-09-29
NA,2021-09-30
