"Site","DateTime","MeanDischarge"
"FRCH",2015-06-08 11:10:00,-445.797492795227
"FRCH",2015-06-08 11:15:00,-430.357669400491
"FRCH",2015-06-08 11:20:00,-447.486223479027
"FRCH",2015-06-08 11:25:00,-445.797492795227
"FRCH",2015-06-08 11:30:00,-442.420031427628
"FRCH",2015-06-08 11:35:00,-445.073751073596
"FRCH",2015-06-08 11:40:00,-446.038740035769
"FRCH",2015-06-08 11:45:00,-451.346179327713
"FRCH",2015-06-08 11:50:00,-448.692459681737
"FRCH",2015-06-08 11:55:00,-451.346179327713
"FRCH",2015-06-08 12:00:00,-451.346179327713
"FRCH",2015-06-08 12:05:00,-451.346179327713
"FRCH",2015-06-08 12:10:00,-453.034910011509
"FRCH",2015-06-08 12:15:00,-450.381190365541
"FRCH",2015-06-08 12:20:00,-453.034910011509
"FRCH",2015-06-08 12:25:00,-455.688629657481
"FRCH",2015-06-08 12:30:00,-455.688629657481
"FRCH",2015-06-08 12:35:00,-455.688629657481
"FRCH",2015-06-08 12:40:00,-454.723640695309
"FRCH",2015-06-08 12:45:00,-465.338519279187
"FRCH",2015-06-08 12:50:00,-462.684799633218
"FRCH",2015-06-08 12:55:00,-457.377360341277
"FRCH",2015-06-08 13:00:00,-461.719810671046
"FRCH",2015-06-08 13:05:00,-459.066091025077
"FRCH",2015-06-08 13:10:00,-467.027249962986
"FRCH",2015-06-08 13:15:00,-464.373530317014
"FRCH",2015-06-08 13:20:00,-463.408541354846
"FRCH",2015-06-08 13:25:00,-468.715980646786
"FRCH",2015-06-08 13:30:00,-468.715980646786
"FRCH",2015-06-08 13:35:00,-465.097272038645
"FRCH",2015-06-08 13:40:00,-470.404711330586
"FRCH",2015-06-08 13:45:00,-462.443552392673
"FRCH",2015-06-08 13:50:00,-466.786002722445
"FRCH",2015-06-08 13:55:00,-472.093442014386
"FRCH",2015-06-08 14:00:00,-466.786002722445
"FRCH",2015-06-08 14:05:00,-479.089611990123
"FRCH",2015-06-08 14:10:00,-476.435892344154
"FRCH",2015-06-08 14:15:00,-479.089611990123
"FRCH",2015-06-08 14:20:00,-475.470903381982
"FRCH",2015-06-08 14:25:00,-481.019589914464
"FRCH",2015-06-08 14:30:00,-477.159634065782
"FRCH",2015-06-08 14:35:00,-471.852194773841
"FRCH",2015-06-08 14:40:00,-477.159634065782
"FRCH",2015-06-08 14:45:00,-470.887205811669
"FRCH",2015-06-08 14:50:00,-462.926046873759
"FRCH",2015-06-08 14:55:00,-444.350009351969
"FRCH",2015-06-08 15:00:00,-433.735130768091
"FRCH",2015-06-08 15:05:00,-431.081411122123
"FRCH",2015-06-08 15:10:00,-431.081411122123
"FRCH",2015-06-08 15:15:00,-436.38885041406
"FRCH",2015-06-08 15:20:00,-439.042570060032
"FRCH",2015-06-08 15:25:00,-439.042570060032
"FRCH",2015-06-08 15:30:00,-441.696289706
"FRCH",2015-06-08 15:35:00,-439.042570060032
"FRCH",2015-06-08 15:40:00,-444.350009351969
"FRCH",2015-06-08 15:45:00,-449.657448643909
"FRCH",2015-06-08 15:50:00,-449.657448643909
"FRCH",2015-06-08 15:55:00,-449.657448643909
"FRCH",2015-06-08 16:00:00,-447.003728997941
"FRCH",2015-06-08 16:05:00,-452.311168289882
"FRCH",2015-06-08 16:10:00,-452.311168289882
"FRCH",2015-06-08 16:15:00,-447.003728997941
"FRCH",2015-06-08 16:20:00,-452.311168289882
"FRCH",2015-06-08 16:25:00,-446.038740035769
"FRCH",2015-06-08 16:30:00,-451.346179327713
"FRCH",2015-06-08 16:35:00,-453.999898973681
"FRCH",2015-06-08 16:40:00,-453.999898973681
"FRCH",2015-06-08 16:45:00,-459.307338265618
"FRCH",2015-06-08 16:50:00,-460.996068949418
"FRCH",2015-06-08 16:55:00,-471.610947533296
"FRCH",2015-06-08 17:00:00,-458.34234930345
"FRCH",2015-06-08 17:05:00,-463.649788595387
"FRCH",2015-06-08 17:10:00,-462.684799633218
"FRCH",2015-06-08 17:15:00,-467.992238925155
"FRCH",2015-06-08 17:20:00,-462.684799633218
"FRCH",2015-06-08 17:25:00,-462.684799633218
"FRCH",2015-06-08 17:30:00,-469.680969608959
"FRCH",2015-06-08 17:35:00,-469.680969608959
"FRCH",2015-06-08 17:40:00,-469.680969608959
"FRCH",2015-06-08 17:45:00,-476.91838682524
"FRCH",2015-06-08 17:50:00,-471.369700292758
"FRCH",2015-06-08 17:55:00,-471.369700292758
"FRCH",2015-06-08 18:00:00,-482.225826117181
"FRCH",2015-06-08 18:05:00,-484.87954576315
"FRCH",2015-06-08 18:10:00,-479.572106471209
"FRCH",2015-06-08 18:15:00,-482.225826117181
"FRCH",2015-06-08 18:20:00,-479.572106471209
"FRCH",2015-06-08 18:25:00,-483.914556800977
"FRCH",2015-06-08 18:30:00,-483.914556800977
"FRCH",2015-06-08 18:35:00,-483.914556800977
"FRCH",2015-06-08 18:40:00,-481.260837155009
"FRCH",2015-06-08 18:45:00,-489.221996092918
"FRCH",2015-06-08 18:50:00,-489.221996092918
"FRCH",2015-06-08 18:55:00,-486.568276446949
"FRCH",2015-06-08 19:00:00,-486.568276446949
"FRCH",2015-06-08 19:05:00,-495.494424347027
"FRCH",2015-06-08 19:10:00,-492.840704701059
"FRCH",2015-06-08 19:15:00,-490.186985055087
"FRCH",2015-06-08 19:20:00,-490.186985055087
"FRCH",2015-06-08 19:25:00,-490.186985055087
"FRCH",2015-06-08 19:30:00,-495.494424347027
"FRCH",2015-06-08 19:35:00,-498.148143992996
"FRCH",2015-06-08 19:40:00,-498.148143992996
"FRCH",2015-06-08 19:45:00,-500.801863638972
"FRCH",2015-06-08 19:50:00,-503.45558328494
"FRCH",2015-06-08 19:55:00,-498.148143992996
"FRCH",2015-06-08 20:00:00,-496.4594133092
"FRCH",2015-06-08 20:05:00,-501.76685260114
"FRCH",2015-06-08 20:10:00,-504.420572247112
"FRCH",2015-06-08 20:15:00,-504.420572247112
"FRCH",2015-06-08 20:20:00,-501.76685260114
"FRCH",2015-06-08 20:25:00,-507.074291893081
"FRCH",2015-06-08 20:30:00,-504.420572247112
"FRCH",2015-06-08 20:35:00,-509.728011539049
"FRCH",2015-06-08 20:40:00,-507.074291893081
"FRCH",2015-06-08 20:45:00,-512.381731185022
"FRCH",2015-06-08 20:50:00,-504.420572247112
"FRCH",2015-06-08 20:55:00,-507.074291893081
"FRCH",2015-06-08 21:00:00,-513.34672014719
"FRCH",2015-06-08 21:05:00,-508.039280855253
"FRCH",2015-06-08 21:10:00,-513.34672014719
"FRCH",2015-06-08 21:15:00,-510.693000501222
"FRCH",2015-06-08 21:20:00,-516.000439793163
"FRCH",2015-06-08 21:25:00,-513.34672014719
"FRCH",2015-06-08 21:30:00,-516.000439793163
"FRCH",2015-06-08 21:35:00,-511.657989463394
"FRCH",2015-06-08 21:40:00,-506.350550171454
"FRCH",2015-06-08 21:45:00,-511.657989463394
"FRCH",2015-06-08 21:50:00,-509.004269817422
"FRCH",2015-06-08 21:55:00,-511.657989463394
"FRCH",2015-06-08 22:00:00,-506.350550171454
"FRCH",2015-06-08 22:05:00,-501.043110879509
"FRCH",2015-06-08 22:10:00,-506.350550171454
"FRCH",2015-06-08 22:15:00,-504.66181948765
"FRCH",2015-06-08 22:20:00,-504.66181948765
"FRCH",2015-06-08 22:25:00,-507.315539133622
"FRCH",2015-06-08 22:30:00,-502.008099841682
"FRCH",2015-06-08 22:35:00,-502.008099841682
"FRCH",2015-06-08 22:40:00,-504.66181948765
"FRCH",2015-06-08 22:45:00,-509.969258779594
"FRCH",2015-06-08 22:50:00,-505.626808449822
"FRCH",2015-06-08 22:55:00,-502.973088803854
"FRCH",2015-06-08 23:00:00,-502.973088803854
"FRCH",2015-06-08 23:05:00,-500.319369157882
"FRCH",2015-06-08 23:10:00,-500.319369157882
"FRCH",2015-06-08 23:15:00,-500.319369157882
"FRCH",2015-06-08 23:20:00,-498.630638474086
"FRCH",2015-06-08 23:25:00,-501.284358120054
"FRCH",2015-06-08 23:30:00,-495.976918828113
"FRCH",2015-06-08 23:35:00,-503.938077766023
"FRCH",2015-06-08 23:40:00,-498.630638474086
"FRCH",2015-06-08 23:45:00,-495.976918828113
"FRCH",2015-06-08 23:50:00,-496.941907790286
"FRCH",2015-06-08 23:55:00,-494.288188144317
"FRCH",2015-06-09 00:00:00,-496.941907790286
"FRCH",2015-06-09 00:05:00,-494.288188144317
"FRCH",2015-06-09 00:10:00,-491.634468498345
"FRCH",2015-06-09 00:15:00,-492.599457460517
"FRCH",2015-06-09 00:20:00,-492.599457460517
"FRCH",2015-06-09 00:25:00,-489.945737814545
"FRCH",2015-06-09 00:30:00,-492.599457460517
"FRCH",2015-06-09 00:35:00,-487.292018168577
"FRCH",2015-06-09 00:40:00,-490.910726776714
"FRCH",2015-06-09 00:45:00,-490.910726776714
"FRCH",2015-06-09 00:50:00,-485.603287484777
"FRCH",2015-06-09 00:55:00,-488.257007130745
"FRCH",2015-06-09 01:00:00,-488.257007130745
"FRCH",2015-06-09 01:05:00,-485.603287484777
"FRCH",2015-06-09 01:10:00,-486.568276446949
"FRCH",2015-06-09 01:15:00,-486.568276446949
"FRCH",2015-06-09 01:20:00,-486.568276446949
"FRCH",2015-06-09 01:25:00,-483.914556800977
"FRCH",2015-06-09 01:30:00,-481.260837155009
"FRCH",2015-06-09 01:35:00,-479.572106471209
"FRCH",2015-06-09 01:40:00,-479.572106471209
"FRCH",2015-06-09 01:45:00,-476.677139584695
"FRCH",2015-06-09 01:50:00,-484.87954576315
"FRCH",2015-06-09 01:55:00,-479.572106471209
"FRCH",2015-06-09 02:00:00,-485.844534725322
"FRCH",2015-06-09 02:05:00,-485.844534725322
"FRCH",2015-06-09 02:10:00,-491.151974017259
"FRCH",2015-06-09 02:15:00,-485.844534725322
"FRCH",2015-06-09 02:20:00,-484.155804041522
"FRCH",2015-06-09 02:25:00,-484.155804041522
"FRCH",2015-06-09 02:30:00,-486.809523687491
"FRCH",2015-06-09 02:35:00,-484.155804041522
"FRCH",2015-06-09 02:40:00,-481.502084395554
"FRCH",2015-06-09 02:45:00,-482.467073357722
"FRCH",2015-06-09 02:50:00,-482.467073357722
"FRCH",2015-06-09 02:55:00,-485.120793003694
"FRCH",2015-06-09 03:00:00,-485.120793003694
"FRCH",2015-06-09 03:05:00,-486.085781965863
"FRCH",2015-06-09 03:10:00,-480.778342673922
"FRCH",2015-06-09 03:15:00,-480.778342673922
"FRCH",2015-06-09 03:20:00,-483.432062319895
"FRCH",2015-06-09 03:25:00,-479.089611990123
"FRCH",2015-06-09 03:30:00,-479.089611990123
"FRCH",2015-06-09 03:35:00,-481.743331636091
"FRCH",2015-06-09 03:40:00,-481.743331636091
"FRCH",2015-06-09 03:45:00,-488.015759890204
"FRCH",2015-06-09 03:50:00,-495.976918828113
"FRCH",2015-06-09 03:55:00,-488.015759890204
"FRCH",2015-06-09 04:00:00,-490.669479536176
"FRCH",2015-06-09 04:05:00,-494.288188144317
"FRCH",2015-06-09 04:10:00,-483.673309560436
"FRCH",2015-06-09 04:15:00,-488.980748852373
"FRCH",2015-06-09 04:20:00,-488.980748852373
"FRCH",2015-06-09 04:25:00,-489.945737814545
"FRCH",2015-06-09 04:30:00,-489.945737814545
"FRCH",2015-06-09 04:35:00,-489.945737814545
"FRCH",2015-06-09 04:40:00,-497.906896752458
"FRCH",2015-06-09 04:45:00,-492.599457460517
"FRCH",2015-06-09 04:50:00,-501.525605360599
"FRCH",2015-06-09 04:55:00,-496.218166068658
"FRCH",2015-06-09 05:00:00,-496.218166068658
"FRCH",2015-06-09 05:05:00,-493.564446422686
"FRCH",2015-06-09 05:10:00,-498.871885714627
"FRCH",2015-06-09 05:15:00,-508.039280855253
"FRCH",2015-06-09 05:20:00,-502.731841563309
"FRCH",2015-06-09 05:25:00,-502.731841563309
"FRCH",2015-06-09 05:30:00,-502.731841563309
"FRCH",2015-06-09 05:35:00,-502.731841563309
"FRCH",2015-06-09 05:40:00,-505.385561209281
"FRCH",2015-06-09 05:45:00,-503.696830525481
"FRCH",2015-06-09 05:50:00,-509.004269817422
"FRCH",2015-06-09 05:55:00,-506.350550171454
"FRCH",2015-06-09 06:00:00,-506.350550171454
"FRCH",2015-06-09 06:05:00,-509.004269817422
"FRCH",2015-06-09 06:10:00,-506.350550171454
"FRCH",2015-06-09 06:15:00,-507.315539133622
"FRCH",2015-06-09 06:20:00,-507.315539133622
"FRCH",2015-06-09 06:25:00,-515.276698071535
"FRCH",2015-06-09 06:30:00,-509.969258779594
"FRCH",2015-06-09 06:35:00,-512.622978425563
"FRCH",2015-06-09 06:40:00,-512.622978425563
"FRCH",2015-06-09 06:45:00,-510.934247741763
"FRCH",2015-06-09 06:50:00,-513.587967387735
"FRCH",2015-06-09 06:55:00,-516.241687033704
"FRCH",2015-06-09 07:00:00,-516.241687033704
"FRCH",2015-06-09 07:05:00,-516.241687033704
"FRCH",2015-06-09 07:10:00,-518.895406679672
"FRCH",2015-06-09 07:15:00,-521.549126325644
"FRCH",2015-06-09 07:20:00,-526.856565617582
"FRCH",2015-06-09 07:25:00,-524.202845971613
"FRCH",2015-06-09 07:30:00,-524.202845971613
"FRCH",2015-06-09 07:35:00,-526.856565617582
"FRCH",2015-06-09 07:40:00,-529.510285263554
"FRCH",2015-06-09 07:45:00,-527.821554579754
"FRCH",2015-06-09 07:50:00,-533.128993871695
"FRCH",2015-06-09 07:55:00,-527.821554579754
