"","Site","DateTime","MeanDischarge"
"100","STRT",2020-06-18 09:15:00,1261.01060349063
"101","STRT",2020-06-18 09:30:00,1265.34480765153
"102","STRT",2020-06-18 09:45:00,1266.78954237187
"103","STRT",2020-06-18 10:00:00,1261.01060349063
"104","STRT",2020-06-18 10:15:00,1268.23427709215
"105","STRT",2020-06-18 10:30:00,1269.67901181249
"106","STRT",2020-06-18 10:45:00,1269.67901181249
"107","STRT",2020-06-18 11:00:00,1262.45533821092
"108","STRT",2020-06-18 11:15:00,1265.34480765153
"109","STRT",2020-06-18 11:30:00,1262.45533821092
"110","STRT",2020-06-18 11:45:00,1271.12374653277
"111","STRT",2020-06-18 12:00:00,1276.90268541407
"112","STRT",2020-06-18 12:15:00,1278.34742013441
"113","STRT",2020-06-18 12:30:00,1287.01582845626
"114","STRT",2020-06-18 12:45:00,1287.01582845626
"115","STRT",2020-06-18 13:00:00,1281.23688957497
"116","STRT",2020-06-18 13:15:00,1269.67901181249
"117","STRT",2020-06-18 13:30:00,1281.23688957497
"118","STRT",2020-06-18 13:45:00,1284.12635901564
"119","STRT",2020-06-18 14:00:00,1284.12635901564
"120","STRT",2020-06-18 14:15:00,1278.34742013441
"121","STRT",2020-06-18 14:30:00,1279.79215485463
"122","STRT",2020-06-18 14:45:00,1281.23688957497
"123","STRT",2020-06-18 15:00:00,1275.45795069373
"124","STRT",2020-06-18 15:15:00,1271.12374653277
"125","STRT",2020-06-18 15:30:00,1272.56848125311
"126","STRT",2020-06-18 15:45:00,1272.56848125311
"127","STRT",2020-06-18 16:00:00,1275.45795069373
"128","STRT",2020-06-18 16:15:00,1272.56848125311
"129","STRT",2020-06-18 16:30:00,1271.12374653277
"130","STRT",2020-06-18 16:45:00,1274.01321597339
"131","STRT",2020-06-18 17:00:00,1274.01321597339
"132","STRT",2020-06-18 17:15:00,1271.12374653277
"133","STRT",2020-06-18 17:30:00,1272.56848125311
"134","STRT",2020-06-18 17:45:00,1268.23427709215
"135","STRT",2020-06-18 18:00:00,1272.56848125311
"136","STRT",2020-06-18 18:15:00,1272.56848125311
"137","STRT",2020-06-18 18:30:00,1268.23427709215
"138","STRT",2020-06-18 18:45:00,1276.90268541407
"139","STRT",2020-06-18 19:00:00,1274.01321597339
"140","STRT",2020-06-18 19:15:00,1272.56848125311
"141","STRT",2020-06-18 19:30:00,1266.78954237187
"142","STRT",2020-06-18 19:45:00,1269.67901181249
"143","STRT",2020-06-18 20:00:00,1274.01321597339
"144","STRT",2020-06-18 20:15:00,1278.34742013441
"145","STRT",2020-06-18 20:30:00,1274.01321597339
"146","STRT",2020-06-18 20:45:00,1276.90268541407
"147","STRT",2020-06-18 21:00:00,1275.45795069373
"148","STRT",2020-06-18 21:15:00,1275.45795069373
"149","STRT",2020-06-18 21:30:00,1279.79215485463
"150","STRT",2020-06-18 21:45:00,1276.90268541407
"151","STRT",2020-06-18 22:00:00,1272.56848125311
"152","STRT",2020-06-18 22:15:00,1279.79215485463
"153","STRT",2020-06-18 22:30:00,1284.12635901564
"154","STRT",2020-06-18 22:45:00,1279.79215485463
"155","STRT",2020-06-18 23:00:00,1284.12635901564
"156","STRT",2020-06-18 23:15:00,1279.79215485463
"157","STRT",2020-06-18 23:30:00,1279.79215485463
"158","STRT",2020-06-18 23:45:00,1275.45795069373
"159","STRT",2020-06-19 00:00:00,1279.79215485463
"160","STRT",2020-06-19 00:15:00,1284.12635901564
"161","STRT",2020-06-19 00:30:00,1278.34742013441
"162","STRT",2020-06-19 00:45:00,1288.46056317654
"163","STRT",2020-06-19 01:00:00,1282.68162429531
"164","STRT",2020-06-19 01:15:00,1279.79215485463
"165","STRT",2020-06-19 01:30:00,1281.23688957497
"166","STRT",2020-06-19 01:45:00,1287.01582845626
"167","STRT",2020-06-19 02:00:00,1285.57109373593
"168","STRT",2020-06-19 02:15:00,1278.34742013441
"169","STRT",2020-06-19 02:30:00,1282.68162429531
"170","STRT",2020-06-19 02:45:00,1287.01582845626
"171","STRT",2020-06-19 03:00:00,1287.01582845626
"172","STRT",2020-06-19 03:15:00,1291.35003261716
"173","STRT",2020-06-19 03:30:00,1297.1289714984
"174","STRT",2020-06-19 03:45:00,1295.68423677812
"175","STRT",2020-06-19 04:00:00,1304.35264510004
"176","STRT",2020-06-19 04:15:00,1302.9079103797
"177","STRT",2020-06-19 04:30:00,1304.35264510004
"178","STRT",2020-06-19 04:45:00,1302.9079103797
"179","STRT",2020-06-19 05:00:00,1300.01844093908
"180","STRT",2020-06-19 05:15:00,1304.35264510004
"181","STRT",2020-06-19 05:30:00,1313.02105342189
"182","STRT",2020-06-19 05:45:00,1310.13158398127
"183","STRT",2020-06-19 06:00:00,1321.68946174381
"184","STRT",2020-06-19 06:15:00,1323.13419646409
"185","STRT",2020-06-19 06:30:00,1331.80260478595
"186","STRT",2020-06-19 06:45:00,1331.80260478595
"187","STRT",2020-06-19 07:00:00,1330.35787006567
"188","STRT",2020-06-19 07:15:00,1337.58154366724
"189","STRT",2020-06-19 07:30:00,1334.69207422656
"190","STRT",2020-06-19 07:45:00,1341.91574782814
"191","STRT",2020-06-19 08:00:00,1346.2499519891
"192","STRT",2020-06-19 08:15:00,1353.47362559068
"193","STRT",2020-06-19 08:30:00,1357.80782975157
"194","STRT",2020-06-19 08:45:00,1350.58415615006
"195","STRT",2020-06-19 09:00:00,1354.91836031101
"196","STRT",2020-06-19 09:15:00,1357.80782975157
"197","STRT",2020-06-19 09:30:00,1360.69729919225
"198","STRT",2020-06-19 09:45:00,1365.03150335321
"199","STRT",2020-06-19 10:00:00,1367.92097279377
"200","STRT",2020-06-19 10:15:00,1369.36570751411
"201","STRT",2020-06-19 10:30:00,1367.92097279377
"202","STRT",2020-06-19 10:45:00,1379.4788505563
"203","STRT",2020-06-19 11:00:00,1380.92358527664
"204","STRT",2020-06-19 11:15:00,1391.03672831878
"205","STRT",2020-06-19 11:30:00,1380.92358527664
"206","STRT",2020-06-19 11:45:00,1380.92358527664
"207","STRT",2020-06-19 12:00:00,1395.37093247974
"208","STRT",2020-06-19 12:15:00,1399.7051366407
"209","STRT",2020-06-19 12:30:00,1406.92881024227
"210","STRT",2020-06-19 12:45:00,1402.59460608131
"211","STRT",2020-06-19 13:00:00,1406.92881024227
"212","STRT",2020-06-19 13:15:00,1417.04195328441
"213","STRT",2020-06-19 13:30:00,1412.70774912351
"214","STRT",2020-06-19 13:45:00,1418.48668800475
"215","STRT",2020-06-19 14:00:00,1421.37615744543
"216","STRT",2020-06-19 14:15:00,1417.04195328441
"217","STRT",2020-06-19 14:30:00,1419.93142272509
"218","STRT",2020-06-19 14:45:00,1425.71036160633
"219","STRT",2020-06-19 15:00:00,1432.9340352079
"220","STRT",2020-06-19 15:15:00,1430.04456576728
"221","STRT",2020-06-19 15:30:00,1435.82350464852
"222","STRT",2020-06-19 15:45:00,1440.15770880948
"223","STRT",2020-06-19 16:00:00,1432.9340352079
"224","STRT",2020-06-19 16:15:00,1430.04456576728
"225","STRT",2020-06-19 16:30:00,1440.15770880948
"226","STRT",2020-06-19 16:45:00,1444.49191297038
"227","STRT",2020-06-19 17:00:00,1440.15770880948
"228","STRT",2020-06-19 17:15:00,1447.38138241105
"229","STRT",2020-06-19 17:30:00,1440.15770880948
"230","STRT",2020-06-19 17:45:00,1445.93664769072
"231","STRT",2020-06-19 18:00:00,1428.59983104694
"232","STRT",2020-06-19 18:15:00,1441.60244352982
"233","STRT",2020-06-19 18:30:00,1445.93664769072
"234","STRT",2020-06-19 18:45:00,1443.0471782501
"235","STRT",2020-06-19 19:00:00,1440.15770880948
