"","Site","Day","Q"
"127","FRCH",2015-09-17,1311.76955563703
"128","FRCH",2015-09-18,1231.49584202159
"129","FRCH",2015-09-19,1011.2078048819
"130","FRCH",2015-09-20,NA
"131","FRCH",2015-09-21,NA
"132","FRCH",2015-09-22,NA
"133","MOOS",2015-05-14,NA
"134","MOOS",2015-05-15,NA
"135","MOOS",2015-05-16,NA
"136","MOOS",2015-05-17,NA
"137","MOOS",2015-05-18,NA
"138","MOOS",2015-05-19,NA
"139","MOOS",2015-05-20,NA
"140","MOOS",2015-05-21,NA
"141","MOOS",2015-05-22,465.32276495437
"142","MOOS",2015-05-23,463.189569942499
"143","MOOS",2015-05-24,450.381824291696
"144","MOOS",2015-05-25,444.828013418023
"145","MOOS",2015-05-26,451.403311065879
"146","MOOS",2015-05-27,442.319896526868
"147","MOOS",2015-05-28,441.383983054438
"148","MOOS",2015-05-29,435.477708444732
"149","MOOS",2015-05-30,427.250221053201
"150","MOOS",2015-05-31,422.139020988367
"151","MOOS",2015-06-01,424.526098884806
"152","MOOS",2015-06-02,458.654915656399
"153","MOOS",2015-06-03,449.122719896945
"154","MOOS",2015-06-04,461.238659296134
"155","MOOS",2015-06-05,447.626512512323
"156","MOOS",2015-06-06,432.575181134041
"157","MOOS",2015-06-07,429.862650781088
"158","MOOS",2015-06-08,418.339097557381
"159","MOOS",2015-06-09,433.467126595276
"160","MOOS",2015-06-10,427.274403097221
"161","MOOS",2015-06-11,426.092256794542
"162","MOOS",2015-06-12,432.336949551465
"163","MOOS",2015-06-13,442.369275546416
"164","MOOS",2015-06-14,424.665508514412
"165","MOOS",2015-06-15,410.109951148275
"166","MOOS",2015-06-16,395.090132801453
"167","MOOS",2015-06-17,392.779308124967
"168","MOOS",2015-06-18,391.483898703103
"169","MOOS",2015-06-19,389.326552103857
"170","MOOS",2015-06-20,389.382319850527
"171","MOOS",2015-06-21,390.011655362841
"172","MOOS",2015-06-22,393.531981504418
"173","MOOS",2015-06-23,393.472703709746
"174","MOOS",2015-06-24,393.348956525655
"175","MOOS",2015-06-25,394.770939912219
"176","MOOS",2015-06-26,394.356973899805
"177","MOOS",2015-06-27,397.113318932501
"178","MOOS",2015-06-28,417.815978079594
"179","MOOS",2015-06-29,410.10314771907
"180","MOOS",2015-06-30,399.248728261473
"181","MOOS",2015-07-01,409.166953353984
"182","MOOS",2015-07-02,1543.69709101449
"183","MOOS",2015-07-03,2984.87848116823
"184","MOOS",2015-07-04,1610.35891984502
"185","MOOS",2015-07-05,1112.620452814
"186","MOOS",2015-07-06,896.565776255958
"187","MOOS",2015-07-07,793.966024437248
"188","MOOS",2015-07-08,756.618464260624
"189","MOOS",2015-07-09,705.525644485136
"190","MOOS",2015-07-10,658.651209243695
"191","MOOS",2015-07-11,625.402391395527
"192","MOOS",2015-07-12,646.734618256219
"193","MOOS",2015-07-13,653.006576154565
"194","MOOS",2015-07-14,644.179869901764
"195","MOOS",2015-07-15,701.573817824191
"196","MOOS",2015-07-16,655.650636860685
"197","MOOS",2015-07-17,606.585365492456
"198","MOOS",2015-07-18,593.713997323801
"199","MOOS",2015-07-19,1068.20342616553
"200","MOOS",2015-07-20,3740.91579286452
"201","MOOS",2015-07-21,2692.23356233056
"202","MOOS",2015-07-22,1659.3333277284
"203","MOOS",2015-07-23,1296.5420980669
"204","MOOS",2015-07-24,1088.46619074491
"205","MOOS",2015-07-25,973.955473545259
"206","MOOS",2015-07-26,890.586610323929
"207","MOOS",2015-07-27,2139.94155080791
"208","MOOS",2015-07-28,4391.9630187728
"209","MOOS",2015-07-29,3324.79240211905
"210","MOOS",2015-07-30,2374.43602329057
"211","MOOS",2015-07-31,1975.88352885432
"212","MOOS",2015-08-01,1693.19282839655
"213","MOOS",2015-08-02,1608.98208060224
"214","MOOS",2015-08-03,1494.58350083975
"215","MOOS",2015-08-04,1369.67326065384
"216","MOOS",2015-08-05,1264.39345146403
"217","MOOS",2015-08-06,1644.81553798748
"218","MOOS",2015-08-07,1805.22186555425
"219","MOOS",2015-08-08,1408.90410344683
"220","MOOS",2015-08-09,1303.15266397671
"221","MOOS",2015-08-10,1309.65544009976
"222","MOOS",2015-08-11,1443.72327246098
"223","MOOS",2015-08-12,1277.0467023182
"224","MOOS",2015-08-13,1456.51010883932
"225","MOOS",2015-08-14,1631.02623422591
"226","MOOS",2015-08-15,1337.97360208324
"227","MOOS",2015-08-16,1213.26838145259
"228","MOOS",2015-08-17,1524.66512903113
"229","MOOS",2015-08-18,1518.70686715594
"230","MOOS",2015-08-19,3893.51428372891
"231","MOOS",2015-08-20,3424.74713397478
"232","MOOS",2015-08-21,2561.87835148131
"233","MOOS",2015-08-22,2050.10225294465
"234","MOOS",2015-08-23,1968.29125037006
"235","MOOS",2015-08-24,2178.74490600355
"236","MOOS",2015-08-25,2124.87476250768
"237","MOOS",2015-08-26,3641.37018600232
"238","MOOS",2015-08-27,11401.8668776298
"239","MOOS",2015-08-28,8068.22434204607
"240","MOOS",2015-08-29,5407.19885952163
"241","MOOS",2015-08-30,4983.47819640349
"242","MOOS",2015-08-31,4708.75282690441
"243","MOOS",2015-09-01,3549.68649825989
"244","MOOS",2015-09-02,2869.81730278762
"245","MOOS",2015-09-03,2534.45771036176
"246","MOOS",2015-09-04,2264.52857257272
"247","MOOS",2015-09-05,2030.36664384774
"248","MOOS",2015-09-06,1830.92319730487
"249","MOOS",2015-09-07,1715.57086995125
"250","MOOS",2015-09-08,1637.53745124148
"251","MOOS",2015-09-09,1575.06303255173
"252","MOOS",2015-09-10,1505.60647298983
"253","MOOS",2015-09-11,1432.21717561755
"254","MOOS",2015-09-12,1355.74603093806
"255","MOOS",2015-09-13,1424.92992147754
"256","MOOS",2015-09-14,1752.10646970423
"257","MOOS",2015-09-15,2750.63765735097
"258","MOOS",2015-09-16,2406.86923011378
"259","MOOS",2015-09-17,2517.59384518656
"260","MOOS",2015-09-18,2727.76736148625
"261","MOOS",2015-09-19,2216.68135507506
"262","MOOS",2015-09-20,NA
"263","MOOS",2015-09-21,NA
"264","MOOS",2015-09-22,NA
