"","Site","Q","DateTimeAK"
"1","FRCH",NA,2015-05-14 00:00:00
"2","FRCH",NA,2015-05-14 00:15:00
"3","FRCH",NA,2015-05-14 00:30:00
"4","FRCH",NA,2015-05-14 00:45:00
"5","FRCH",NA,2015-05-14 01:00:00
"6","FRCH",NA,2015-05-14 01:15:00
"7","FRCH",NA,2015-05-14 01:30:00
"8","FRCH",NA,2015-05-14 01:45:00
"9","FRCH",NA,2015-05-14 02:00:00
"10","FRCH",NA,2015-05-14 02:15:00
"11","FRCH",NA,2015-05-14 02:30:00
"12","FRCH",NA,2015-05-14 02:45:00
"13","FRCH",NA,2015-05-14 03:00:00
"14","FRCH",NA,2015-05-14 03:15:00
"15","FRCH",NA,2015-05-14 03:30:00
"16","FRCH",NA,2015-05-14 03:45:00
"17","FRCH",NA,2015-05-14 04:00:00
"18","FRCH",NA,2015-05-14 04:15:00
"19","FRCH",NA,2015-05-14 04:30:00
"20","FRCH",NA,2015-05-14 04:45:00
"21","FRCH",NA,2015-05-14 05:00:00
"22","FRCH",NA,2015-05-14 05:15:00
"23","FRCH",NA,2015-05-14 05:30:00
"24","FRCH",NA,2015-05-14 05:45:00
"25","FRCH",NA,2015-05-14 06:00:00
"26","FRCH",NA,2015-05-14 06:15:00
"27","FRCH",NA,2015-05-14 06:30:00
"28","FRCH",NA,2015-05-14 06:45:00
"29","FRCH",NA,2015-05-14 07:00:00
"30","FRCH",NA,2015-05-14 07:15:00
"31","FRCH",NA,2015-05-14 07:30:00
"32","FRCH",NA,2015-05-14 07:45:00
"33","FRCH",NA,2015-05-14 08:00:00
"34","FRCH",NA,2015-05-14 08:15:00
"35","FRCH",NA,2015-05-14 08:30:00
"36","FRCH",NA,2015-05-14 08:45:00
"37","FRCH",NA,2015-05-14 09:00:00
"38","FRCH",NA,2015-05-14 09:15:00
"39","FRCH",NA,2015-05-14 09:30:00
"40","FRCH",NA,2015-05-14 09:45:00
"41","FRCH",NA,2015-05-14 10:00:00
"42","FRCH",NA,2015-05-14 10:15:00
"43","FRCH",NA,2015-05-14 10:30:00
"44","FRCH",NA,2015-05-14 10:45:00
"45","FRCH",NA,2015-05-14 11:00:00
"46","FRCH",NA,2015-05-14 11:15:00
"47","FRCH",NA,2015-05-14 11:30:00
"48","FRCH",NA,2015-05-14 11:45:00
"49","FRCH",NA,2015-05-14 12:00:00
"50","FRCH",NA,2015-05-14 12:15:00
"51","FRCH",NA,2015-05-14 12:30:00
"52","FRCH",NA,2015-05-14 12:45:00
"53","FRCH",NA,2015-05-14 13:00:00
"54","FRCH",NA,2015-05-14 13:15:00
"55","FRCH",NA,2015-05-14 13:30:00
"56","FRCH",NA,2015-05-14 13:45:00
"57","FRCH",NA,2015-05-14 14:00:00
"58","FRCH",NA,2015-05-14 14:15:00
"59","FRCH",NA,2015-05-14 14:30:00
"60","FRCH",NA,2015-05-14 14:45:00
"61","FRCH",NA,2015-05-14 15:00:00
"62","FRCH",NA,2015-05-14 15:15:00
"63","FRCH",NA,2015-05-14 15:30:00
"64","FRCH",NA,2015-05-14 15:45:00
"65","FRCH",NA,2015-05-14 16:00:00
"66","FRCH",NA,2015-05-14 16:15:00
"67","FRCH",NA,2015-05-14 16:30:00
"68","FRCH",NA,2015-05-14 16:45:00
"69","FRCH",NA,2015-05-14 17:00:00
"70","FRCH",NA,2015-05-14 17:15:00
"71","FRCH",NA,2015-05-14 17:30:00
"72","FRCH",NA,2015-05-14 17:45:00
"73","FRCH",NA,2015-05-14 18:00:00
"74","FRCH",NA,2015-05-14 18:15:00
"75","FRCH",NA,2015-05-14 18:30:00
"76","FRCH",NA,2015-05-14 18:45:00
"77","FRCH",NA,2015-05-14 19:00:00
"78","FRCH",NA,2015-05-14 19:15:00
"79","FRCH",NA,2015-05-14 19:30:00
"80","FRCH",NA,2015-05-14 19:45:00
"81","FRCH",NA,2015-05-14 20:00:00
"82","FRCH",NA,2015-05-14 20:15:00
"83","FRCH",NA,2015-05-14 20:30:00
"84","FRCH",NA,2015-05-14 20:45:00
"85","FRCH",NA,2015-05-14 21:00:00
"86","FRCH",NA,2015-05-14 21:15:00
"87","FRCH",NA,2015-05-14 21:30:00
"88","FRCH",NA,2015-05-14 21:45:00
"89","FRCH",NA,2015-05-14 22:00:00
"90","FRCH",NA,2015-05-14 22:15:00
"91","FRCH",NA,2015-05-14 22:30:00
"92","FRCH",NA,2015-05-14 22:45:00
"93","FRCH",NA,2015-05-14 23:00:00
"94","FRCH",NA,2015-05-14 23:15:00
"95","FRCH",NA,2015-05-14 23:30:00
"96","FRCH",NA,2015-05-14 23:45:00
"97","FRCH",NA,2015-05-15 00:00:00
"98","FRCH",NA,2015-05-15 00:15:00
"99","FRCH",NA,2015-05-15 00:30:00
"100","FRCH",NA,2015-05-15 00:45:00
"101","FRCH",NA,2015-05-15 01:00:00
"102","FRCH",NA,2015-05-15 01:15:00
"103","FRCH",NA,2015-05-15 01:30:00
"104","FRCH",NA,2015-05-15 01:45:00
"105","FRCH",NA,2015-05-15 02:00:00
"106","FRCH",NA,2015-05-15 02:15:00
"107","FRCH",NA,2015-05-15 02:30:00
"108","FRCH",NA,2015-05-15 02:45:00
"109","FRCH",NA,2015-05-15 03:00:00
"110","FRCH",NA,2015-05-15 03:15:00
"111","FRCH",NA,2015-05-15 03:30:00
"112","FRCH",NA,2015-05-15 03:45:00
"113","FRCH",NA,2015-05-15 04:00:00
"114","FRCH",NA,2015-05-15 04:15:00
"115","FRCH",NA,2015-05-15 04:30:00
"116","FRCH",NA,2015-05-15 04:45:00
"117","FRCH",NA,2015-05-15 05:00:00
"118","FRCH",NA,2015-05-15 05:15:00
"119","FRCH",NA,2015-05-15 05:30:00
"120","FRCH",NA,2015-05-15 05:45:00
"121","FRCH",NA,2015-05-15 06:00:00
"122","FRCH",NA,2015-05-15 06:15:00
"123","FRCH",NA,2015-05-15 06:30:00
"124","FRCH",NA,2015-05-15 06:45:00
"125","FRCH",NA,2015-05-15 07:00:00
"126","FRCH",NA,2015-05-15 07:15:00
"127","FRCH",NA,2015-05-15 07:30:00
"128","FRCH",NA,2015-05-15 07:45:00
"129","FRCH",NA,2015-05-15 08:00:00
"130","FRCH",NA,2015-05-15 08:15:00
"131","FRCH",NA,2015-05-15 08:30:00
"132","FRCH",NA,2015-05-15 08:45:00
"133","FRCH",NA,2015-05-15 09:00:00
"134","FRCH",NA,2015-05-15 09:15:00
"135","FRCH",NA,2015-05-15 09:30:00
"136","FRCH",NA,2015-05-15 09:45:00
"137","FRCH",NA,2015-05-15 10:00:00
"138","FRCH",NA,2015-05-15 10:15:00
"139","FRCH",NA,2015-05-15 10:30:00
"140","FRCH",NA,2015-05-15 10:45:00
"141","FRCH",NA,2015-05-15 11:00:00
