"","Site","DateTime","MeanDischarge","day"
"1","FRCH",2015-06-08 11:10:00,-445.797492795227,2015-06-08
"2","FRCH",2015-06-08 11:15:00,-430.357669400491,2015-06-08
"3","FRCH",2015-06-08 11:20:00,-447.486223479027,2015-06-08
"4","FRCH",2015-06-08 11:25:00,-445.797492795227,2015-06-08
"5","FRCH",2015-06-08 11:30:00,-442.420031427628,2015-06-08
"6","FRCH",2015-06-08 11:35:00,-445.073751073596,2015-06-08
"7","FRCH",2015-06-08 11:40:00,-446.038740035769,2015-06-08
"8","FRCH",2015-06-08 11:45:00,-451.346179327713,2015-06-08
"9","FRCH",2015-06-08 11:50:00,-448.692459681737,2015-06-08
"10","FRCH",2015-06-08 11:55:00,-451.346179327713,2015-06-08
"11","FRCH",2015-06-08 12:00:00,-451.346179327713,2015-06-08
"12","FRCH",2015-06-08 12:05:00,-451.346179327713,2015-06-08
"13","FRCH",2015-06-08 12:10:00,-453.034910011509,2015-06-08
"14","FRCH",2015-06-08 12:15:00,-450.381190365541,2015-06-08
"15","FRCH",2015-06-08 12:20:00,-453.034910011509,2015-06-08
"16","FRCH",2015-06-08 12:25:00,-455.688629657481,2015-06-08
"17","FRCH",2015-06-08 12:30:00,-455.688629657481,2015-06-08
"18","FRCH",2015-06-08 12:35:00,-455.688629657481,2015-06-08
"19","FRCH",2015-06-08 12:40:00,-454.723640695309,2015-06-08
"20","FRCH",2015-06-08 12:45:00,-465.338519279187,2015-06-08
"21","FRCH",2015-06-08 12:50:00,-462.684799633218,2015-06-08
"22","FRCH",2015-06-08 12:55:00,-457.377360341277,2015-06-08
"23","FRCH",2015-06-08 13:00:00,-461.719810671046,2015-06-08
"24","FRCH",2015-06-08 13:05:00,-459.066091025077,2015-06-08
"25","FRCH",2015-06-08 13:10:00,-467.027249962986,2015-06-08
"26","FRCH",2015-06-08 13:15:00,-464.373530317014,2015-06-08
"27","FRCH",2015-06-08 13:20:00,-463.408541354846,2015-06-08
"28","FRCH",2015-06-08 13:25:00,-468.715980646786,2015-06-08
"29","FRCH",2015-06-08 13:30:00,-468.715980646786,2015-06-08
"30","FRCH",2015-06-08 13:35:00,-465.097272038645,2015-06-08
"31","FRCH",2015-06-08 13:40:00,-470.404711330586,2015-06-08
"32","FRCH",2015-06-08 13:45:00,-462.443552392673,2015-06-08
"33","FRCH",2015-06-08 13:50:00,-466.786002722445,2015-06-08
"34","FRCH",2015-06-08 13:55:00,-472.093442014386,2015-06-08
"35","FRCH",2015-06-08 14:00:00,-466.786002722445,2015-06-08
"36","FRCH",2015-06-08 14:05:00,-479.089611990123,2015-06-08
"37","FRCH",2015-06-08 14:10:00,-476.435892344154,2015-06-08
"38","FRCH",2015-06-08 14:15:00,-479.089611990123,2015-06-08
"39","FRCH",2015-06-08 14:20:00,-475.470903381982,2015-06-08
"40","FRCH",2015-06-08 14:25:00,-481.019589914464,2015-06-08
"41","FRCH",2015-06-08 14:30:00,-477.159634065782,2015-06-08
"42","FRCH",2015-06-08 14:35:00,-471.852194773841,2015-06-08
"43","FRCH",2015-06-08 14:40:00,-477.159634065782,2015-06-08
"44","FRCH",2015-06-08 14:45:00,-470.887205811669,2015-06-08
"45","FRCH",2015-06-08 14:50:00,-462.926046873759,2015-06-08
"46","FRCH",2015-06-08 14:55:00,-444.350009351969,2015-06-08
"47","FRCH",2015-06-08 15:00:00,-433.735130768091,2015-06-08
"48","FRCH",2015-06-08 15:05:00,-431.081411122123,2015-06-08
"49","FRCH",2015-06-08 15:10:00,-431.081411122123,2015-06-08
"50","FRCH",2015-06-08 15:15:00,-436.38885041406,2015-06-08
"51","FRCH",2015-06-08 15:20:00,-439.042570060032,2015-06-08
"52","FRCH",2015-06-08 15:25:00,-439.042570060032,2015-06-08
"53","FRCH",2015-06-08 15:30:00,-441.696289706,2015-06-08
"54","FRCH",2015-06-08 15:35:00,-439.042570060032,2015-06-08
"55","FRCH",2015-06-08 15:40:00,-444.350009351969,2015-06-08
"56","FRCH",2015-06-08 15:45:00,-449.657448643909,2015-06-08
