"DateTime","Site","Q"
2020-06-11 12:45:00,"FRCH",NA
2020-06-11 13:00:00,"FRCH",NA
2020-06-11 13:15:00,"FRCH",NA
2020-06-11 13:30:00,"FRCH",366.997490806642
2020-06-11 13:45:00,"FRCH",372.05233954597
2020-06-11 14:00:00,"FRCH",372.18357169781
2020-06-11 14:15:00,"FRCH",374.625982705311
2020-06-11 14:30:00,"FRCH",374.294306518053
2020-06-11 14:45:00,"FRCH",372.18357169781
2020-06-11 15:00:00,"FRCH",374.625982705311
2020-06-11 15:15:00,"FRCH",372.249218160838
2020-06-11 15:30:00,"FRCH",372.380571861107
2020-06-11 15:45:00,"FRCH",374.294306518053
2020-06-11 16:00:00,"FRCH",371.005399493511
2020-06-11 16:15:00,"FRCH",372.51200659366
2020-06-11 16:30:00,"FRCH",371.332011162944
2020-06-11 16:45:00,"FRCH",372.643522358499
2020-06-11 17:00:00,"FRCH",372.972666286845
2020-06-11 17:15:00,"FRCH",373.236346074805
2020-06-11 17:30:00,"FRCH",373.764678038147
2020-06-11 17:45:00,"FRCH",372.709310628026
2020-06-11 18:00:00,"FRCH",371.070681311255
2020-06-11 18:15:00,"FRCH",373.038555846728
2020-06-11 18:30:00,"FRCH",373.236346074805
2020-06-11 18:45:00,"FRCH",370.809675588707
2020-06-11 19:00:00,"FRCH",371.921188426414
2020-06-11 19:15:00,"FRCH",369.50950891308
2020-06-11 19:30:00,"FRCH",365.912151397058
2020-06-11 19:45:00,"FRCH",367.446096947402
2020-06-11 20:00:00,"FRCH",366.741590118063
2020-06-11 20:15:00,"FRCH",364.832666570081
2020-06-11 20:30:00,"FRCH",366.549877311377
2020-06-11 20:45:00,"FRCH",366.6137613222
2020-06-11 21:00:00,"FRCH",365.212992698543
2020-06-11 21:15:00,"FRCH",362.190803806715
2020-06-11 21:30:00,"FRCH",361.255941716709
2020-06-11 21:45:00,"FRCH",361.816312002787
2020-06-11 22:00:00,"FRCH",362.628632653541
2020-06-11 22:15:00,"FRCH",361.629339584786
2020-06-11 22:30:00,"FRCH",361.380326640449
2020-06-11 22:45:00,"FRCH",361.629339584786
2020-06-11 23:00:00,"FRCH",359.646311646037
2020-06-11 23:15:00,"FRCH",359.030869610151
2020-06-11 23:30:00,"FRCH",356.953519725473
2020-06-11 23:45:00,"FRCH",356.771348470371
2020-06-12 00:00:00,"FRCH",357.80606295977
2020-06-12 00:15:00,"FRCH",357.623040865672
2020-06-12 00:30:00,"FRCH",356.832051964001
2020-06-12 00:45:00,"FRCH",355.260345002807
2020-06-12 01:00:00,"FRCH",355.200168219032
2020-06-12 01:15:00,"FRCH",354.539560630206
2020-06-12 01:30:00,"FRCH",354.659488778259
2020-06-12 01:45:00,"FRCH",355.200168219032
2020-06-12 02:00:00,"FRCH",352.572445223493
2020-06-12 02:15:00,"FRCH",353.702332497814
2020-06-12 02:30:00,"FRCH",351.214471592492
2020-06-12 02:45:00,"FRCH",352.453935140431
2020-06-12 03:00:00,"FRCH",353.344735925353
2020-06-12 03:15:00,"FRCH",352.513180052926
2020-06-12 03:30:00,"FRCH",351.980705131032
2020-06-12 03:45:00,"FRCH",353.881404268007
2020-06-12 04:00:00,"FRCH",353.225699132436
2020-06-12 04:15:00,"FRCH",353.642682423892
2020-06-12 04:30:00,"FRCH",354.299947430953
2020-06-12 04:45:00,"FRCH",354.659488778259
2020-06-12 05:00:00,"FRCH",357.989267376509
2020-06-12 05:15:00,"FRCH",357.562074017117
2020-06-12 05:30:00,"FRCH",357.440201094218
2020-06-12 05:45:00,"FRCH",357.867110840612
2020-06-12 06:00:00,"FRCH",357.623040865673
2020-06-12 06:15:00,"FRCH",356.589359537911
2020-06-12 06:30:00,"FRCH",357.806062959771
2020-06-12 06:45:00,"FRCH",359.769643150069
2020-06-12 07:00:00,"FRCH",359.27680332765
2020-06-12 07:15:00,"FRCH",360.449414874347
2020-06-12 07:30:00,"FRCH",357.318409203604
2020-06-12 07:45:00,"FRCH",358.050376031564
2020-06-12 08:00:00,"FRCH",360.140123855879
2020-06-12 08:15:00,"FRCH",358.2950132325
2020-06-12 08:30:00,"FRCH",360.511333852255
2020-06-12 08:45:00,"FRCH",361.691643466048
2020-06-12 09:00:00,"FRCH",361.567055961595
2020-06-12 09:15:00,"FRCH",363.318654961898
2020-06-12 09:30:00,"FRCH",362.94197528627
2020-06-12 09:45:00,"FRCH",361.504792596476
2020-06-12 10:00:00,"FRCH",361.069516266633
2020-06-12 10:15:00,"FRCH",363.444376918345
2020-06-12 10:30:00,"FRCH",363.633111788549
2020-06-12 10:45:00,"FRCH",362.628632653541
2020-06-12 11:00:00,"FRCH",365.27645128987
2020-06-12 11:15:00,"FRCH",364.2635447972
2020-06-12 11:30:00,"FRCH",364.769349785253
2020-06-12 11:45:00,"FRCH",365.212992698543
2020-06-12 12:00:00,"FRCH",366.103256461605
2020-06-12 12:15:00,"FRCH",367.12556269936
2020-06-12 12:30:00,"FRCH",367.831406561405
2020-06-12 12:45:00,"FRCH",368.153055003368
2020-06-12 13:00:00,"FRCH",366.422170063942
2020-06-12 13:15:00,"FRCH",367.38194958165
2020-06-12 13:30:00,"FRCH",369.963645507305
2020-06-12 13:45:00,"FRCH",371.201305720957
2020-06-12 14:00:00,"FRCH",367.702888991118
2020-06-12 14:15:00,"FRCH",368.668745930218
2020-06-12 14:30:00,"FRCH",368.217445465975
2020-06-12 14:45:00,"FRCH",366.86949994621
2020-06-12 15:00:00,"FRCH",367.638660593083
2020-06-12 15:15:00,"FRCH",367.638660593083
2020-06-12 15:30:00,"FRCH",366.294543848794
2020-06-12 15:45:00,"FRCH",367.253715624363
